MANDT,PRUEFLOS,WERK,ART,HERKUNFT,OBJNR,OBTYP,STSMA,STAT11,INSMK,ENSTEHDAT,ERSTELDAT,AENDERDAT,PASTRTERM,PAENDTERM,MATNR,SELWERK,BUKRS,CHARG,LICHN,SOBKZ,LOSMENGE,LMENGEPR,LMENGEIST,LMENGESCH,ANTEIL,PRCTR,GSBER,KOKRS,KOSTL,PRSTUFE,PRSCHAERFE
100,100000000000,P017,01,02,OBJ043321819600,INV,QM000002,"",X,20251013,20251013,20251016,20251013,20251016,930563193464742907,P017,P036,BATCH13389,VEN08386,"",2699.612,907.132,481.407,340.494,0.666,PC3794,GB02,2000,COST6542,0004,010
100,100000000001,P049,08,01,OBJ511615594078,PUR,QM000001,"","",20250510,20250510,20250519,20250510,20250519,303539576747255535,P049,P009,BATCH16184,VEN95931,K,1268.546,1632.92,1104.487,382.745,0.784,PC0341,GB31,2000,COST6475,0001,010
100,100000000002,P043,08,03,OBJ534192832764,PUR,QM000002,X,"",20250421,20250421,20250430,20250421,20250430,464254113157273117,P043,P044,BATCH83503,VEN05641,"",2590.278,3797.069,2704.58,39.962,0.331,PC3953,GB76,1000,COST7242,0004,009
100,100000000003,P029,08,01,OBJ884969653287,MAT,QM000002,X,"",20250522,20250522,20250530,20250522,20250530,574900935958943295,P029,P049,BATCH10122,VEN69166,"",1582.351,1807.815,1108.064,211.749,0.006,PC9784,GB80,2000,COST1845,0002,008
100,100000000004,P031,08,02,OBJ627048281489,PUR,QM000002,X,"",20250402,20250402,20250403,20250402,20250403,825057456339123765,P031,P045,BATCH32528,VEN80957,K,4459.052,2103.972,2934.263,366.287,0.214,PC0154,GB30,1000,COST3911,0003,007
100,100000000005,P018,01,02,OBJ182278248963,PUR,QM000002,"","",20251115,20251115,20251123,20251115,20251123,710333313681629962,P018,P038,BATCH83465,VEN78713,K,536.091,2302.19,2072.495,238.933,0.032,PC3150,GB98,1000,COST3930,0003,002
100,100000000006,P010,08,03,OBJ031051834738,PUR,QM000001,X,"",20250318,20250318,20250324,20250318,20250324,755060945780008387,P010,P023,BATCH29973,VEN76311,"",1400.942,1364.006,2018.98,324.39,0.35,PC6566,GB70,2000,COST1065,0001,009
100,100000000007,P017,01,01,OBJ133387262473,PUR,QM000002,X,"",20251211,20251211,20251213,20251211,20251213,341969816224717988,P017,P046,BATCH17810,VEN80132,"",241.283,2863.953,347.145,428.392,0.057,PC6773,GB60,2000,COST2606,0002,004
100,100000000008,P015,04,01,OBJ746872343098,PUR,QM000001,X,X,20250529,20250529,20250605,20250529,20250605,916402659670690789,P015,P019,BATCH05009,VEN78820,K,3380.05,3222.707,1390.226,324.922,0.136,PC8121,GB91,2000,COST3619,0003,002
100,100000000009,P030,08,01,OBJ909169985435,INV,QM000001,X,X,20250522,20250522,20250528,20250522,20250528,957728337861592621,P030,P024,BATCH34624,VEN75107,K,2624.14,1879.73,3964.09,364.395,0.537,PC9911,GB83,1000,COST8425,0004,003
100,100000000010,P030,04,01,OBJ354278498084,MAT,QM000002,"",X,20260109,20260109,20260112,20260109,20260112,716619974273775182,P030,P041,BATCH12411,VEN82449,K,3465.962,2253.207,3536.62,273.196,0.819,PC3534,GB87,1000,COST4016,0005,006
100,100000000011,P013,04,02,OBJ005242786801,MAT,QM000001,X,X,20251221,20251221,20251227,20251221,20251227,515952181855003548,P013,P018,BATCH12805,VEN98262,"",806.097,2111.752,2052.588,345.734,0.187,PC0450,GB53,2000,COST3158,0004,008
