id,period,period_id,material,market,actual_qty,actual_revenue,actual_orders,shipped_qty,delivered_qty,returns_qty,net_actual_qty,net_revenue,discounts,final_revenue,service_level
0,202508,202508,MAT81346,CUST9959,114.21,2424.27,7,105.66,104.41,3.38,101.03,1689.24,112.56,1576.68,0.9142
1,202503,202503,MAT43959,CUST6313,393.31,5472.21,40,381.16,374.37,7.6,366.77,12986.76,378.56,12608.2,0.9518
2,202410,202410,MAT20561,CUST8890,660.68,8810.16,22,612.72,609.94,10.81,599.13,15090.05,709.76,14380.29,0.9232
3,202505,202505,MAT49687,CUST8188,881.16,20666.0,8,859.22,836.38,42.72,793.66,27154.97,2699.0,24455.97,0.9492
4,202602,202602,MAT12297,CUST1315,477.56,10019.55,47,475.88,458.5,21.57,436.93,11517.67,693.7,10823.97,0.9601
5,202505,202505,MAT41321,CUST6506,157.42,6604.83,45,147.35,143.9,5.19,138.71,1485.11,108.83,1376.28,0.9141
6,202411,202411,MAT46066,CUST3253,760.45,7861.81,3,699.45,693.74,23.5,670.24,25860.37,350.57,25509.8,0.9123
7,202408,202408,MAT21258,CUST4388,212.97,8607.37,48,196.25,196.21,10.01,186.2,1411.47,26.75,1384.72,0.9213
8,202509,202509,MAT38029,CUST5954,677.52,7665.89,9,613.73,595.49,17.21,578.28,4646.74,202.06,4444.68,0.8789
9,202412,202412,MAT08107,CUST6955,306.25,10986.61,29,278.49,269.94,7.32,262.62,8292.74,654.03,7638.71,0.8814
10,202412,202412,MAT11904,CUST9719,545.48,20396.8,26,512.85,487.86,21.99,465.87,7692.04,66.94,7625.1,0.8944
11,202509,202509,MAT65939,CUST1605,573.24,7219.98,42,537.46,525.04,16.93,508.11,10071.14,95.41,9975.73,0.9159
12,202507,202507,MAT95020,CUST9505,204.95,6662.23,16,202.27,196.65,2.51,194.14,5527.39,176.48,5350.91,0.9595
13,202510,202510,MAT62365,CUST9442,129.25,4488.27,38,121.52,120.67,1.07,119.6,2286.78,129.4,2157.38,0.9336
14,202412,202412,MAT92663,CUST9374,796.41,11894.18,10,780.35,769.0,11.23,757.77,11552.06,889.57,10662.49,0.9656
15,202411,202411,MAT77395,CUST7456,539.64,18762.19,7,516.2,515.9,21.47,494.43,4253.89,383.07,3870.82,0.956
16,202508,202508,MAT26182,CUST4013,427.26,18339.42,34,405.37,393.25,14.57,378.68,7173.22,602.57,6570.65,0.9204
17,202403,202403,MAT33367,CUST2682,723.99,21942.85,2,658.04,640.8,17.81,622.99,11199.92,263.66,10936.26,0.8851
18,202408,202408,MAT39375,CUST3752,279.56,8683.35,40,259.68,256.04,4.85,251.19,5429.6,206.38,5223.22,0.9159
19,202509,202509,MAT69295,CUST4346,135.36,1404.99,29,135.1,133.16,2.67,130.49,4981.04,317.25,4663.79,0.9837
20,202408,202408,MAT82160,CUST8885,724.95,7007.31,34,663.21,649.54,10.2,639.34,6237.28,570.16,5667.12,0.896
21,202601,202601,MAT52431,CUST0036,662.56,19431.19,10,659.0,657.04,11.25,645.79,10226.03,99.92,10126.11,0.9917
22,202409,202409,MAT25430,CUST3462,237.97,6096.26,41,221.45,219.55,9.28,210.27,4355.04,126.58,4228.46,0.9226
23,202501,202501,MAT19971,CUST8493,819.86,4422.79,30,771.69,747.47,13.37,734.1,7547.33,525.89,7021.44,0.9117
24,202410,202410,MAT03681,CUST6623,684.25,9983.16,21,651.01,647.08,8.53,638.55,3788.55,148.34,3640.21,0.9457
