id,period,period_id,material,market,consensus_demand,ibp_consensus_forecast,budget_volumes,sc_forecast_override,statistical_forecast,forecast_selector,upside,fcst_snapshot_1,fcst_snapshot_2,fcst_snapshot_3,fcst_snapshot_4,fcst_snapshot_5,fcst_snapshot_6,fcst_snapshot_7,fcst_snapshot_8,fcst_snapshot_9,fcst_snapshot_10,fcst_snapshot_11,fcst_snapshot_12,ibp_forecast,fcst_variance_snapshot_1,fcst_variance_snapshot_2,fcst_variance_snapshot_3,fcst_variance_perc_snapshot_1,fcst_variance_perc_snapshot_2,fcst_variance_perc_snapshot_3,ibp_consensus_forecast_prior
0,202707,202707,MAT63079,CUST5938,484.46,558.07,532.82,492.23,505.1,STAT,103.53,513.62,525.04,518.25,501.71,509.82,507.04,516.53,487.87,504.58,514.96,518.59,521.89,661.6,147.98,136.56,143.35,0.2237,0.2064,0.2167,552.12
1,202801,202801,MAT90746,CUST9434,596.15,707.7,647.07,625.71,629.42,STAT,83.35,639.66,602.54,637.55,632.4,653.13,654.24,614.27,616.67,637.16,641.22,643.36,641.59,791.05,151.39,188.51,153.5,0.1914,0.2383,0.194,651.41
2,202701,202701,MAT86691,CUST4789,966.91,1049.07,1028.38,994.38,1093.45,STAT,125.83,1029.75,1041.17,988.38,1033.0,1011.01,1051.54,1029.97,978.87,1048.85,1006.27,984.71,1062.8,1174.9,145.15,133.73,186.52,0.1235,0.1138,0.1588,1046.76
3,202607,202607,MAT15537,CUST2319,977.86,1169.89,980.45,1017.14,1074.81,CONSENSUS,167.94,1034.38,1022.79,1049.16,1073.17,1028.84,1038.92,1056.04,1014.97,1061.94,1044.79,991.45,1016.5,1337.83,303.45,315.04,288.67,0.2268,0.2355,0.2158,1137.69
4,202602,202602,MAT21098,CUST5492,1009.46,1124.1,1064.66,1020.43,1053.27,STAT,7.09,1105.68,1041.82,1032.59,1058.89,1063.62,1048.13,1066.98,1037.9,1074.29,1037.3,1101.44,1066.27,1131.19,25.51,89.37,98.6,0.0226,0.079,0.0872,1094.54
5,202705,202705,MAT64245,CUST4958,941.64,1019.77,941.81,948.71,1049.12,STAT,197.31,1026.06,978.48,997.7,1029.24,1003.71,1025.63,960.96,1014.12,977.25,951.62,1005.39,1005.47,1217.08,191.02,238.6,219.38,0.1569,0.196,0.1803,978.06
6,202801,202801,MAT88771,CUST5061,209.93,236.62,213.7,217.37,220.51,STAT,125.49,221.78,227.79,218.03,212.76,226.79,214.73,212.93,227.67,217.71,230.71,216.91,228.06,362.11,140.33,134.32,144.08,0.3875,0.3709,0.3979,232.3
7,202611,202611,MAT60944,CUST7052,230.67,242.71,234.8,237.36,246.69,CONSENSUS,187.32,241.01,233.44,243.73,238.65,232.29,252.05,247.7,253.64,231.59,233.53,244.11,244.03,430.03,189.02,196.59,186.3,0.4396,0.4572,0.4332,219.89
8,202702,202702,MAT49729,CUST4608,589.0,609.67,590.74,609.4,656.39,CONSENSUS,2.42,597.19,619.28,637.43,647.54,593.92,616.08,610.0,633.62,626.05,607.86,647.0,646.53,612.09,14.9,-7.19,-25.34,0.0243,-0.0117,-0.0414,552.85
9,202708,202708,MAT75025,CUST1105,894.51,940.41,937.01,895.42,1023.7,STAT,152.9,977.63,924.37,975.18,957.2,907.22,907.59,934.24,972.18,904.67,943.96,955.28,964.18,1093.31,115.68,168.94,118.13,0.1058,0.1545,0.108,882.88
10,202702,202702,MAT69787,CUST0517,281.07,327.58,299.6,289.42,318.34,CONSENSUS,125.88,295.12,294.13,283.6,298.44,290.43,289.66,306.39,291.9,306.8,301.64,296.56,303.18,453.46,158.34,159.33,169.86,0.3492,0.3514,0.3746,320.47
11,202602,202602,MAT98434,CUST5678,766.94,917.83,812.83,787.99,775.28,STAT,110.66,830.89,831.67,778.97,829.7,805.93,773.7,782.22,840.13,794.86,802.53,804.51,836.01,1028.49,197.6,196.82,249.52,0.1921,0.1914,0.2426,830.96
12,202608,202608,MAT31833,CUST1180,558.22,610.86,584.93,559.56,585.83,STAT,9.11,562.81,598.42,579.69,563.48,577.41,564.54,595.96,585.0,586.32,607.18,598.3,571.42,619.97,57.16,21.55,40.28,0.0922,0.0348,0.065,563.02
13,202702,202702,MAT07725,CUST7202,582.25,674.79,583.11,594.56,642.43,CONSENSUS,28.25,599.27,620.53,635.95,629.03,614.37,626.05,617.1,596.18,590.19,617.58,639.27,613.59,703.04,103.77,82.51,67.09,0.1476,0.1174,0.0954,632.74
14,202706,202706,MAT04893,CUST9228,988.79,1067.71,993.83,994.5,1097.31,CONSENSUS,107.77,1071.15,1082.84,1060.08,1082.86,1042.81,1077.11,1069.49,1035.55,1050.95,1044.94,1079.92,1050.11,1175.48,104.33,92.64,115.4,0.0888,0.0788,0.0982,1040.78
15,202603,202603,MAT69563,CUST1990,874.54,1001.28,905.99,877.88,998.74,STAT,92.42,880.51,950.19,915.02,961.47,909.61,939.7,943.56,931.01,918.18,957.03,921.13,917.14,1093.7,213.19,143.51,178.68,0.1949,0.1312,0.1634,941.72
16,202711,202711,MAT57501,CUST4886,218.02,238.03,220.79,224.87,219.53,CONSENSUS,165.54,226.8,224.5,224.69,230.63,229.29,218.91,221.19,223.62,220.0,229.23,234.49,225.44,403.57,176.77,179.07,178.88,0.438,0.4437,0.4432,235.42
17,202612,202612,MAT07932,CUST5884,859.33,1029.27,887.49,889.96,881.89,STAT,108.15,876.19,933.36,868.94,937.73,901.14,939.47,878.1,886.71,859.46,929.86,910.15,933.12,1137.42,261.23,204.06,268.48,0.2297,0.1794,0.236,1009.27
18,202707,202707,MAT77323,CUST9156,741.12,763.37,760.24,756.78,829.61,CONSENSUS,95.06,814.97,741.8,780.29,798.94,771.27,804.58,792.4,810.96,747.43,811.26,754.14,746.8,858.43,43.46,116.63,78.14,0.0506,0.1359,0.091,720.39
19,202710,202710,MAT60760,CUST2695,418.32,474.09,434.39,432.15,466.3,CONSENSUS,16.15,460.03,438.99,429.02,426.38,457.0,447.18,419.35,441.72,430.58,459.85,423.18,428.19,490.24,30.21,51.25,61.22,0.0616,0.1045,0.1249,445.69
20,202708,202708,MAT22527,CUST1231,293.51,300.98,298.63,298.64,318.5,STAT,176.24,296.02,298.13,304.07,303.48,316.4,308.45,294.33,315.18,303.03,320.99,299.68,303.56,477.22,181.2,179.09,173.15,0.3797,0.3753,0.3628,298.59
21,202712,202712,MAT32958,CUST6119,195.26,204.54,197.97,204.22,210.56,CONSENSUS,106.58,199.26,199.52,214.13,203.88,214.67,197.0,205.34,196.6,208.71,209.24,204.4,198.52,311.12,111.86,111.6,96.99,0.3595,0.3587,0.3117,192.04
22,202702,202702,MAT84884,CUST9943,459.86,490.56,486.52,474.92,475.69,CONSENSUS,187.63,467.28,502.99,471.1,480.3,497.34,491.44,465.86,467.03,494.69,462.75,472.9,480.3,678.19,210.91,175.2,207.09,0.311,0.2583,0.3054,473.75
23,202707,202707,MAT35318,CUST7475,146.26,148.08,151.36,153.29,149.81,STAT,186.79,160.33,156.5,151.71,153.47,154.95,150.98,149.04,157.0,157.93,148.6,155.66,156.61,334.87,174.54,178.37,183.16,0.5212,0.5327,0.547,147.84
24,202602,202602,MAT91243,CUST1411,105.78,119.15,107.87,109.01,106.83,STAT,191.56,110.53,107.38,115.51,115.53,115.79,115.07,114.14,114.32,115.14,112.16,111.55,109.65,310.71,200.18,203.33,195.2,0.6443,0.6544,0.6282,114.47
25,202606,202606,MAT63150,CUST1791,673.05,789.39,701.86,702.63,733.22,CONSENSUS,62.25,699.94,682.08,704.13,734.26,701.18,716.62,680.85,674.1,700.93,709.83,692.41,723.0,851.64,151.7,169.56,147.51,0.1781,0.1991,0.1732,775.9
26,202702,202702,MAT48876,CUST2116,1000.67,1078.14,1054.01,1021.42,1092.7,STAT,42.52,1050.29,1066.71,1098.78,1094.15,1096.23,1055.9,1080.18,1070.23,1098.96,1097.42,1050.7,1071.15,1120.66,70.37,53.95,21.88,0.0628,0.0481,0.0195,1014.33
27,202605,202605,MAT03780,CUST3783,275.88,291.39,300.77,280.02,285.08,CONSENSUS,12.69,298.85,282.95,277.87,300.02,280.3,292.4,278.47,286.69,295.39,291.65,286.37,299.46,304.08,5.23,21.13,26.21,0.0172,0.0695,0.0862,268.37
28,202602,202602,MAT84859,CUST8393,552.39,607.55,585.84,573.04,574.87,CONSENSUS,128.08,575.63,554.92,592.79,606.44,604.81,564.85,563.48,564.35,554.41,564.76,587.92,557.68,735.63,160.0,180.71,142.84,0.2175,0.2457,0.1942,548.15
29,202608,202608,MAT04361,CUST0077,184.02,188.49,184.08,185.87,194.66,CONSENSUS,87.99,188.3,201.49,200.93,184.11,188.91,198.86,194.47,198.83,201.96,196.69,192.92,197.46,276.48,88.18,74.99,75.55,0.3189,0.2712,0.2733,175.9
30,202709,202709,MAT43898,CUST7750,949.68,1132.71,952.61,990.5,965.94,STAT,35.18,951.93,982.49,957.54,1028.9,1007.36,1008.09,1001.05,992.82,1043.1,1026.93,982.37,989.69,1167.89,215.96,185.4,210.35,0.1849,0.1587,0.1801,1048.23
31,202610,202610,MAT02035,CUST1860,938.58,1085.46,976.57,969.66,1045.84,CONSENSUS,195.54,971.72,1014.51,999.81,1009.44,944.45,976.92,955.67,1020.16,973.53,994.34,968.26,990.77,1281.0,309.28,266.49,281.19,0.2414,0.208,0.2195,1005.96
32,202702,202702,MAT23982,CUST6696,891.5,909.07,907.75,925.68,1011.72,CONSENSUS,9.89,907.07,905.54,953.27,937.74,923.32,891.71,933.61,946.42,928.35,967.5,917.66,969.41,918.96,11.89,13.42,-34.31,0.0129,0.0146,-0.0373,865.04
33,202701,202701,MAT33640,CUST9804,633.76,733.66,685.26,639.64,699.12,CONSENSUS,5.78,696.28,658.1,678.69,658.75,673.36,670.04,640.96,664.48,661.31,684.26,642.7,665.91,739.44,43.16,81.34,60.75,0.0584,0.11,0.0822,725.29
34,202703,202703,MAT08054,CUST0782,905.27,910.29,943.63,940.18,986.52,CONSENSUS,54.7,923.66,913.5,981.79,913.15,979.85,926.13,926.12,989.37,946.36,925.46,929.22,991.83,964.99,41.33,51.49,-16.8,0.0428,0.0534,-0.0174,837.84
35,202711,202711,MAT14002,CUST3149,155.77,180.03,158.64,162.61,176.01,STAT,111.17,157.66,156.78,159.39,164.43,169.73,165.43,165.11,162.42,158.28,164.14,164.88,159.09,291.2,133.54,134.42,131.81,0.4586,0.4616,0.4526,175.01
36,202711,202711,MAT09696,CUST7914,805.16,958.72,864.96,810.49,898.35,CONSENSUS,150.08,806.07,824.23,879.1,850.07,833.32,856.03,844.31,818.91,822.87,868.05,875.48,868.27,1108.8,302.73,284.57,229.7,0.273,0.2566,0.2072,905.3
37,202702,202702,MAT47471,CUST2070,1036.22,1145.49,1057.41,1069.9,1158.23,STAT,151.74,1101.03,1051.85,1050.14,1094.83,1067.09,1050.23,1105.61,1103.41,1049.63,1133.13,1139.0,1131.74,1297.23,196.2,245.38,247.09,0.1512,0.1892,0.1905,1128.41
38,202710,202710,MAT38780,CUST2755,698.21,716.29,723.69,698.94,753.58,STAT,75.8,699.24,730.81,730.13,751.21,749.49,709.57,709.58,700.0,761.82,703.25,712.35,745.86,792.09,92.85,61.28,61.96,0.1172,0.0774,0.0782,715.81
39,202704,202704,MAT91868,CUST4219,810.77,859.13,824.25,812.15,834.09,CONSENSUS,151.48,813.2,850.05,846.26,813.8,888.02,859.16,889.3,849.38,835.13,881.34,852.22,852.16,1010.61,197.41,160.56,164.35,0.1953,0.1589,0.1626,811.05
40,202706,202706,MAT06478,CUST7390,443.28,494.19,465.91,450.07,482.92,CONSENSUS,143.86,467.38,466.99,480.77,450.24,458.34,455.25,471.11,460.85,466.47,444.89,471.49,451.04,638.05,170.67,171.06,157.28,0.2675,0.2681,0.2465,452.92
