Customer ID,Market,Customer Description,Market Description,Customer Region,Market Region,Customer Country/Region,Market Sub Region,Demand Type,Demand Sub Type,Latitude,Longttitude
CA,CA,Market Entity for CA,Planning Market - Melendez-Fox - CA,AMER,LATAM,CA,Port Joshua,Commercial,Standard,66.344277,-22.48501
US,US,Market Entity for US,Planning Market - Shaw PLC - US,APAC,LATAM,US,West Richard,Samples,Priority,-25.4673855,0.585199
EMEA_REG,EMEA_REG,Market Entity for EMEA_REG,Planning Market - Owen Ltd - EMEA_REG,APAC,LATAM,INTL,South Kendra,Commercial,Priority,68.567431,-2.375243
CA,CA,Market Entity for CA,Planning Market - Morrow Ltd - CA,LATAM,AMER,CA,Morsestad,Commercial,Standard,-3.364119,66.288132
GB,GB,Market Entity for GB,Planning Market - Tucker LLC - GB,EMEA,LATAM,GB,Jessicaberg,Samples,Standard,-1.3470395,-139.171753
ES,ES,Market Entity for ES,Planning Market - Jackson LLC - ES,EMEA,LATAM,ES,Robertshire,Commercial,Standard,81.8584375,-152.416392
GB,GB,Market Entity for GB,Planning Market - Keller LLC - GB,LATAM,LATAM,GB,Port Eric,Clinical,GPSS_Early,38.928125,136.210787
FR,FR,Market Entity for FR,"Planning Market - Velez, Howell and Hart - FR",APAC,AMER,FR,Murphyburgh,Samples,Priority,-33.890125,155.100378
DE,DE,Market Entity for DE,Planning Market - Crawford-Gregory - DE,LATAM,LATAM,DE,East Brianbury,Samples,GPSS_Early,88.4487625,97.566014
IN,IN,Market Entity for IN,Planning Market - Adams-Kim - IN,EMEA,EMEA,IN,New Joseland,Samples,GPSS_Early,1.9361005,126.204333
IN,IN,Market Entity for IN,"Planning Market - Miller, Anderson and Thomas - IN",APAC,LATAM,IN,Terrymouth,Free Goods,Standard,-30.5747875,111.712985
DE,DE,Market Entity for DE,Planning Market - Jones-Kaiser - DE,EMEA,AMER,DE,Brooksbury,Commercial,Urgent,-0.420561,-93.550389
IN,IN,Market Entity for IN,"Planning Market - Mitchell, Jones and Anderson - IN",EMEA,APAC,IN,Adkinstown,Samples,Urgent,-17.221895,-148.028915
SG,SG,Market Entity for SG,"Planning Market - Gomez, Johnson and Gibbs - SG",EMEA,APAC,SG,West Nicole,Clinical,Standard,-69.537273,-142.983917
IT,IT,Market Entity for IT,"Planning Market - George, Fox and Lopez - IT",LATAM,AMER,IT,New Hayden,Free Goods,GPSS_Early,12.64904,7.544224
AU,AU,Market Entity for AU,"Planning Market - Orozco, Lopez and Robinson - AU",APAC,EMEA,AU,West Curtisland,Commercial,Standard,39.107556,-134.350466
EMEA_REG,EMEA_REG,Market Entity for EMEA_REG,Planning Market - Williams-Sanchez - EMEA_REG,LATAM,EMEA,INTL,North William,Clinical,GPSS_Early,10.3155835,-23.300551
FR,FR,Market Entity for FR,Planning Market - Miller-Santos - FR,AMER,EMEA,FR,South Denise,Commercial,Priority,25.3964485,-150.890033
CN,CN,Market Entity for CN,"Planning Market - White, Smith and Jacobs - CN",AMER,LATAM,CN,North Jeffrey,Samples,Urgent,58.5320935,110.064543
EMEA_REG,EMEA_REG,Market Entity for EMEA_REG,Planning Market - Simon Ltd - EMEA_REG,APAC,LATAM,INTL,North Bettychester,Clinical,Priority,40.3315575,41.832662
CA,CA,Market Entity for CA,Planning Market - Ayers-Logan - CA,LATAM,LATAM,CA,Allenchester,Commercial,Standard,1.8231985,64.888432
CA,CA,Market Entity for CA,Planning Market - Collins-Bailey - CA,AMER,EMEA,CA,Christinaton,Free Goods,Urgent,-34.1580915,-45.678067
