Location ID,Plant,Location Description,Plant Description,Location Region,Plant Region,Location Type,Plant Type,Latitude,Longttitude
PL41191,PL41191,Supply Location - Patel-Martin,Manufacturing / DC Site - Dixon-Haynes,AMER,AMER,PLANT,DC,-67.669876,-172.942559
PL73909,PL73909,Supply Location - Martin Inc,Manufacturing / DC Site - Mack-Little,LATAM,APAC,CMO,PLANT,31.21191,124.610481
PL62094,PL62094,Supply Location - Gilmore LLC,Manufacturing / DC Site - Madden Group,AMER,EMEA,DC,PLANT,-2.4384705,106.374898
PL52124,PL52124,Supply Location - Gill-York,Manufacturing / DC Site - Morrison-Ross,EMEA,APAC,CMO,PLANT,11.9589975,172.108678
PL56384,PL56384,Supply Location - Saunders and Sons,Manufacturing / DC Site - Jimenez-Cole,APAC,EMEA,DC,PLANT,-20.9363185,116.474561
PL62420,PL62420,Supply Location - Knox and Sons,Manufacturing / DC Site - Hoffman and Sons,EMEA,AMER,PLANT,PLANT,44.8258245,165.907007
PL52560,PL52560,"Supply Location - Herrera, Francis and Hobbs","Manufacturing / DC Site - Jones, Nixon and Kelly",LATAM,AMER,DC,WAREHOUSE,-41.6107665,168.671096
PL39286,PL39286,"Supply Location - Stephens, Jacobs and Paul",Manufacturing / DC Site - Martin-Lewis,AMER,LATAM,CMO,CMO,-69.5623475,147.697445
PL61729,PL61729,Supply Location - Snow-Allen,Manufacturing / DC Site - Jones-Jones,AMER,LATAM,PLANT,PLANT,49.50362,-111.388086
PL60133,PL60133,Supply Location - Benton-Orozco,Manufacturing / DC Site - Long-Anderson,EMEA,APAC,PLANT,DC,-48.503191,42.574653
PL20622,PL20622,"Supply Location - Ochoa, Simmons and Martin",Manufacturing / DC Site - Sharp Group,APAC,APAC,WAREHOUSE,PLANT,62.5776505,34.649774
PL25210,PL25210,Supply Location - Maddox-Phillips,"Manufacturing / DC Site - Garcia, Colon and Rush",EMEA,LATAM,DC,CMO,-86.161115,-64.106005
PL45607,PL45607,Supply Location - Garcia-Valdez,"Manufacturing / DC Site - Williams, Day and Lopez",EMEA,APAC,PLANT,WAREHOUSE,54.2283315,-26.721228
PL25966,PL25966,"Supply Location - Smith, Harrison and King",Manufacturing / DC Site - Martin-Cherry,AMER,AMER,CMO,WAREHOUSE,-19.846625,44.632759
PL62290,PL62290,Supply Location - Byrd-Young,Manufacturing / DC Site - Ortiz-Mora,AMER,AMER,WAREHOUSE,DC,57.680619,-107.932716
PL36370,PL36370,Supply Location - Jacobs Inc,Manufacturing / DC Site - Kent PLC,APAC,LATAM,CMO,CMO,-40.3489755,-65.522631
PL97850,PL97850,Supply Location - Leblanc PLC,Manufacturing / DC Site - Taylor-Coffey,EMEA,LATAM,CMO,WAREHOUSE,-3.246499,26.948433
PL63772,PL63772,Supply Location - Martin and Sons,Manufacturing / DC Site - Smith-Mayer,EMEA,APAC,PLANT,DC,-3.191397,26.18384
PL36945,PL36945,Supply Location - Johnson Ltd,Manufacturing / DC Site - Brown-Perry,LATAM,APAC,WAREHOUSE,PLANT,31.2617255,-139.781629
PL52179,PL52179,Supply Location - Gilbert and Sons,"Manufacturing / DC Site - Thomas, Stevens and Mclaughlin",EMEA,APAC,DC,PLANT,74.1994025,142.191307
PL17665,PL17665,Supply Location - Lutz-Cuevas,Manufacturing / DC Site - Hoffman-Mcdonald,AMER,AMER,PLANT,WAREHOUSE,69.772049,163.480568
PL87337,PL87337,"Supply Location - Gonzalez, Miller and Murray",Manufacturing / DC Site - Mason PLC,EMEA,APAC,PLANT,WAREHOUSE,-73.663029,176.236184
PL57159,PL57159,Supply Location - Lowe Inc,"Manufacturing / DC Site - Allen, Dean and Medina",APAC,APAC,PLANT,DC,-17.6593085,-117.868037
