Location ID,Plant,Product ID,Material,Material Description,Plant Exclusion (X),Market DC (X)
PL14571,PL14571,MAT872775,MAT872775,Finished Good - Own Sure,X,
PL79833,PL79833,MAT499715,MAT499715,Finished Good - Piece This,,
PL35825,PL35825,MAT641316,MAT641316,Finished Good - West Next,,X
PL29937,PL29937,MAT595782,MAT595782,Finished Good - Fish Society,X,
PL71814,PL71814,MAT889422,MAT889422,Finished Good - Live What,,
PL98237,PL98237,MAT417789,MAT417789,Finished Good - Degree Month,X,X
PL19804,PL19804,MAT445437,MAT445437,Finished Good - Must On,,
PL13636,PL13636,MAT578045,MAT578045,Finished Good - Artist Happen,,
PL31868,PL31868,MAT208271,MAT208271,Finished Good - Maintain Ball,,
PL77426,PL77426,MAT783272,MAT783272,Finished Good - Character Manage,X,X
PL70087,PL70087,MAT643297,MAT643297,Finished Good - If Support,X,X
PL38888,PL38888,MAT597264,MAT597264,Finished Good - Number List,X,
PL31299,PL31299,MAT272456,MAT272456,Finished Good - Able Knowledge,,X
PL26341,PL26341,MAT739619,MAT739619,Finished Good - Sort Short,,
PL41058,PL41058,MAT881948,MAT881948,Finished Good - Quality Administration,,
PL50106,PL50106,MAT457008,MAT457008,Finished Good - Somebody Level,,X
PL16167,PL16167,MAT659220,MAT659220,Finished Good - Reveal Girl,,X
PL33064,PL33064,MAT157679,MAT157679,Finished Good - Difficult Suggest,X,X
PL59410,PL59410,MAT593407,MAT593407,Finished Good - Sport Western,X,
PL26806,PL26806,MAT715462,MAT715462,Finished Good - Pretty Six,,X
PL63900,PL63900,MAT863840,MAT863840,Finished Good - Respond Be,X,
PL50764,PL50764,MAT246885,MAT246885,Finished Good - Option Stage,X,
PL45653,PL45653,MAT982231,MAT982231,Finished Good - Particularly Fact,,X
PL13076,PL13076,MAT551017,MAT551017,Finished Good - Yard Growth,,X
PL61889,PL61889,MAT815475,MAT815475,Finished Good - Structure Trial,X,X
PL94405,PL94405,MAT988749,MAT988749,Finished Good - Benefit Similar,X,X
PL13145,PL13145,MAT401746,MAT401746,Finished Good - Nation Option,X,
PL51090,PL51090,MAT211128,MAT211128,Finished Good - Between Result,,
PL78990,PL78990,MAT208815,MAT208815,Finished Good - Poor Range,X,X
PL36541,PL36541,MAT763309,MAT763309,Finished Good - Exactly Tend,X,
PL27215,PL27215,MAT958031,MAT958031,Finished Good - Hour Way,,
PL48633,PL48633,MAT479647,MAT479647,Finished Good - Be Buy,,X
PL92016,PL92016,MAT566510,MAT566510,Finished Good - Discuss Deep,,
PL75198,PL75198,MAT454500,MAT454500,Finished Good - Stay Nice,X,
PL84331,PL84331,MAT891227,MAT891227,Finished Good - Himself So,X,X
PL12018,PL12018,MAT757357,MAT757357,Finished Good - School Huge,X,
PL63052,PL63052,MAT106266,MAT106266,Finished Good - Network Federal,X,
PL90586,PL90586,MAT462457,MAT462457,Finished Good - Wife Main,,
PL63867,PL63867,MAT241304,MAT241304,Finished Good - Another Sea,X,
PL16932,PL16932,MAT655297,MAT655297,Finished Good - International Partner,X,
PL43394,PL43394,MAT442953,MAT442953,Finished Good - Paper Black,,X
PL56477,PL56477,MAT931208,MAT931208,Finished Good - Professor Congress,X,
PL80128,PL80128,MAT958066,MAT958066,Finished Good - Time Door,,X
PL21974,PL21974,MAT162346,MAT162346,Finished Good - Happen Other,,
PL21478,PL21478,MAT433571,MAT433571,Finished Good - As Science,,X
PL22507,PL22507,MAT415208,MAT415208,Finished Good - Plan Job,X,
PL82615,PL82615,MAT228852,MAT228852,Finished Good - Matter Though,,
PL33084,PL33084,MAT164262,MAT164262,Finished Good - Affect World,X,
PL72020,PL72020,MAT293961,MAT293961,Finished Good - Business Special,,
PL84187,PL84187,MAT783651,MAT783651,Finished Good - General Hand,X,
PL88717,PL88717,MAT169559,MAT169559,Finished Good - Either His,X,X
PL61830,PL61830,MAT855129,MAT855129,Finished Good - Memory Toward,X,
PL86736,PL86736,MAT104809,MAT104809,Finished Good - How Stage,,
PL11782,PL11782,MAT315879,MAT315879,Finished Good - Seek Month,X,
