MANDT,OBJEK,ATINN,ATZHL,MAFID,KLART,ADZHL,ATWRT,ATFLV,STATU,LKENZ
100,MAT00245,AT001,2,O,001,000,"",851.5133,H,X
100,MAT00785,AT045,2,O,001,000,V3,0.0,L,""
100,MAT00822,AT021,3,O,001,000,BLUE,0.0,L,""
100,MAT00472,AT019,3,O,001,000,V3,0.0,L,""
100,MAT00038,AT002,2,O,001,000,,0.0,"",""
100,MAT00256,AT015,1,O,001,000,,248.8304,H,""
100,MAT00376,AT030,2,O,001,000,V3,0.0,H,""
100,MAT00935,AT043,1,O,001,000,V3,0.0,L,""
100,MAT00889,AT042,2,O,001,000,,0.0,H,""
100,MAT00533,AT018,2,O,001,000,BATCH_A,0.0,"",""
100,MAT00935,AT044,2,O,001,000,V3,89.9726,"",""
100,MAT00284,AT004,2,O,001,000,V3,0.0,"",""
100,MAT00675,AT008,2,O,001,000,"",0.0,H,""
100,MAT00698,AT012,3,O,001,000,BATCH_A,0.0,H,""
100,MAT00047,AT038,1,O,001,000,BATCH_A,0.0,"",""
100,MAT00109,AT012,3,O,001,000,V3,214.3454,"",""
100,MAT00112,AT030,1,O,001,000,BATCH_A,0.0,"",""
100,MAT00318,AT015,3,O,001,000,BLUE,0.0,L,""
100,MAT00465,AT014,1,O,001,000,RED,0.0,H,""
100,MAT00173,AT019,2,O,001,000,RED,0.0,H,""
100,MAT00973,AT027,3,O,001,000,,476.7032,"",X
100,MAT00994,AT044,3,O,001,000,,0.0,H,""
100,MAT00022,AT035,2,O,001,000,,0.0,H,""
100,MAT00964,AT016,2,O,001,000,V3,0.0,"",""
100,MAT00066,AT043,3,O,001,000,"",0.0,"",""
100,MAT00126,AT037,2,O,001,000,BATCH_A,420.5957,"",""
100,MAT00172,AT048,2,O,001,000,BLUE,0.0,L,""
100,MAT00238,AT014,1,O,001,000,RED,0.0,"",""
100,MAT00850,AT024,1,O,001,000,V3,0.0,L,""
100,MAT00468,AT048,1,O,001,000,RED,0.0,L,""
100,MAT00090,AT035,2,O,001,000,BATCH_A,169.2186,L,""
100,MAT00026,AT030,2,O,001,000,,0.0,L,""
100,MAT00097,AT021,3,O,001,000,BLUE,0.0,"",""
100,MAT00906,AT040,3,O,001,000,RED,0.0,L,""
100,MAT00180,AT030,1,O,001,000,BLUE,0.0,L,""
100,MAT00526,AT037,2,O,001,000,BLUE,717.4172,"",""
100,MAT00729,AT021,3,O,001,000,"",0.0,"",""
100,MAT00100,AT035,1,O,001,000,BLUE,0.0,L,""
100,MAT00865,AT046,3,O,001,000,BLUE,0.0,L,""
100,MAT00402,AT029,3,O,001,000,RED,0.0,H,""
100,MAT00160,AT039,3,O,001,000,V3,599.7149,"",X
100,MAT00285,AT049,3,O,001,000,V3,0.0,L,""
100,MAT00877,AT010,3,O,001,000,V3,0.0,"",""
100,MAT00960,AT041,2,O,001,000,BATCH_A,0.0,H,""
100,MAT00486,AT001,3,O,001,000,RED,0.0,H,""
100,MAT00551,AT010,2,O,001,000,BATCH_A,798.1346,H,""
100,MAT00650,AT020,2,O,001,000,BLUE,0.0,"",""
100,MAT00144,AT018,1,O,001,000,BATCH_A,0.0,L,""
100,MAT00233,AT019,2,O,001,000,"",0.0,H,""
100,MAT00696,AT019,2,O,001,000,,0.0,L,""
100,MAT00752,AT037,1,O,001,000,BLUE,500.3839,L,""
100,MAT00965,AT010,2,O,001,000,V3,0.0,L,""
100,MAT00976,AT040,2,O,001,000,,0.0,L,""
100,MAT00278,AT025,3,O,001,000,V3,0.0,L,""
100,MAT00925,AT008,3,O,001,000,RED,0.0,H,""
100,MAT00289,AT013,2,O,001,000,V3,279.8146,"",""
100,MAT00180,AT033,1,O,001,000,V3,0.0,H,""
100,MAT00403,AT015,1,O,001,000,BATCH_A,0.0,H,""
100,MAT00799,AT039,2,O,001,000,V3,0.0,"",""
100,MAT00169,AT007,3,O,001,000,BATCH_A,0.0,"",""
100,MAT00198,AT024,3,O,001,000,"",212.2505,L,X
100,MAT00035,AT023,2,O,001,000,,0.0,H,""
100,MAT00925,AT032,3,O,001,000,V3,0.0,H,""
100,MAT00283,AT028,1,O,001,000,BLUE,0.0,H,""
100,MAT00810,AT010,2,O,001,000,RED,0.0,L,""
100,MAT00270,AT035,2,O,001,000,RED,987.1414,"",""
100,MAT00199,AT015,2,O,001,000,,0.0,"",""
100,MAT00838,AT049,2,O,001,000,,0.0,"",""
100,MAT00382,AT049,2,O,001,000,V3,0.0,"",""
100,MAT00220,AT015,1,O,001,000,RED,0.0,"",""
100,MAT00356,AT026,3,O,001,000,BLUE,699.4178,H,""
100,MAT00750,AT010,2,O,001,000,V3,0.0,H,""
100,MAT00020,AT046,1,O,001,000,"",0.0,"",""
100,MAT00174,AT011,2,O,001,000,,0.0,"",""
100,MAT00748,AT042,1,O,001,000,V3,0.0,H,""
100,MAT00483,AT024,1,O,001,000,BATCH_A,549.8239,"",""
100,MAT00471,AT046,2,O,001,000,BATCH_A,0.0,H,""
100,MAT00652,AT032,3,O,001,000,V3,0.0,H,""
100,MAT00780,AT002,2,O,001,000,V3,0.0,H,""
100,MAT00263,AT026,2,O,001,000,V3,0.0,"",""
100,MAT00063,AT049,1,O,001,000,RED,643.7419,"",X
100,MAT00975,AT025,2,O,001,000,,0.0,"",""
100,MAT00762,AT008,3,O,001,000,,0.0,L,""
