MANDT,EBELN,EBELP,ZEKKN,VGABE,GJAHR,BELNR,BUZEI,BEWTP,BWART,BUDAT,MENGE,BPMNG,DMBTR,WRBTR,WAERS,AREWR,WESBS,BPWES,SHKZG,BWTAR,ELIKZ,XBLNR,LFGJA,LFBNR,CPUDT,CPUTM,REEWR,EVERE,REFWR,MATNR,WERKS,XWSBR,ETENS,KNUMV,MWSKZ,LSMNG,LSMEH,EMATN,AREWW,HSWAE,BAMNG,CHARG,BLDAT,XWOFF,XUNPL,ERNAM
200,4517992790,00011,01,1,2026,5006521482,4545,Q,101,20250302,364.589,364.589,42547.54,42547.54,INR,42682.11,18.229,18.229,H,VAL1,X,REF64771,2026,6082625944,20250302,063058,40420.16,OK,41271.11,MAT653673,PL01,X,4936,5195638695,C2,364.589,KG,MAT653673,41696.59,INR,364.589,B2808,20250302,X,N,USER91
100,4535628294,00023,04,2,2026,5203511386,3588,E,122,20240112,343.779,343.779,136978.74,136978.74,USD,137184.97,17.189,17.189,S,VAL1,X,REF53918,2026,6306117871,20240112,214457,130129.8,OK,132869.38,MAT465047,PL02,X,6353,4562744829,A0,343.779,KG,MAT465047,134239.17,USD,343.779,B5519,20240112,X,N,USER73
300,4593567268,00005,01,3,2024,5254487447,2930,E,122,20240506,404.089,404.089,112829.73,112829.73,INR,114972.65,20.204,20.204,H,VAL3,X,REF50122,2024,6370918093,20240506,154454,107188.24,OK,109444.84,MAT851002,PL01,X,4702,5020641695,C2,404.089,EA,MAT851002,110573.14,INR,404.089,B2630,20240506,X,N,USER76
200,4590568407,00024,03,2,2026,5510322762,0974,R,102,20230813,154.016,154.016,46776.2,46776.2,USD,46538.77,7.701,7.701,H,VAL3,X,REF37321,2026,6931014243,20230813,234322,44437.39,OK,45372.91,MAT263576,PL02,X,5267,3876422164,B1,154.016,KG,MAT263576,45840.68,USD,154.016,B4129,20230813,X,N,USER51
300,4580158073,00033,02,1,2025,5888150028,3740,R,101,20230625,125.925,125.925,7003.95,7003.95,EUR,7112.67,6.296,6.296,H,VAL1,X,REF61957,2025,6123666225,20230625,192243,6653.75,OK,6793.83,MAT900184,PL04,X,1763,4967251587,C2,125.925,EA,MAT900184,6863.87,EUR,125.925,B6773,20230625,X,N,USER79
200,4544549822,00030,01,2,2022,5674331052,1585,E,122,20241029,240.084,240.084,116587.19,116587.19,EUR,118337.51,12.004,12.004,S,VAL4,X,REF36234,2022,6844596734,20241029,220917,110757.83,OK,113089.57,MAT802018,PL01,X,4743,3438542922,B1,240.084,KG,MAT802018,114255.45,EUR,240.084,B3655,20241029,X,N,USER17
100,4596402648,00014,05,1,2023,5918000963,5289,Q,101,20250524,20.239,20.239,1876.16,1876.16,EUR,1903.45,1.012,1.012,S,VAL2,X,REF53009,2023,6807368292,20250524,135438,1782.35,OK,1819.88,MAT567625,PL02,X,7462,6137495398,C2,20.239,LTR,MAT567625,1838.64,EUR,20.239,B1084,20250524,X,N,USER83
200,4500741484,00006,03,1,2026,5705443834,2258,E,101,20240831,392.937,392.937,56425.75,56425.75,EUR,57433.78,19.647,19.647,S,VAL2,X,REF82552,2026,6744003784,20240831,192459,53604.46,OK,54732.98,MAT752400,PL04,X,5588,8669120059,A0,392.937,KG,MAT752400,55297.24,EUR,392.937,B3406,20240831,X,N,USER18
200,4507601019,00005,05,2,2026,5220743495,3208,E,122,20250911,481.715,481.715,113289.73,113289.73,INR,113192.08,24.086,24.086,H,VAL4,X,REF60803,2026,6692938687,20250911,003541,107625.24,OK,109891.04,MAT949185,PL04,X,9887,9351267129,B1,481.715,EA,MAT949185,111023.94,INR,481.715,B9349,20250911,X,N,USER46
200,4540596536,00015,04,1,2023,5363217480,0772,E,105,20230519,61.981,61.981,15062.62,15062.62,EUR,15304.53,3.099,3.099,S,VAL4,X,REF69331,2023,6938822005,20230519,192512,14309.49,OK,14610.74,MAT575054,PL03,X,8711,1051943968,B1,61.981,LTR,MAT575054,14761.37,EUR,61.981,B1474,20230519,X,N,USER76
300,4566233364,00028,01,2,2023,5305436293,1834,R,101,20251203,385.829,385.829,153224.27,153224.27,INR,152814.03,19.291,19.291,S,VAL3,X,REF60837,2023,6872570608,20251203,015534,145563.06,OK,148627.54,MAT138979,PL02,X,6844,2026994720,A0,385.829,EA,MAT138979,150159.78,INR,385.829,B3433,20251203,X,N,USER67
300,4558399300,00017,01,1,2022,5462353116,3243,E,101,20241231,483.244,483.244,70427.98,70427.98,INR,69714.1,24.162,24.162,H,VAL2,X,REF50282,2022,6546415307,20241231,023047,66906.58,OK,68315.14,MAT723396,PL01,X,1198,4636144643,A0,483.244,KG,MAT723396,69019.42,INR,483.244,B2177,20241231,X,N,USER17
200,4585054817,00014,03,3,2026,5396559474,8297,R,105,20240419,220.504,220.504,36700.69,36700.69,USD,36686.98,11.025,11.025,S,VAL1,X,REF38978,2026,6975509645,20240419,112635,34865.66,OK,35599.67,MAT668114,PL02,X,1442,7129174216,A0,220.504,KG,MAT668114,35966.68,USD,220.504,B1577,20240419,X,N,USER10
200,4504918690,00044,03,1,2025,5127138397,4197,R,101,20250603,201.115,201.115,49062.0,49062.0,INR,49987.53,10.056,10.056,S,VAL1,X,REF99042,2025,6252571523,20250603,175828,46608.9,OK,47590.14,MAT301593,PL04,X,8297,8148206159,A0,201.115,LTR,MAT301593,48080.76,INR,201.115,B8669,20250603,X,N,USER79
100,4581547756,00030,02,2,2022,5973252804,1320,R,102,20231208,283.72,283.72,91987.7,91987.7,EUR,90771.53,14.186,14.186,H,VAL2,X,REF64817,2022,6618904930,20231208,115911,87388.31,OK,89228.07,MAT356315,PL03,X,9406,7183511818,A0,283.72,EA,MAT356315,90147.95,EUR,283.72,B8065,20231208,X,N,USER36
100,4578165307,00013,04,2,2022,5428698780,2418,R,102,20240415,375.528,375.528,28720.38,28720.38,USD,28174.96,18.776,18.776,H,VAL5,X,REF76770,2022,6089649080,20240415,002938,27284.36,OK,27858.77,MAT786541,PL04,X,0867,4955960799,A0,375.528,EA,MAT786541,28145.97,USD,375.528,B9574,20240415,X,N,USER29
100,4548999348,00009,04,3,2025,5077264306,0879,Q,105,20240621,266.146,266.146,35400.08,35400.08,USD,36070.86,13.307,13.307,S,VAL5,X,REF57124,2025,6626371027,20240621,095228,33630.08,OK,34338.08,MAT346719,PL01,X,2414,4544849727,B1,266.146,EA,MAT346719,34692.08,USD,266.146,B2740,20240621,X,N,USER27
100,4524444404,00004,01,3,2026,5384361241,9606,Q,101,20250213,153.954,153.954,22224.8,22224.8,EUR,21915.63,7.698,7.698,H,VAL1,X,REF62861,2026,6125431545,20250213,023153,21113.56,OK,21558.06,MAT547647,PL04,X,0588,5655126249,A0,153.954,KG,MAT547647,21780.3,EUR,153.954,B6929,20250213,X,N,USER15
200,4571736358,00006,03,1,2023,5684792994,2201,R,101,20250427,383.814,383.814,78950.54,78950.54,EUR,78352.43,19.191,19.191,H,VAL5,X,REF12384,2023,6112817719,20250427,180922,75003.01,OK,76582.02,MAT931617,PL01,X,5920,6594318284,B1,383.814,EA,MAT931617,77371.53,EUR,383.814,B4048,20250427,X,N,USER5
300,4570832202,00043,05,2,2023,5784991834,2121,R,122,20231026,378.928,378.928,146027.48,146027.48,INR,148084.56,18.946,18.946,S,VAL4,X,REF74196,2023,6536511001,20231026,153049,138726.11,OK,141646.66,MAT135337,PL03,X,8329,5496181630,C2,378.928,LTR,MAT135337,143106.93,INR,378.928,B5292,20231026,X,N,USER80
100,4502297939,00005,01,3,2024,5743162311,3744,E,105,20240530,289.632,289.632,123649.69,123649.69,EUR,122432.7,14.482,14.482,S,VAL5,X,REF68235,2024,6277137076,20240530,183245,117467.21,OK,119940.2,MAT567836,PL01,X,2151,8198479567,B1,289.632,KG,MAT567836,121176.7,EUR,289.632,B8788,20240530,X,N,USER71
300,4560888595,00036,05,3,2022,5117767133,7215,E,105,20251113,221.557,221.557,107266.82,107266.82,USD,106525.93,11.078,11.078,S,VAL5,X,REF12753,2022,6914694259,20251113,035948,101903.48,OK,104048.82,MAT440577,PL02,X,4990,1140804072,B1,221.557,LTR,MAT440577,105121.48,USD,221.557,B4676,20251113,X,N,USER55
200,4590408102,00003,02,1,2022,5751734103,2474,E,101,20251023,152.532,152.532,26763.26,26763.26,USD,26636.15,7.627,7.627,S,VAL5,X,REF17363,2022,6433834604,20251023,002630,25425.1,OK,25960.36,MAT433142,PL01,X,9049,2904710564,A0,152.532,LTR,MAT433142,26227.99,USD,152.532,B5669,20251023,X,N,USER4
100,4580821116,00025,05,1,2025,5361691115,2812,E,101,20250423,226.497,226.497,13179.86,13179.86,INR,13103.53,11.325,11.325,H,VAL2,X,REF28079,2025,6243901613,20250423,010003,12520.87,OK,12784.46,MAT789195,PL01,X,9048,9094520585,C2,226.497,EA,MAT789195,12916.26,INR,226.497,B5051,20250423,X,N,USER80
