MANDT,EBELN,BUKRS,BSTYP,BSART,BSAKZ,LOEKZ,STATU,AEDAT,ERNAM,PINCR,LPONR,LIFNR,SPRAS,ZTERM,ZBD1T,ZBD2T,ZBD3T,ZBD1P,ZBD2P,EKORG,EKGRP,WAERS,WKURS,KUFIX,BEDAT,KDATB,KDATE,BWBDT,ANGDT,BNDDT,GWLDT,AUSNR,ANGNR,IHREZ,KTWRT
100,4502818609,C003,F,ZNB,"",X,B,20250406,USER22,00015,00084,V503822,E,PT39,28,46,86,0.167,0.586,P002,002,INR,23.1757,"",20250406,20250307,20260406,20250416,20250426,20250506,20260406,8416859766,8648092345,REF5698,348405.25
200,4563365034,C004,F,FO,"",X,A,20230722,USER23,00082,00052,V944835,E,PT48,12,57,72,4.103,1.955,P001,003,EUR,12.7491,"",20230722,20230622,20240721,20230801,20230811,20230821,20240721,4016002951,4684470504,REF6815,16769.8
300,4549882333,C002,F,NB,"","",B,20260202,USER73,00084,00087,V384301,D,PT50,13,43,85,3.286,1.513,P001,001,EUR,28.88847,X,20260202,20260103,20270202,20260212,20260222,20260304,20270202,4168933363,7131979174,REF2056,206587.68
200,4545175021,C002,F,UB,X,X,B,20250811,USER51,00059,00044,V138332,E,PT45,2,57,81,4.586,0.946,P001,004,EUR,54.65937,"",20250811,20250712,20260811,20250821,20250831,20250910,20260811,2241944517,8747311699,REF9624,420693.75
100,4569370246,C003,F,FO,X,"",B,20230830,USER23,00079,00039,V255872,D,PT33,19,48,68,2.591,2.756,P003,004,EUR,38.49977,X,20230830,20230731,20240829,20230909,20230919,20230929,20240829,1824098310,4334738629,REF6532,234665.97
100,4552852822,C001,F,UB,X,X,C,20230524,USER58,00038,00030,V486913,D,PT27,21,44,74,4.545,2.176,P003,002,INR,63.4141,"",20230524,20230424,20240523,20230603,20230613,20230623,20240523,7913117191,5741993850,REF5225,151880.0
200,4578740533,C004,F,UB,"","",C,20230621,USER56,00018,00040,V177998,D,PT28,17,54,72,2.088,2.088,P002,001,EUR,63.7645,"",20230621,20230522,20240620,20230701,20230711,20230721,20240620,9149648888,7607016420,REF6475,186985.72
100,4519190355,C004,F,NB,X,"",B,20231031,USER60,00023,00046,V413189,D,PT60,22,41,84,4.97,1.698,P001,002,EUR,81.19111,"",20231031,20231001,20241030,20231110,20231120,20231130,20241030,7064084720,3917808697,REF2467,391243.81
200,4535124791,C001,F,UB,X,"",B,20251114,USER78,00046,00022,V500593,F,PT23,30,30,68,0.452,1.777,P001,004,USD,70.22423,X,20251114,20251015,20261114,20251124,20251204,20251214,20261114,7638282089,9421191028,REF8407,333621.21
200,4519476800,C003,F,FO,"",X,C,20260206,USER96,00010,00095,V662820,E,PT51,28,53,90,1.499,0.55,P001,004,INR,18.85676,X,20260206,20260107,20270206,20260216,20260226,20260308,20270206,3372100932,3232278326,REF3271,15346.98
