MANDT,EBELN,EBELP,AEDAT,TXZ01,MATNR,BUKRS,WERKS,LGORT,MATKL,MENGE,MEINS,NETPR,NETWR,BRTWR,MWSKZ,PSTYP,MTART,NTGEW,BRGEW,VOLUM
400,4500000000,00010,20240428,Turn reduce drug.,000000000000100000,2000,3100,0003,SERV,90.158,EA,798.95,72031.73,84997.44,V2,1,FERT,27.176,32.344,0.396
400,4500000000,00020,20240428,Father drive write military four.,000000000000100001,1000,1200,0002,PACK,678.412,EA,2588.24,1755893.07,2071953.82,V3,0,HALB,38.921,38.052,3.066
400,4500000000,00030,20240428,Bad collection fly world.,000000000000100002,3000,2100,0001,SERV,449.363,EA,8942.26,4018320.78,4741618.52,V3,0,ROH,34.647,30.702,2.156
400,4500000000,00040,20240428,Position game away section certain.,000000000000100003,3000,3100,0003,RAW,247.671,KG,8741.2,2164941.75,2554631.26,V1,0,HALB,30.266,19.295,0.625
400,4500000000,00050,20240428,Soon age worry face inside tough region.,000000000000100004,3000,3100,0003,SERV,583.037,EA,2310.36,1347025.36,1589489.92,V2,0,FERT,18.669,15.848,0.355
100,4500000001,00010,20240313,Test up still concern.,000000000000100005,2000,2100,0003,RAW,649.948,EA,1405.69,913625.4,1078077.97,V2,0,HALB,36.375,48.116,2.241
100,4500000001,00020,20240313,Support give series alone on provide.,000000000000100006,2000,3100,0003,PACK,284.779,EA,6802.53,1937217.69,2285916.87,V2,1,FERT,36.355,3.538,0.38
100,4500000001,00030,20240313,Walk off vote.,000000000000100007,1000,3100,0002,SPAR,659.641,EA,6619.88,4366744.26,5152758.23,V2,1,ROH,8.059,22.266,2.262
100,4500000001,00040,20240313,Pay while assume.,000000000000100008,1000,2100,0002,RAW,40.2,EA,3437.73,138196.75,163072.16,V1,0,HALB,29.909,21.817,2.066
100,4500000001,00050,20240313,Article seven human past tough.,000000000000100009,1000,1100,0003,PACK,90.192,KG,3949.35,356199.78,420315.74,V2,0,FERT,27.656,6.388,2.87
400,4500000002,00010,20250413,Health manage for candidate modern shake,000000000000100010,3000,1200,0002,RAW,798.483,L,112.58,89893.22,106074.0,V1,0,HALB,8.442,19.033,3.387
400,4500000002,00020,20250413,Back five chair drop.,000000000000100011,2000,1200,0002,SPAR,102.173,EA,4670.46,477194.91,563089.99,V2,1,ROH,16.046,35.546,3.366
400,4500000002,00030,20250413,Hot watch realize itself.,000000000000100012,2000,3100,0001,SPAR,740.429,EA,5365.4,3972697.76,4687783.36,V1,0,ROH,5.273,31.973,3.298
400,4500000002,00040,20250413,Town mother range.,000000000000100013,3000,2100,0002,SERV,158.235,KG,7178.0,1135810.83,1340256.78,V2,1,FERT,30.967,22.845,2.543
400,4500000002,00050,20250413,Throw give keep couple industry eight bu,000000000000100014,1000,2100,0002,SERV,954.144,EA,2048.25,1954325.45,2306104.03,V3,1,HALB,1.994,32.758,2.053
300,4500000003,00010,20251231,Amount mean glass meeting feel responsib,000000000000100015,2000,2100,0002,SERV,959.263,KG,356.43,341910.11,403453.93,V3,1,HALB,13.261,17.673,1.489
300,4500000003,00020,20251231,Condition take stage statement guess be.,000000000000100016,2000,2100,0001,SERV,210.623,KG,8886.19,1871636.0,2208530.48,V2,0,ROH,6.819,29.538,0.637
300,4500000003,00030,20251231,Cup treat visit draw myself answer later,000000000000100017,1000,3100,0001,RAW,114.273,KG,3087.33,352798.46,416302.18,V3,0,HALB,1.079,44.012,1.902
300,4500000003,00040,20251231,Cultural debate fish nature short.,000000000000100018,1000,1100,0001,PACK,114.15,EA,4021.4,459042.81,541670.52,V3,1,ROH,19.033,27.289,1.613
300,4500000003,00050,20251231,Plant operation adult help.,000000000000100019,2000,1200,0001,PACK,969.876,EA,4275.61,4146811.52,4893237.59,V3,1,HALB,14.157,8.484,1.48
100,4500000004,00010,20240908,Story protect exist data let.,000000000000100020,2000,2100,0003,SERV,487.009,L,8144.24,3966318.18,4680255.45,V1,0,FERT,5.894,26.482,0.86
100,4500000004,00020,20240908,Person believe product catch soldier.,000000000000100021,1000,3100,0003,SPAR,430.138,L,5962.68,2564775.25,3026434.79,V2,0,HALB,7.739,8.968,3.743
100,4500000004,00030,20240908,Page around matter include run low movem,000000000000100022,1000,1200,0002,RAW,917.883,KG,1489.69,1367361.13,1613486.13,V2,1,FERT,11.968,5.559,2.281
100,4500000004,00040,20240908,Ago one office quickly candidate measure,000000000000100023,2000,1200,0003,SPAR,632.606,L,8210.83,5194220.32,6129179.98,V3,1,FERT,39.22,39.885,0.152
100,4500000004,00050,20240908,Result impact some pass.,000000000000100024,3000,1100,0003,PACK,490.564,KG,4911.18,2409248.11,2842912.77,V2,1,HALB,33.603,36.177,3.625
400,4500000005,00010,20250511,Offer condition cold.,000000000000100025,3000,2100,0003,RAW,211.491,KG,5860.16,1239371.1,1462457.9,V1,0,HALB,34.706,22.392,2.479
400,4500000005,00020,20250511,Begin can plant bad.,000000000000100026,2000,2100,0003,RAW,196.084,L,6233.08,1222207.26,1442204.57,V3,0,ROH,17.117,6.333,3.604
400,4500000005,00030,20250511,Far her whole attack cut six.,000000000000100027,3000,1100,0001,SPAR,382.205,EA,5551.76,2121910.43,2503854.31,V1,1,ROH,11.861,34.792,3.228
400,4500000005,00040,20250511,Point expert four kid black your visit.,000000000000100028,1000,1200,0003,SERV,574.972,KG,5988.15,3443018.58,4062761.92,V3,0,ROH,9.473,4.249,2.383
400,4500000005,00050,20250511,Little against benefit.,000000000000100029,2000,1100,0001,SERV,670.39,EA,5836.92,3913012.8,4617355.1,V1,1,FERT,29.412,30.962,0.164
100,4500000006,00010,20250807,Deep claim per thus.,000000000000100030,3000,1200,0002,SPAR,325.955,L,3219.25,1049330.63,1238210.14,V3,1,FERT,34.324,30.24,1.691
100,4500000006,00020,20250807,Someone pick such.,000000000000100031,1000,3100,0002,RAW,879.199,KG,7248.17,6372583.82,7519648.91,V2,0,FERT,37.149,44.539,3.542
100,4500000006,00030,20250807,Play response sea generation arrive rece,000000000000100032,1000,3100,0002,SPAR,61.475,KG,8848.18,543941.87,641851.41,V2,1,FERT,35.64,36.066,0.38
100,4500000006,00040,20250807,Really worker interest yes election pull,000000000000100033,2000,1200,0003,SPAR,825.258,EA,1449.74,1196409.53,1411763.25,V3,0,ROH,14.376,29.27,0.306
100,4500000006,00050,20250807,Able suddenly interest indeed both still,000000000000100034,2000,2100,0002,SERV,920.854,EA,3124.11,2876849.19,3394682.04,V2,0,FERT,19.757,49.221,0.71
400,4500000007,00010,20241007,Start year important when national local,000000000000100035,2000,1200,0001,PACK,231.764,L,2824.03,654508.49,772320.02,V3,0,ROH,9.318,34.598,1.705
