MANDT,MATNR,SPRAS,MAKTX,MAKTG
100,MAT178004,S,Motor 438,MOTOR 438
200,MAT617687,F,Pump 365,PUMP 365
200,MAT991953,D,Panel 473,PANEL 473
300,MAT916703,E,Nut 22,NUT 22
100,MAT317733,E,Bolt 473,BOLT 473
100,MAT985274,D,Valve 153,VALVE 153
200,MAT435922,D,Switch 470,SWITCH 470
300,MAT440747,F,Panel 254,PANEL 254
100,MAT301508,F,Switch 61,SWITCH 61
200,MAT279703,F,Valve 54,VALVE 54
300,MAT932398,E,Cable 26,CABLE 26
200,MAT405805,D,Steel 183,STEEL 183
100,MAT265436,D,Switch 412,SWITCH 412
100,MAT558128,F,Valve 134,VALVE 134
100,MAT762383,F,Valve 339,VALVE 339
200,MAT614078,E,Cable 500,CABLE 500
100,MAT776098,F,Nut 273,NUT 273
200,MAT174690,F,Pump 378,PUMP 378
300,MAT662198,S,Pipe 22,PIPE 22
200,MAT872177,E,Cable 159,CABLE 159
200,MAT471023,F,Steel 12,STEEL 12
200,MAT859247,F,Steel 149,STEEL 149
100,MAT732235,D,Cable 440,CABLE 440
300,MAT273907,D,Switch 9,SWITCH 9
100,MAT769178,S,Pipe 45,PIPE 45
300,MAT522696,E,Pipe 24,PIPE 24
200,MAT594679,F,Switch 452,SWITCH 452
100,MAT857664,S,Valve 190,VALVE 190
300,MAT312248,D,Bolt 212,BOLT 212
100,MAT457193,E,Cable 42,CABLE 42
100,MAT693364,D,Valve 255,VALVE 255
300,MAT891444,E,Cable 71,CABLE 71
300,MAT589534,E,Panel 321,PANEL 321
300,MAT594894,E,Bolt 138,BOLT 138
100,MAT471913,S,Cable 114,CABLE 114
300,MAT992826,D,Switch 33,SWITCH 33
200,MAT330570,D,Pump 373,PUMP 373
200,MAT115315,S,Steel 44,STEEL 44
300,MAT500187,D,Steel 451,STEEL 451
100,MAT448642,E,Motor 374,MOTOR 374
200,MAT983353,F,Pump 13,PUMP 13
200,MAT938067,S,Bolt 496,BOLT 496
100,MAT592453,S,Steel 10,STEEL 10
100,MAT453517,S,Cable 172,CABLE 172
100,MAT550028,E,Nut 372,NUT 372
100,MAT555266,D,Panel 325,PANEL 325
200,MAT147816,F,Panel 179,PANEL 179
300,MAT187040,F,Switch 387,SWITCH 387
200,MAT253974,S,Switch 12,SWITCH 12
200,MAT735970,D,Switch 51,SWITCH 51
300,MAT694400,E,Motor 199,MOTOR 199
300,MAT386476,E,Steel 252,STEEL 252
200,MAT194233,S,Pipe 199,PIPE 199
300,MAT213121,D,Cable 97,CABLE 97
200,MAT907494,S,Valve 22,VALVE 22
100,MAT674054,F,Switch 289,SWITCH 289
300,MAT924559,D,Nut 265,NUT 265
200,MAT412267,E,Nut 375,NUT 375
200,MAT613390,F,Valve 488,VALVE 488
300,MAT817194,S,Switch 415,SWITCH 415
100,MAT875184,D,Panel 87,PANEL 87
100,MAT704374,S,Panel 79,PANEL 79
200,MAT366561,S,Steel 151,STEEL 151
100,MAT925922,S,Bolt 411,BOLT 411
200,MAT285907,S,Bolt 275,BOLT 275
100,MAT676926,S,Steel 4,STEEL 4
200,MAT747215,E,Pipe 402,PIPE 402
200,MAT134802,F,Valve 219,VALVE 219
300,MAT828704,F,Panel 454,PANEL 454
100,MAT341208,S,Motor 297,MOTOR 297
100,MAT219958,E,Pipe 103,PIPE 103
200,MAT719716,S,Motor 39,MOTOR 39
200,MAT804347,D,Valve 452,VALVE 452
100,MAT700748,E,Switch 51,SWITCH 51
200,MAT580218,S,Bolt 52,BOLT 52
300,MAT819496,D,Panel 267,PANEL 267
300,MAT400311,E,Bolt 322,BOLT 322
100,MAT269433,E,Motor 282,MOTOR 282
300,MAT877246,E,Bolt 82,BOLT 82
