AENAM,BISMT,BREIT,BRGEW,BSTME,DATAB,EAN11,ERNAM,ERSDA,GEWEI,HERKL,HOEHE,KZKFG,LAEDA,LAENG,LIQDT,LVORM,MANDT,MATKL,MATNR,MBRSH,MEINS,MFRNR,MSTAE,MSTDE,MTART,NTGEW,PRDHA,PSTAT,QMPUR,SPART,VOLEH,VOLUM,VPSTA,XCHPF
srodriguez,189382802349902431,95.881,267.238,KG,20230807,6712334835674,vickiereynol,20220124,KG,IN,84.296,"",20210815,62.299,20220608,"",100,538372552,766415689126383086,C,M,1000000056,01,20240919,ROH,200.149,933912650520528084,K,"",01,M3,0.504,K,X
morriskather,998273795847592489,69.032,15.27,EA,20251229,7709359408637,ann49,20250325,KG,CN,65.376,X,20210819,3.029,20210212,"",100,783954416,746294566975498235,M,L,1000000260,01,20220104,ROH,10.942,467840012150952712,K,"",03,M3,0.014,K,X
yangmegan,121265339447613531,88.529,192.446,EA,20220826,3513482734108,tabithaguerr,20240505,KG,IN,26.668,"",20230922,47.814,20201123,"",100,171649276,324654228982639009,C,L,1000000290,02,20201016,ROH,162.365,656137622969781377,K,X,03,M3,0.113,K,""
adrian09,286153102320994131,61.255,84.847,EA,20201205,6007854936346,kathy68,20250520,KG,IN,26.325,X,20211016,14.344,20221010,"",100,307028764,347736910351024443,M,EA,1000000313,03,20231015,HAWA,63.824,164345351385965371,K,X,02,M3,0.023,K,X
gwendolyntay,318613188188412874,29.286,44.227,L,20250620,6089448854164,mathissara,20241125,KG,US,53.883,"",20210606,17.343,20230623,"",100,260382242,588383188624004554,C,L,1000000443,02,20210619,FERT,33.421,847947714026413259,K,"",01,M3,0.027,K,""
fvance,572655885568295996,11.243,45.199,KG,20210129,5996342922265,danielbernar,20230121,KG,CN,22.275,X,20251028,61.997,20250521,"",100,139598610,409741017138243657,C,KG,1000000444,01,20230825,HAWA,34.885,558095937890762097,K,"",01,M3,0.016,K,X
mbradshaw,924415788280587739,66.115,423.995,EA,20250705,1363335558625,davidsonadam,20230606,KG,DE,75.278,X,20210421,92.232,20250912,"",100,577908254,578724492753865926,M,M,1000000036,02,20231210,HAWA,333.026,998877971370912076,K,"",02,M3,0.459,K,""
lorigibson,377813929697452643,63.377,254.308,L,20240720,2785963712047,jeffreycueva,20251104,KG,IN,51.968,X,20250305,80.426,20230116,"",100,185676816,112611956175489285,C,EA,1000000154,01,20210108,ROH,218.343,638474316598252326,K,X,03,M3,0.265,K,""
michael35,339563306859788860,22.724,252.45,KG,20260121,6068244805536,mflores,20220111,KG,DE,66.466,"",20210619,62.43,20200828,"",100,798786176,812580150191773595,C,L,1000000346,02,20221002,HALB,221.549,388717370902686466,K,X,02,M3,0.094,K,X
brandon03,875428158696397079,79.744,157.69,L,20221114,1494155579606,bmiller,20240218,KG,DE,74.077,"",20210409,54.071,20240715,"",100,254816325,575964846996305944,C,M,1000000285,02,20210814,ROH,138.583,583127855636529066,K,X,03,M3,0.319,K,X
ronald10,416247503660418519,84.622,343.054,KG,20230302,4344857809058,henrystephan,20210403,KG,IN,71.547,X,20221209,55.697,20260117,"",100,206292919,509661037875451693,C,KG,1000000109,02,20250922,HAWA,297.991,448264018542985470,K,X,01,M3,0.337,K,""
lindawilliam,109186386317336007,80.519,278.843,KG,20250719,7362243483201,amber95,20230101,KG,IN,66.096,"",20220314,88.66,20220528,"",100,812306831,667826226751862899,A,L,1000000026,03,20220517,HAWA,195.197,803275785939849993,K,X,03,M3,0.472,K,X
debra27,529087829176789281,41.536,15.767,EA,20231221,3245567626644,dmullins,20240416,KG,DE,30.529,"",20250912,67.16,20240725,"",100,273739642,104445816888640446,C,L,1000000263,01,20230714,FERT,13.298,600269385514582634,K,"",02,M3,0.085,K,""
uray,987458827185022279,43.613,153.477,KG,20201011,8336545148928,njackson,20210626,KG,DE,68.597,"",20230125,68.776,20240204,"",100,352029599,421776624507425294,A,M,1000000136,02,20240727,HAWA,131.16,338688117756928021,K,X,02,M3,0.206,K,""
katherinegar,687722348862432675,96.174,10.205,EA,20250113,9315546483248,wangclaudia,20231003,KG,IN,70.471,X,20211005,9.201,20210911,"",100,760316823,512019929517565413,A,M,1000000082,03,20220222,ROH,9.04,406495122630857850,K,"",01,M3,0.062,K,""
robert22,251336422734065915,99.621,185.799,L,20250218,1349169083318,ihudson,20240322,KG,DE,59.444,"",20220620,12.153,20250418,"",100,538372552,254396013124016159,M,KG,1000000203,03,20231003,HALB,137.869,242948865791900202,K,"",01,M3,0.072,K,""
thompsonlori,487289049032295299,65.841,485.522,L,20220527,1032354904733,rmorton,20220324,KG,CN,54.158,X,20251017,69.005,20240629,"",100,661164554,346778977462198469,M,EA,1000000257,02,20220627,FERT,343.428,633989631106329441,K,"",02,M3,0.246,K,""
yateslarry,987698524322566167,5.435,339.824,L,20230128,2670987097596,rmosley,20220403,KG,US,85.056,"",20251005,16.307,20210402,"",100,161474133,225860144718689118,A,M,1000000023,01,20251029,HAWA,281.908,743485974789391328,K,"",01,M3,0.008,K,""
hernandezsam,911435440669279178,79.777,158.331,L,20230206,1861375154838,mullencollee,20211128,KG,DE,36.556,X,20250828,25.057,20240625,"",100,504944357,129326993901203275,A,L,1000000231,03,20231127,HAWA,120.785,783990008652838797,K,"",03,M3,0.073,K,X
qjensen,221737258340641282,84.999,151.266,M,20230715,1920512502198,cindy74,20220423,KG,DE,49.869,"",20230918,85.745,20230613,"",100,853418451,809212832248584426,M,M,1000000268,01,20240911,HAWA,129.965,930201944201390903,K,X,03,M3,0.363,K,""
keithkramer,727315363617526242,83.326,485.794,M,20251008,3403702907979,leedeborah,20230829,KG,DE,28.856,"",20231103,7.699,20240731,"",100,678924142,468257382239812799,M,KG,1000000108,01,20211119,ROH,376.353,161992543186024238,K,"",02,M3,0.019,K,X
isaac99,681305627984570530,49.132,434.364,L,20200918,9676520527858,kimberly14,20251010,KG,DE,34.249,X,20221202,27.636,20210319,"",100,644530791,444157508837921258,M,M,1000000051,02,20240825,HALB,339.937,509119087436956010,K,"",03,M3,0.047,K,""
kendra02,836184657616248222,98.214,450.002,KG,20230809,3080663667945,jamie41,20260116,KG,IN,64.857,"",20250624,38.498,20210629,"",100,527316716,859210701721924954,M,M,1000000107,01,20240424,FERT,317.654,996034641486253779,K,X,03,M3,0.245,K,X
gerald01,773206488772444239,53.877,260.481,M,20220227,9818246289690,alexbutler,20251217,KG,CN,45.846,"",20210424,35.514,20211004,"",100,213851780,600530520645402489,C,M,1000000398,02,20220717,FERT,217.888,683677636534744718,K,X,03,M3,0.088,K,""
amandareyes,114634688705498093,9.676,378.649,M,20250513,7795398319660,reyeschristi,20230418,KG,CN,42.805,"",20210309,15.461,20220701,"",100,395979359,758910660965170339,M,EA,1000000298,01,20220701,HALB,354.223,933378850870991923,K,X,03,M3,0.006,K,""
ulozano,297210515731242461,9.451,279.756,EA,20250310,1646382145382,kirstengates,20201210,KG,IN,24.622,"",20220115,11.18,20200825,"",100,228206926,659721788625278192,C,EA,1000000232,03,20220728,ROH,231.532,988211864643117863,K,X,02,M3,0.003,K,""
cristian52,520652939926742022,54.798,149.569,KG,20221021,6458637127230,jason59,20251222,KG,CN,75.468,"",20220608,44.184,20211024,"",100,917857949,677003533698009929,A,EA,1000000124,02,20250209,HAWA,124.317,883931334758584106,K,"",02,M3,0.183,K,""
smoore,282201978638932300,84.993,280.273,KG,20241001,7950252129806,samuel81,20201113,KG,DE,74.49,X,20250527,60.523,20230619,"",100,952178480,248308835279040759,C,M,1000000438,02,20230321,FERT,201.419,262413913658591474,K,"",01,M3,0.383,K,X
garzabriana,386533772435879494,90.8,452.744,KG,20231216,2751211173687,heidi98,20201017,KG,CN,54.146,X,20211028,66.675,20220609,"",100,575372889,348310774345282894,M,M,1000000032,03,20200915,HALB,334.147,478824557913144025,K,X,03,M3,0.328,K,""
rortiz,873781139869301196,67.538,62.47,L,20250619,5023199916300,erica60,20221227,KG,CN,9.813,X,20220426,4.325,20210527,"",100,713890793,646189211141909881,A,EA,1000000481,01,20220913,FERT,50.63,134148136723714609,K,X,02,M3,0.003,K,X
npatel,594715997002905796,74.711,430.146,EA,20240708,4337943369635,colemanmiche,20240121,KG,CN,18.274,X,20210711,67.985,20210529,"",100,142631312,443150530744077831,A,KG,1000000388,01,20210808,ROH,312.159,419130825254187192,K,"",03,M3,0.093,K,""
