AUSME,AUSSS,BESKZ,BSTMA,BSTMI,BWTTY,DISGR,DISMM,DISPO,DISPR,EISBE,EISLO,EKGRP,HERKL,KAUTB,KORDB,KZKRI,LAGPR,LFGJA,LFMON,LGPRO,LOSFX,LVORM,MAABC,MABST,MANDT,MATNR,MINBE,MMSTA,MMSTD,MTVER,PERKZ,PLIFZ,PRCTR,PSTAT,SERNP,STAWN,TARGET_STOCK,TRAME,VINT1,VINT2,VRMOD,WEBAZ,WERKS,XCHAR,XMCNG
L,4.23,X,1593.0,414.643,X,G19,VB,560,6177,94.804,74.895,044,US,X,X,X,3,2023,04,S009,166.01,"",C,1593.0,100,979934488108079540,414.643,03,20250412,M020,M,30,1219845581,K,S574,77120580653595975,345.143,58.82,008,012,3,2,P001,"",""
L,2.51,X,933.454,296.795,"",G18,ND,137,8786,78.422,14.233,089,DE,"","",X,3,2024,05,S013,100.58,"",C,933.454,100,670833658347197927,296.795,01,20220702,M012,M,39,8909432220,K,S582,55795197969856962,334.447,83.604,030,003,1,2,P048,X,""
M,2.85,F,1342.321,431.664,"",G12,ND,549,4047,147.573,40.572,037,CN,X,X,"",1,2022,04,S031,133.53,"",B,1342.321,100,972841906412048310,431.664,03,20230211,M003,W,46,8366772075,K,S603,94936124264128540,484.285,99.343,013,002,1,3,P035,X,""
KG,0.38,E,1324.29,401.705,X,G11,PD,385,6072,120.475,126.691,073,US,"",X,"",3,2024,12,S046,17.81,"",A,1324.29,100,628858401699869908,401.705,03,20220914,M019,M,56,8642642377,K,S699,95425156062077907,71.434,66.653,002,016,3,7,P040,"",X
EA,2.91,F,1676.996,424.17,X,G20,ND,402,9159,118.027,17.955,087,DE,X,"","",2,2022,02,S010,55.06,"",C,1676.996,100,554376609879432073,424.17,03,20260208,M014,D,36,5201839590,K,S483,23123899233474550,187.073,34.979,023,008,1,5,P015,"",""
M,4.76,E,669.328,288.588,X,G11,PD,117,2915,120.998,74.814,084,CN,X,"","",1,2023,01,S001,85.05,"",C,669.328,100,844511149531338735,288.588,03,20241006,M005,D,49,5848826541,K,S273,11457463880156649,492.077,77.46,010,019,2,9,P019,X,""
KG,2.15,X,915.867,299.432,X,G13,ND,714,8682,62.847,126.611,069,IN,X,X,X,2,2023,06,S002,29.58,"",C,915.867,100,344377275134807832,299.432,01,20230825,M008,W,51,4720643585,K,S558,15970589949034465,101.346,62.487,019,004,1,8,P031,X,""
KG,4.48,E,89.247,42.225,X,G10,PD,996,7027,15.627,155.874,077,CN,"","","",1,2026,06,S016,90.6,"",C,89.247,100,271784664631090751,42.225,01,20220114,M010,D,60,2149960930,K,S415,36944512462467936,278.048,42.275,005,028,2,4,P033,X,""
L,4.3,X,1625.809,415.205,"",G03,PD,926,4627,84.324,96.502,053,IN,X,X,"",2,2023,08,S021,74.76,"",A,1625.809,100,539918100120995063,415.205,03,20240820,M013,M,7,4579222246,K,S778,21372024802777630,135.174,96.49,006,011,1,4,P047,X,""
EA,2.57,F,1230.358,325.718,X,G10,ND,954,1284,90.315,160.56,090,IN,"","",X,1,2023,08,S047,86.0,"",C,1230.358,100,538812041450785596,325.718,01,20230224,M002,W,59,6211488620,K,S818,47365236413817030,269.768,20.453,003,006,3,6,P024,"",X
M,2.49,X,1833.599,369.962,X,G19,PD,169,1663,151.524,121.823,027,IN,X,X,"",3,2024,05,S034,175.01,"",A,1833.599,100,682929542122431873,369.962,01,20251209,M010,M,46,9258670651,K,S198,24637391032992978,93.945,6.129,005,008,1,4,P006,"",""
L,1.07,E,1115.225,251.283,X,G17,PD,591,8779,67.784,86.679,059,IN,"","",X,3,2024,05,S049,153.49,"",C,1115.225,100,433553486425277968,251.283,02,20251018,M008,D,35,4501955723,K,S171,19607102844004648,242.425,89.572,025,017,1,4,P043,"",X
L,3.48,E,1756.408,495.286,"",G20,PD,993,4295,114.029,72.866,014,US,X,X,X,2,2025,01,S035,123.02,"",B,1756.408,100,600530520645402489,495.286,02,20220306,M018,W,49,9877518876,K,S624,60116388261414309,411.262,29.857,006,012,1,6,P046,"",X
L,3.74,X,546.731,253.498,"",G19,PD,442,4517,120.939,190.555,046,CN,"","",X,3,2025,11,S044,151.67,"",B,546.731,100,987879426670031985,253.498,02,20241227,M008,D,53,6938228726,K,S179,84029810825897006,325.571,78.486,020,017,1,7,P043,X,X
M,3.08,E,1441.457,443.596,"",G01,ND,203,6452,125.27,59.768,036,IN,"","",X,1,2025,10,S003,95.41,"",B,1441.457,100,127108466810120018,443.596,03,20230115,M019,W,42,6328363689,K,S205,70440934883818373,487.289,5.006,028,002,3,7,P033,X,""
L,1.34,F,1508.599,305.015,"",G11,ND,862,9116,99.719,85.502,042,CN,"","","",2,2026,10,S013,25.94,"",C,1508.599,100,339372538726175471,305.015,02,20230323,M019,W,13,9439751980,K,S933,16924088096623540,176.947,17.148,006,018,3,4,P022,"",""
KG,0.21,F,848.356,414.951,"",G15,ND,126,1341,204.486,194.312,036,DE,X,"","",3,2026,04,S019,189.98,"",B,848.356,100,608715819978986001,414.951,01,20240415,M006,D,43,9595395303,K,S592,91687539969903853,103.393,28.104,029,025,2,1,P046,X,X
L,0.74,E,1054.764,351.384,X,G04,PD,637,9604,105.16,108.58,027,DE,"",X,X,3,2025,09,S020,46.84,"",B,1054.764,100,235062247542409678,351.384,02,20240117,M014,M,13,1471100732,K,S133,81411792210685448,65.666,38.653,000,020,3,9,P025,X,""
M,0.02,F,1797.013,398.649,X,G13,ND,637,4945,113.009,126.802,025,IN,"",X,X,3,2026,02,S040,42.33,"",A,1797.013,100,923583877555859663,398.649,01,20230207,M008,W,17,2982034158,K,S365,87185858137199372,316.342,35.931,023,023,1,9,P032,"",""
KG,3.88,E,848.276,186.911,X,G12,PD,997,7432,73.549,118.828,043,DE,X,"",X,2,2023,07,S021,17.34,"",A,848.276,100,267240308126367059,186.911,02,20251105,M008,D,56,4511013678,K,S193,78754976988255915,325.839,89.214,018,013,1,7,P049,X,X
EA,0.76,F,238.476,78.109,"",G05,PD,605,5783,33.459,127.745,062,DE,X,X,X,1,2023,07,S010,20.48,"",A,238.476,100,994948567047597373,78.109,02,20250127,M016,W,29,8309163503,K,S391,66248790734322991,123.709,63.811,026,010,2,1,P021,X,X
EA,3.68,F,1855.944,495.937,"",G09,VB,877,5611,240.197,91.097,089,CN,X,X,X,3,2026,09,S020,31.66,"",B,1855.944,100,194654036441951161,495.937,01,20221208,M020,D,9,8829073227,K,S497,94939898143987334,391.631,45.453,015,006,3,9,P002,X,X
M,0.57,E,1164.397,323.5,X,G06,ND,356,8836,73.542,163.542,088,CN,X,"",X,2,2025,04,S008,127.88,"",A,1164.397,100,963954394465469340,323.5,01,20230228,M010,D,36,7547871389,K,S104,27015758392673853,147.374,76.571,015,014,3,7,P032,X,""
L,2.11,X,96.942,47.035,"",G05,VB,458,3423,18.714,139.602,047,IN,X,X,X,1,2024,11,S039,167.7,"",A,96.942,100,956629521998413797,47.035,01,20221024,M001,W,53,8735501602,K,S936,55819656540406999,428.476,51.76,022,014,2,6,P004,X,X
L,2.06,X,159.942,36.714,"",G05,ND,195,9383,14.451,136.103,016,IN,"","","",3,2022,09,S030,156.89,"",B,159.942,100,799339759827476713,36.714,03,20241110,M009,W,1,7679373748,K,S948,74713239770064269,74.643,54.786,025,023,2,3,P035,"",""
KG,3.39,F,933.898,452.163,"",G07,PD,409,9695,166.559,169.355,033,IN,X,"","",1,2024,05,S028,127.06,"",C,933.898,100,997277035281561905,452.163,03,20251214,M015,W,58,6802982202,K,S212,98710637114034800,388.547,39.659,007,012,2,4,P035,X,X
EA,0.46,X,1859.995,378.597,X,G01,ND,603,5937,177.566,24.729,052,CN,"","",X,3,2024,02,S003,17.15,"",B,1859.995,100,255277516875510763,378.597,02,20230422,M002,D,27,2330884712,K,S687,15663597425456327,477.141,39.99,027,013,2,10,P039,X,X
KG,0.02,F,652.882,184.281,X,G16,PD,130,4200,57.223,178.673,086,DE,"",X,X,3,2025,12,S021,47.25,"",C,652.882,100,996565697334638462,184.281,02,20251229,M002,M,14,9675691122,K,S167,11778824009545720,479.681,27.094,012,003,3,1,P017,"",""
KG,1.82,F,2048.837,458.802,"",G02,VB,346,8191,125.221,28.072,086,US,X,X,X,3,2025,02,S021,107.62,"",C,2048.837,100,986389894108038369,458.802,02,20231228,M005,W,29,9929417314,K,S378,35254974937529967,121.086,59.116,010,025,3,9,P012,"",X
KG,4.87,X,1193.707,470.177,X,G08,VB,535,5677,213.741,55.867,026,US,X,X,X,2,2022,05,S046,150.4,"",B,1193.707,100,987303772304330717,470.177,03,20230817,M018,M,43,1493088098,K,S767,80606392784246992,370.451,34.709,007,017,2,8,P040,X,""
M,2.58,F,994.556,242.456,X,G19,PD,427,6307,60.806,129.19,071,CN,X,"",X,1,2024,05,S003,177.03,"",C,994.556,100,538802371706399329,242.456,03,20241018,M001,M,56,6291578926,K,S741,52225343244454848,419.31,99.397,007,026,2,8,P036,X,X
KG,4.96,E,1932.23,396.186,"",G13,PD,786,3366,154.027,141.961,098,CN,X,X,"",2,2026,08,S014,194.22,"",C,1932.23,100,305988773107573404,396.186,01,20220305,M010,M,4,1865137283,K,S395,94167557449592462,248.108,35.171,003,029,2,2,P005,"",""
EA,0.89,E,2063.516,474.574,X,G18,ND,689,3473,150.168,99.16,087,IN,"",X,X,2,2026,01,S024,66.62,"",C,2063.516,100,422506398654942643,474.574,01,20231105,M016,D,29,2860064330,K,S579,41676791998737932,328.572,85.158,001,011,1,5,P021,"",""
L,3.67,X,701.755,140.579,"",G15,VB,420,3250,53.851,162.333,065,IN,X,"","",3,2023,01,S042,74.4,"",A,701.755,100,188672374090164552,140.579,02,20230305,M015,W,13,7775512467,K,S664,37879515116839802,192.837,79.395,018,014,3,4,P026,X,X
KG,2.21,E,204.695,78.588,"",G05,VB,583,2229,19.725,88.912,080,CN,"","",X,2,2025,11,S029,78.97,"",A,204.695,100,459208142250620040,78.588,03,20231012,M008,D,19,7691924595,K,S173,94515078066760426,152.131,59.498,017,022,3,4,P025,"",X
M,0.82,F,908.455,268.912,"",G03,ND,427,9958,82.436,12.102,070,IN,"",X,X,1,2025,01,S042,27.97,"",B,908.455,100,539764718110708241,268.912,02,20241127,M007,D,59,8605607776,K,S104,73362454643030582,376.414,43.428,000,001,3,9,P019,X,X
KG,2.16,F,592.415,178.395,"",G08,VB,224,1966,72.704,30.915,049,US,"",X,X,3,2022,03,S006,78.34,"",B,592.415,100,555127251237590262,178.395,01,20231225,M013,M,60,8681606422,K,S165,73499519128790557,395.888,6.626,013,000,3,2,P025,X,X
EA,3.26,F,1817.866,416.727,"",G11,PD,384,9041,87.16,44.645,024,IN,X,X,X,2,2023,06,S013,108.8,"",B,1817.866,100,910217194764700351,416.727,01,20240326,M020,M,41,8515733423,K,S727,24004594147424506,494.11,82.932,018,013,3,5,P016,X,X
M,4.44,E,1392.219,404.792,"",G08,PD,626,6665,139.367,167.27,043,IN,X,"",X,1,2026,03,S046,155.83,"",C,1392.219,100,690787638976373555,404.792,03,20220415,M003,M,21,4555776783,K,S321,46788687031508295,460.153,60.574,007,004,2,7,P046,"",""
L,3.52,F,1833.742,370.612,X,G11,VB,435,9026,123.373,76.61,008,IN,"",X,X,3,2026,08,S034,150.95,"",C,1833.742,100,330781233599879435,370.612,03,20241231,M005,D,25,9104427946,K,S403,25260320252495463,440.138,91.792,013,023,2,8,P040,X,""
L,3.87,F,724.911,196.359,X,G03,ND,864,5637,47.674,59.342,047,DE,"","",X,2,2022,06,S008,129.75,"",A,724.911,100,414989666353046098,196.359,02,20220716,M009,D,16,2993202813,K,S364,74474737425358044,141.601,96.425,030,022,3,4,P048,"",""
M,1.76,E,358.958,119.315,"",G17,PD,828,9553,58.452,41.177,045,DE,X,"","",3,2026,01,S050,21.65,"",A,358.958,100,296130268194802738,119.315,03,20240404,M013,M,59,6408869995,K,S955,43506451971769645,259.098,93.05,005,011,1,3,P026,X,""
M,1.76,E,1076.071,453.086,X,G12,ND,851,9706,125.085,38.772,091,IN,X,"",X,3,2022,06,S013,160.85,"",C,1076.071,100,359268090959757636,453.086,01,20251112,M013,M,33,9751453861,K,S734,60782849292374342,295.204,73.069,030,027,1,6,P030,"",""
EA,4.26,E,1179.266,398.965,"",G08,VB,367,2235,179.393,141.321,032,DE,"","",X,2,2026,04,S024,152.35,"",B,1179.266,100,409575368898513532,398.965,02,20240616,M020,D,47,6437566570,K,S471,91595635809330114,79.208,30.712,016,025,2,3,P018,"",X
