BWESB,GLGMG,LFGJA,LFMON,MANDT,MATNR,TRAME,UMLMC,VKGLG,VKTRW,VKUMC,WERKS
946.161,210.346,2022,10,100,837124711220686308,1785.116,3708.415,4399.7,21394.3,131862.5,P007
1174.42,509.381,2026,10,100,928669490311495002,2267.62,1484.453,4514.91,99008.78,50858.88,P019
1374.22,677.39,2025,01,100,626311840919208335,2631.897,233.017,16287.3,31728.88,7631.91,P009
1456.082,581.338,2022,11,100,848636167550851114,1807.793,1201.213,5543.93,51333.64,52386.72,P013
1424.343,805.347,2022,08,100,539223398285816886,127.352,2290.629,8509.02,6319.98,62995.58,P008
1315.76,999.47,2022,09,100,462005725133463177,1591.64,2926.487,7436.53,70392.5,105981.43,P030
496.246,380.997,2026,11,100,917044405397877055,1497.903,4277.814,2495.68,71845.2,68404.44,P012
522.569,888.935,2025,05,100,893512657233665562,2337.727,2868.421,7691.3,103503.15,142066.94,P024
438.938,981.025,2022,12,100,108440463926936008,2099.503,4945.255,19883.01,85811.15,219869.54,P004
1905.563,646.089,2020,02,100,122226533354201540,732.68,2812.117,15302.64,17001.26,30108.13,P035
884.663,800.489,2024,03,100,373992066422112005,1411.077,4548.821,13233.75,69571.1,184902.37,P020
1863.865,297.755,2022,01,100,378851094434501033,1442.601,390.196,3467.59,70426.42,10193.24,P048
1781.339,782.888,2021,02,100,624886819634434153,2155.083,1399.144,10999.91,104702.33,44796.43,P013
491.897,214.445,2021,02,100,683892137376341954,1071.047,4359.53,3837.07,35718.78,95896.11,P022
706.286,550.44,2021,02,100,805116527837008249,500.688,2393.224,4999.34,19210.11,44994.7,P002
1209.204,264.937,2021,10,100,742108627747477368,2981.305,3107.932,2062.89,59997.14,43051.4,P015
580.676,4.86,2026,08,100,204230633369312846,2968.176,3223.687,66.16,138611.43,132143.81,P004
353.701,940.214,2021,04,100,253019272462342006,2893.393,4150.82,20750.31,118230.49,58539.27,P022
474.593,4.488,2022,05,100,653039583887954296,2982.382,1924.83,107.43,57435.18,58433.82,P015
1507.273,555.972,2020,08,100,943080190075906316,1818.249,4585.773,6675.53,52261.62,191061.35,P005
1409.925,414.654,2023,06,100,494829029229529515,2780.109,557.442,2300.95,76932.95,19905.96,P035
1056.444,169.222,2020,07,100,397263453908292594,2187.365,2262.187,1233.35,80352.36,39485.47,P022
1521.334,469.853,2026,06,100,538452831293519721,2942.681,3336.309,5620.21,132405.43,90765.47,P013
1418.418,548.078,2023,09,100,559028639933578208,2302.969,152.629,4952.37,79991.31,3610.38,P003
1910.803,497.69,2021,02,100,226557785680682173,2798.453,87.593,3181.45,84407.19,3267.02,P043
220.738,300.62,2021,02,100,800232796831216534,1502.669,3777.95,1518.23,71427.33,93175.31,P020
1003.421,26.023,2024,05,100,149386623297835258,2927.969,3955.373,250.65,89311.23,133820.97,P007
1069.949,533.555,2024,09,100,617159439152998126,1028.046,4034.584,5150.63,42332.66,85813.39,P040
410.699,497.465,2023,06,100,166958837662168641,2698.154,2903.532,10513.5,53555.76,97243.23,P041
219.66,883.584,2022,08,100,470249314513249469,15.904,4124.751,6202.71,550.33,189456.45,P047
515.313,663.493,2022,05,100,114009499925316592,413.365,2397.419,5925.28,13993.31,111063.51,P040
77.384,463.65,2025,01,100,893672523337382368,2729.112,1678.815,9542.7,125319.21,49517.16,P041
147.807,997.034,2026,07,100,682693805019553941,162.511,1594.669,13798.54,4865.98,74070.85,P023
129.795,41.001,2022,07,100,163437888071116516,1329.217,3059.051,241.76,31580.53,108961.65,P027
122.955,752.227,2026,12,100,100714808031513569,699.443,1806.693,5375.81,34745.85,18522.94,P043
951.309,270.771,2023,09,100,324303786961040965,1835.572,4837.189,3930.43,25262.66,101933.36,P016
579.178,830.8,2022,07,100,948489163034178149,1372.081,4255.664,6505.84,56570.69,57733.43,P004
1450.912,239.273,2025,06,100,225097985642684483,130.256,1691.15,3042.99,5663.54,74595.68,P025
1329.748,157.311,2023,08,100,109621854348534239,797.874,4465.942,3395.98,21169.84,132627.01,P016
1703.293,981.962,2025,05,100,365649073191184394,2635.029,2876.779,19256.15,126471.05,143090.46,P021
410.814,975.944,2020,01,100,210711299214810313,9.7,2856.688,10196.64,416.3,37615.67,P035
1522.753,18.808,2020,08,100,983022164905209066,1906.955,3944.468,241.28,61813.57,47581.5,P040
175.638,593.746,2023,02,100,306322956846814529,2878.267,3080.108,13466.03,36986.7,88438.31,P047
254.762,312.805,2025,12,100,300214311801112164,2908.275,4042.922,2767.42,36032.6,143223.17,P034
1913.773,478.983,2026,05,100,148725268785299363,262.799,3989.681,10860.3,10148.13,110463.92,P022
63.483,790.951,2023,05,100,842629458952686753,2137.911,3089.602,18686.9,71115.12,95746.26,P044
847.91,280.18,2022,07,100,695284478801695301,2419.362,3373.667,4377.36,67460.54,82604.29,P002
1385.181,669.512,2025,05,100,201722717165989704,1416.776,2102.171,13469.68,43946.89,54212.15,P007
1599.378,489.421,2022,12,100,283920036949636127,523.266,545.012,2688.75,22866.32,18214.63,P021
352.097,741.697,2020,10,100,550463577291479572,1696.009,3671.562,12311.49,54571.24,177048.1,P001
881.07,846.914,2023,02,100,400809990218618854,1534.924,1183.586,13247.37,62070.12,41937.08,P029
1244.259,884.606,2025,07,100,479368969212875222,2596.136,1205.549,11613.45,123298.89,56888.29,P032
