BSKRF,DISKZ,DLINL,EINME,ERSDA,HERKL,INSME,KEINM,KINSM,KLABS,KSPEM,KZILE,KZILL,KZILQ,KZILS,KZVLE,KZVLL,KZVLQ,KZVLS,LABST,LBSTF,LFGJA,LFMON,LGORT,LGPBE,LMINB,LSOBS,LVORM,LWMKB,MANDT,MATNR,MDJIN,MDRUE,PRCTL,PSTAT,RETME,SPEME,SPERR,UMLME,VKLAB,VKUML,VMEIN,VMINS,VMLAB,VMRET,VMSPE,VMUML,WERKS
0.8527,2,20251031,62.699,20251024,CN,218.906,17.434,39.711,434.019,83.485,"","","","","","","","",4022.408,932.545,2026,04,S085,BIN835,268.181,92,"",655,100,854282440986964595,2022,X,3105303182,K,61.616,194.679,"",438.137,78192.94,15945.99,50.51,182.845,3677.584,55.598,181.969,358.349,P032
1.1218,2,20250320,323.081,20240403,IN,529.395,37.391,74.173,683.041,61.478,"","","","","","","","",7525.771,451.758,2025,10,S073,BIN178,299.39,82,"",647,100,297740243492024139,2024,X,7889998966,K,125.127,306.955,"",811.96,281362.35,24827.01,283.075,470.974,6713.672,117.101,273.882,742.37,P024
1.1451,"",20240326,215.994,20250424,DE,320.348,80.704,101.6,708.839,25.632,"","","","","","","","",7253.401,453.282,2023,05,S087,BIN279,350.616,42,"",140,100,873067570964749031,2024,"",2897709399,K,84.076,246.027,"",650.094,83749.69,8904.29,180.587,286.294,7095.292,71.599,202.603,606.677,P044
1.0277,1,20250330,126.449,20241212,DE,201.884,51.047,69.832,326.387,51.14,"","","","","","","","",4640.229,689.015,2024,02,S091,BIN981,494.224,18,"",761,100,697657174321968300,2023,X,6123512660,K,42.314,126.182,"",782.07,76267.93,23350.79,107.95,184.915,4526.317,39.031,118.912,707.434,P001
0.9385,"",20250123,21.242,20250717,DE,124.582,9.718,57.907,238.505,25.085,"","","","","","","","",1873.117,278.893,2025,09,S057,BIN447,33.257,58,"",791,100,825541999043314303,2023,X,8382593482,K,13.113,63.564,X,278.612,61575.4,13830.77,18.646,108.625,1637.887,10.581,60.025,224.782,P007
0.9613,"",20250223,277.479,20250602,CN,168.313,68.149,54.093,588.402,131.914,"","","","","","","","",6104.394,776.74,2022,10,S093,BIN163,226.366,14,"",314,100,704432596170565678,2022,"",3355848171,K,77.212,264.833,X,994.177,138467.06,28513.24,261.697,150.118,5824.715,70.397,250.545,936.863,P027
0.9309,"",20240304,161.064,20240410,DE,83.465,56.032,27.571,249.778,36.207,"","","","","","","","",3272.099,598.06,2023,01,S056,BIN771,128.169,81,"",290,100,790459269396243707,2023,"",9759110237,K,22.843,97.927,X,332.0,157489.87,14680.35,141.883,75.975,2967.254,18.638,82.07,270.107,P035
0.8411,2,20230806,6.539,20240421,US,22.629,1.841,4.784,19.664,4.273,"","","","","","","","",276.207,581.631,2022,11,S057,BIN453,115.647,38,"",423,100,755251048215248660,2023,"",9625460266,K,4.335,10.454,"",17.753,5876.55,528.75,5.958,20.199,234.972,3.83,9.25,14.618,P028
1.1065,1,20240824,10.809,20250709,CN,42.657,2.361,9.144,72.869,13.071,"","","","","","","","",666.304,863.645,2023,05,S022,BIN106,402.633,90,"",152,100,211529404769166947,2026,X,1436075878,K,11.919,27.47,X,65.049,24132.56,2285.37,9.109,36.407,613.519,10.6,25.039,54.899,P018
0.8524,2,20231108,130.254,20240816,CN,304.724,44.263,100.93,714.345,23.235,"","","","","","","","",6043.848,751.081,2024,04,S088,BIN219,78.433,46,"",585,100,542329284924118357,2024,"",2542143196,K,72.007,132.452,"",890.003,103325.53,29627.84,108.294,244.827,5475.13,67.627,120.7,771.661,P049
0.8677,2,20241123,19.693,20250619,IN,38.344,3.759,4.597,30.902,3.855,"","","","","","","","",498.266,428.137,2026,01,S037,BIN842,424.428,73,"",721,100,425238922848487535,2025,"",3591148749,K,4.566,10.082,"",48.135,9254.79,865.67,16.514,33.383,483.761,3.994,8.276,45.471,P041
0.8956,2,20250327,380.635,20231007,DE,330.302,155.275,97.787,1149.866,102.78,"","","","","","","","",7764.789,152.412,2024,08,S002,BIN967,377.357,67,"",102,100,327690444470456911,2024,X,2442816669,K,101.102,217.157,X,1476.06,305896.17,24547.32,360.613,301.445,6731.749,90.189,191.372,1304.582,P010
