EINME,INSME,LABST,LFGJA,LFMON,LGORT,MANDT,MATNR,RETME,SPEME,UMLME,VKLAB,VKUML,WERKS
160.155,1437.022,9385.887,2020,06,S039,100,147739210889648678,432.005,73.492,2734.167,192695.7,76928.63,P047
631.021,453.128,1748.229,2020,08,S099,100,662820772099627069,78.296,806.777,982.515,51566.72,11632.36,P030
1466.72,95.253,4453.34,2025,12,S020,100,341969816224717988,434.886,405.601,2996.597,84766.11,111046.3,P024
1440.446,172.201,7479.728,2020,07,S006,100,946535668076728236,48.396,702.938,2117.248,170096.48,70923.73,P034
194.204,476.203,2409.225,2025,02,S080,100,658279443164800374,234.737,284.192,1714.478,66729.92,45681.25,P028
881.555,1392.661,8511.859,2026,06,S002,100,540226916423936588,456.882,492.138,1476.101,126213.75,40039.75,P036
1383.611,1751.954,3511.821,2026,10,S095,100,609063282234955894,62.889,864.932,647.343,87316.56,23651.3,P050
948.236,478.054,2384.683,2023,07,S060,100,820951148666492733,224.338,667.53,1303.161,48691.18,29455.67,P044
590.764,643.113,5342.849,2023,11,S039,100,989760866228473472,84.731,98.734,2053.592,63324.28,52943.87,P005
703.22,488.691,8014.88,2020,04,S019,100,811198890303635046,182.05,576.745,1026.613,114087.32,38472.56,P024
475.19,935.095,4392.628,2024,10,S087,100,439167624648344021,455.401,105.926,1637.895,136798.44,50408.08,P030
178.432,1729.871,9662.043,2023,06,S056,100,472930141945202246,272.699,582.282,2249.917,291915.5,47056.56,P039
1090.345,1715.793,1008.322,2026,04,S074,100,532052697560234720,216.187,733.382,1840.9,14499.35,55708.68,P009
721.104,1037.94,174.77,2025,07,S047,100,987303772304330717,364.913,305.685,1468.618,3803.13,21395.85,P002
389.346,1640.483,4831.091,2021,09,S084,100,320329025802368606,199.314,533.72,1107.648,92743.22,22785.53,P027
232.792,1631.302,9167.265,2022,03,S007,100,572595202438471408,310.875,72.687,457.056,188413.51,14518.37,P047
748.355,333.132,7693.451,2026,06,S088,100,960351509945775175,87.206,616.634,1590.136,150962.68,55078.31,P032
568.482,1440.339,3759.274,2021,04,S038,100,748813593000812981,372.624,945.455,1662.641,122192.22,47162.0,P008
1421.354,1691.725,9741.593,2026,02,S097,100,566910561757396081,363.885,61.504,2593.096,167192.15,78577.18,P003
334.36,1761.258,9233.542,2024,04,S091,100,615860881343472519,200.643,637.276,2512.544,314261.69,82455.38,P045
66.915,120.917,2958.917,2025,11,S034,100,956719125613892403,413.297,306.027,2300.733,108954.66,72007.25,P048
985.219,163.775,9037.437,2023,03,S022,100,176682707116027838,33.757,223.283,920.813,272084.51,9616.66,P045
531.025,1705.177,7462.232,2023,08,S020,100,185745923531455271,358.829,591.327,2369.94,194725.06,68237.27,P018
1015.362,159.922,3261.204,2026,12,S045,100,555020503606031311,228.091,887.804,77.183,114977.88,2624.81,P040
