BKLAS,BWKEY,BWPRH,BWPRS,BWSPA,BWTAR,BWTTY,LAEPR,LBKUM,LFGJA,LFMON,LPLPR,LVORM,MANDT,MATNR,PEINH,PSTAT,SALK3,SALKV,SPERW,STPRS,STPRV,TIMESTAMP,VERPR,VJBKL,VJBWH,VJBWS,VJKUM,VJPEI,VJSAL,VJSAV,VJSTP,VJVER,VJVPR,VKSAL,VMBKL,VMKUM,VMPEI,VMSAL,VMSAV,VMSTP,VMVER,VMVPR,VPLPR,VPRSV,VVJLB,VVJSL,VVMLB,VVSAL,WLINL,ZKDAT,ZKPRS,ZPLD1,ZPLD2,ZPLD3,ZPLP1,ZPLP2,ZPLP3,ZPLPR
3993,V027,126.64,119.97,4.93,"",X,20230417,6795.713,2023,11,128.64,"",100,412569842971045546,1,K,815281.69,815281.69,X,126.64,135.86,20260212121508,119.97,3034,129.43,108.95,5207.759,1,567385.34,567385.34,121.33,108.95,S,815281.69,3978,6201.128,1,735205.74,735205.74,132.7,118.56,V,137.68,V,4361.472,533988.95,5509.779,608255.05,20240920,20230820,139.44,20240908,20250909,20231205,149.91,141.3,172.41,129.84
3754,V005,123.42,114.3,1.63,"",X,20231011,4612.034,2023,06,125.95,"",100,867305541529962769,1,K,527155.49,527155.49,"",123.42,113.17,20260212121508,114.3,3083,124.39,124.43,3757.247,1,467514.24,467514.24,131.84,124.43,S,527155.49,3229,4142.767,1,455952.94,455952.94,127.32,110.06,S,111.82,S,3411.712,436568.95,3776.381,409030.62,20230301,20251026,133.28,20250606,20240909,20250819,124.0,158.46,155.86,125.5
3378,V040,10.14,10.7,1.86,"",X,20230128,8732.593,2022,11,12.06,"",100,351798030965246094,1,K,93438.75,93438.75,X,10.14,9.29,20260212121508,10.7,3061,10.6,9.51,6973.114,1,66314.31,66314.31,10.62,9.51,V,93438.75,3645,8472.109,1,81586.41,81586.41,9.81,9.63,S,10.81,V,6271.884,53987.69,6855.252,67474.53,20250413,20241126,10.47,20231015,20230326,20250802,11.07,11.82,13.13,12.4
3572,V024,363.74,389.74,1.36,"",X,20250104,4306.638,2025,03,379.38,"",100,281287862807445648,1,K,1678469.09,1678469.09,"",363.74,347.52,20260212121508,389.74,3207,349.25,375.1,3450.866,1,1294419.84,1294419.84,352.07,375.1,S,1678469.09,3948,4016.05,1,1581761.45,1581761.45,367.64,393.86,V,375.17,V,2836.903,1108498.75,3685.614,1444139.74,20240913,20241014,380.1,20250305,20260121,20231018,365.2,437.54,501.46,411.81
3855,V020,298.2,307.13,1.51,"",X,20240327,3607.856,2025,03,341.36,"",100,854807604273183154,1,K,1108080.81,1108080.81,"",298.2,305.09,20260212121508,307.13,3593,302.23,293.01,2718.256,1,796476.19,796476.19,307.04,293.01,S,1108080.81,3024,3281.887,1,964743.5,964743.5,286.18,293.96,S,305.68,S,2243.371,681056.69,2933.541,882705.61,20240809,20231230,321.36,20250623,20241022,20251102,314.7,376.16,406.06,305.99
3686,V020,130.51,131.25,3.23,"","",20250711,9654.186,2023,09,135.17,"",100,113720523873564997,1,K,1267111.91,1267111.91,X,130.51,128.45,20260212121508,131.25,3502,143.02,129.36,7449.879,1,963716.35,963716.35,133.22,129.36,V,1267111.91,3571,8991.48,1,1140389.41,1140389.41,131.77,126.83,S,134.73,S,6366.51,835751.63,8529.633,947977.44,20250209,20241210,140.01,20241013,20221223,20230604,132.4,166.85,157.61,151.72
3891,V048,414.21,420.34,3.3,"",X,20231003,4594.827,2023,02,439.64,"",100,904204153552875870,1,K,1931389.58,1931389.58,X,414.21,426.57,20260212121508,420.34,3261,404.1,360.56,3442.861,1,1241357.96,1241357.96,376.94,360.56,V,1931389.58,3290,4335.56,1,1731492.6,1731492.6,373.16,399.37,S,435.35,S,3191.222,1165394.95,4009.163,1498579.86,20250129,20240922,421.8,20250122,20250819,20250606,446.45,477.15,555.56,531.7
3563,V045,115.69,122.74,2.02,"",X,20230315,2836.159,2022,09,131.25,"",100,650280240743582046,1,K,348110.16,348110.16,X,115.69,116.03,20260212121508,122.74,3699,125.77,126.07,2017.936,1,254401.19,254401.19,126.78,126.07,V,348110.16,3367,2490.201,1,314935.72,314935.72,116.91,126.47,S,114.13,V,1829.223,228593.71,2179.21,277083.6,20221214,20240214,123.03,20221112,20230113,20231021,119.96,134.03,141.98,128.63
3130,V027,64.65,64.26,2.56,"",X,20250427,1894.782,2026,04,76.44,"",100,631899321559736790,1,K,121758.69,121758.69,"",64.65,65.02,20260212121508,64.26,3913,70.81,68.96,1520.805,1,104874.71,104874.71,57.84,68.96,S,121758.69,3219,1827.382,1,109441.91,109441.91,59.43,59.89,V,62.8,S,1433.159,90203.71,1543.973,88622.98,20240320,20250908,72.81,20240126,20240722,20240904,72.71,76.41,84.11,77.25
3625,V024,59.66,64.06,2.02,"","",20241118,5370.064,2025,11,62.59,"",100,543292594848147307,1,K,344006.3,344006.3,X,59.66,56.14,20260212121508,64.06,3902,57.69,54.86,3930.255,1,215613.79,215613.79,51.5,54.86,S,344006.3,3792,4570.752,1,284803.56,284803.56,57.98,62.31,V,64.16,S,3453.106,189176.13,4246.656,227971.16,20230530,20250711,69.27,20230622,20221204,20250609,69.77,71.45,73.73,65.48
