BKLAS,BWKEY,BWTAR,LBKUM,LFGJA,LFMON,MANDT,MATNR,PEINH,SALK3,SALKV,STPRS,VERPR,VKSAL,VPRSV
3001,V238,VAL742,2916.325,2024,06,100,698986364377928928,9,1000591.11,730131.13,250.36,343.1,1474443.46,S
3000,V423,VAL181,5522.116,2026,07,100,963279417422039692,6,847976.13,746645.3,135.21,153.56,1224375.91,S
7900,V445,VAL104,3465.815,2023,10,100,774412437319535052,1,345541.76,688449.49,198.64,99.7,390857.8,S
3000,V060,VAL832,1545.569,2023,05,100,548185802785519985,2,177864.08,698999.04,452.26,115.08,241040.6,S
3000,V157,VAL998,5443.542,2022,02,100,108461598777827282,6,880329.61,1442266.45,264.95,161.72,1119947.83,V
3001,V309,VAL983,3033.989,2024,05,100,424914374718271114,1,588806.25,1228644.19,404.96,194.07,745785.43,V
3001,V426,VAL382,2412.421,2024,10,100,983219824861370644,6,744135.38,25451.04,10.55,308.46,1044364.09,S
7900,V127,VAL785,379.515,2024,12,100,916948624524419957,7,151331.61,27139.12,71.51,398.75,192192.96,V
7900,V486,VAL343,4702.064,2026,01,100,928238746220705304,9,691532.55,194618.43,41.39,147.07,752690.42,S
3001,V160,VAL226,226.523,2020,08,100,680893784272828048,5,77894.46,57378.28,253.3,343.87,111647.1,V
7900,V327,VAL014,4888.786,2026,01,100,669571515338712292,8,1821512.78,215595.46,44.1,372.59,2297980.41,S
3002,V204,VAL889,9181.313,2021,06,100,498924538514893323,6,820166.69,3343007.88,364.11,89.33,1092805.86,V
3000,V100,VAL959,5686.217,2026,04,100,162243334452935567,3,2468614.25,1280763.52,225.24,434.14,2862071.93,V
3001,V174,VAL917,6484.266,2022,07,100,500154230824831199,4,2039301.66,130074.38,20.06,314.5,2048143.02,V
3002,V346,VAL346,4159.67,2023,03,100,353385956843967590,7,146961.14,1184341.24,284.72,35.33,160033.4,S
7900,V074,VAL559,3233.893,2022,02,100,984397851111247334,2,407308.82,1290808.39,399.15,125.95,575292.23,S
3001,V228,VAL446,9193.351,2025,07,100,157142383620255824,5,1933361.72,2733275.19,297.31,210.3,2283932.63,V
3002,V156,VAL060,716.571,2021,02,100,760138421102372311,5,261677.4,17484.33,24.4,365.18,355307.1,V
