MANDT,MATNR,CHARG,LVORM,ERSDA,ERNAM,AENAM,LAEDA,VERAB,VFDAT,ZUSCH,ZUSTD,ZAEDT,LIFNR,LICHA,VLCHA,VLWRK,VLMAT,CHAME,LWEDT,FVDT1,FVDT2,FVDT3,FVDT4,FVDT5,FVDT6,HERKL,HERKR,MTVER,QNDAT,HSDAT,CUOBJ_BM,DEACT_BM,BATCH_TYPE
100,000000000000000001,BATCH00001,X,20260212,USER000,USER000,20260212,20260212,20260314,A,X,20260212,VEND000001,VBATCH00001,OBATCH00001,PL01,000000000000000001,EA,20260212,20260212,20260212,20260212,20260212,20260212,20260212,USA,001,0001,20260212,20260212,000000000000000000,X,1
200,000000000000000002,BATCH00002,"",20260211,USER001,USER001,20260212,20260213,20260315,R,"",20260212,VEND000002,VBATCH00002,OBATCH00002,PL02,000000000000000002,EA,20260211,20260212,20260212,20260212,20260212,20260212,20260212,DEU,002,0002,20260213,20260211,000000000000000013,"",2
300,000000000000000003,BATCH00003,"",20260210,USER002,USER002,20260212,20260214,20260316,A,"",20260212,VEND000003,VBATCH00003,OBATCH00003,PL03,000000000000000003,EA,20260210,20260212,20260212,20260212,20260212,20260212,20260212,IND,003,0003,20260214,20260210,000000000000000026,"",3
100,000000000000000004,BATCH00004,"",20260209,USER003,USER003,20260212,20260215,20260317,R,"",20260212,VEND000004,VBATCH00004,OBATCH00004,PL04,000000000000000004,EA,20260209,20260212,20260212,20260212,20260212,20260212,20260212,FRA,004,0004,20260215,20260209,000000000000000039,"",1
200,000000000000000005,BATCH00005,"",20260208,USER004,USER004,20260212,20260216,20260318,A,"",20260212,VEND000005,VBATCH00005,OBATCH00005,PL05,000000000000000005,EA,20260208,20260212,20260212,20260212,20260212,20260212,20260212,USA,005,0005,20260216,20260208,000000000000000052,"",2
300,000000000000000006,BATCH00006,"",20260207,USER005,USER005,20260212,20260217,20260319,R,X,20260212,VEND000006,VBATCH00006,OBATCH00006,PL06,000000000000000006,EA,20260207,20260212,20260212,20260212,20260212,20260212,20260212,DEU,006,0006,20260217,20260207,000000000000000065,"",3
100,000000000000000007,BATCH00007,"",20260206,USER006,USER006,20260212,20260218,20260320,A,"",20260212,VEND000007,VBATCH00007,OBATCH00007,PL07,000000000000000007,EA,20260206,20260212,20260212,20260212,20260212,20260212,20260212,IND,007,0007,20260218,20260206,000000000000000078,"",1
200,000000000000000008,BATCH00008,"",20260205,USER007,USER007,20260212,20260219,20260321,R,"",20260212,VEND000008,VBATCH00008,OBATCH00008,PL08,000000000000000008,EA,20260205,20260212,20260212,20260212,20260212,20260212,20260212,FRA,008,0008,20260219,20260205,000000000000000091,"",2
300,000000000000000009,BATCH00009,"",20260204,USER008,USER008,20260212,20260220,20260322,A,"",20260212,VEND000009,VBATCH00009,OBATCH00009,PL09,000000000000000009,EA,20260204,20260212,20260212,20260212,20260212,20260212,20260212,USA,009,0009,20260220,20260204,000000000000000104,"",3
100,000000000000000010,BATCH00010,"",20260203,USER009,USER009,20260212,20260221,20260323,R,"",20260212,VEND000010,VBATCH00010,OBATCH00010,PL10,000000000000000010,EA,20260203,20260212,20260212,20260212,20260212,20260212,20260212,DEU,010,0010,20260221,20260203,000000000000000117,"",1
200,000000000000000011,BATCH00011,"",20260202,USER010,USER010,20260212,20260222,20260324,A,X,20260212,VEND000011,VBATCH00011,OBATCH00011,PL11,000000000000000011,EA,20260202,20260212,20260212,20260212,20260212,20260212,20260212,IND,011,0011,20260222,20260202,000000000000000130,"",2
300,000000000000000012,BATCH00012,"",20260201,USER011,USER011,20260212,20260223,20260325,R,"",20260212,VEND000012,VBATCH00012,OBATCH00012,PL12,000000000000000012,EA,20260201,20260212,20260212,20260212,20260212,20260212,20260212,FRA,012,0012,20260223,20260201,000000000000000143,"",3
100,000000000000000013,BATCH00013,"",20260131,USER012,USER012,20260212,20260224,20260326,A,"",20260212,VEND000013,VBATCH00013,OBATCH00013,PL13,000000000000000013,EA,20260131,20260212,20260212,20260212,20260212,20260212,20260212,USA,013,0013,20260224,20260131,000000000000000156,"",1
