AENAM,CEINM,CHARG,CHDLL,CHJIN,CHRUE,CINSM,CLABS,CRETM,CSPEM,CUMLM,CVMEI,CVMIN,CVMLA,CVMRE,CVMSP,CVMUM,ERNAM,ERSDA,HERKL,KZICE,KZICL,KZICQ,KZICS,KZVCE,KZVCL,KZVCQ,KZVCS,LAEDA,LFGJA,LFMON,LGORT,LVORM,MANDT,MATNR,SPERC,WERKS
mward,82.516,B498044291,20250406,2023,X,61.556,2057.487,27.751,99.508,232.577,76.274,55.294,1813.509,23.483,84.037,217.473,aporter,20240810,US,"","","","","","","","",20250329,2024,05,S002,"",100,184251311461550431,"",P001
dsmith,64.349,B284184182,20250317,2024,X,42.341,1639.791,25.776,34.556,128.149,56.028,40.109,1568.899,21.97,30.333,112.285,rachelcastro,20240127,DE,"","","","","","","","",20230729,2023,09,S030,"",100,762354793970403396,X,P044
jessica11,1.776,B317743147,20240613,2024,"",5.033,124.299,1.362,2.201,11.918,1.579,4.576,109.362,1.101,1.879,9.84,qhumphrey,20250211,DE,"","","","","","","","",20251123,2026,12,S060,"",100,265038637631359763,"",P046
jason70,27.731,B829104896,20250205,2022,"",60.658,798.372,5.126,33.439,151.7,25.303,48.952,751.228,4.751,27.2,121.933,erica47,20240913,DE,"","","","","","","","",20240117,2022,05,S007,"",100,491422553807970929,"",P022
teresabishop,16.786,B421326821,20241117,2026,X,24.606,361.263,3.788,6.079,18.338,14.584,22.103,317.334,3.579,5.162,16.076,jason27,20240410,DE,"","","","","","","","",20250120,2025,01,S078,"",100,786491114250848896,X,P030
allenanthony,53.84,B941722454,20251119,2026,"",227.77,2470.978,39.519,78.372,409.966,43.646,185.994,2183.965,33.588,65.264,358.694,milleranthon,20250917,CN,"","","","","","","","",20231127,2026,02,S065,"",100,393716316230039748,"",P024
tara49,19.732,B364231596,20250810,2025,X,34.572,899.346,5.963,40.848,113.154,16.139,30.223,843.898,5.287,37.896,102.518,rachelwright,20250917,CN,"","","","","","","","",20250110,2024,05,S079,"",100,442018844553573336,X,P019
terry65,50.378,B961022638,20230911,2024,"",102.613,1054.696,10.078,45.741,192.206,43.727,84.43,1029.54,9.495,41.363,168.323,farleyalexis,20240203,IN,"","","","","","","","",20250812,2025,06,S060,"",100,296333830272414692,X,P040
murphysean,86.547,B315766946,20250509,2023,X,251.903,3476.441,27.475,111.55,181.35,80.261,227.32,3083.154,23.203,94.273,168.665,kristinajone,20250803,CN,"","","","","","","","",20240314,2025,09,S030,"",100,559578619950572109,X,P033
kylemalone,65.617,B483392959,20231221,2026,X,123.831,2606.435,19.387,55.569,520.607,54.579,112.807,2286.532,16.276,52.027,427.332,dawn99,20241022,CN,"","","","","","","","",20240913,2024,12,S009,"",100,747163619511576041,"",P039
omurray,160.987,B642880977,20251130,2025,X,408.446,4824.717,87.217,217.61,700.694,152.508,379.052,4634.665,79.179,193.919,575.964,kramercraig,20231216,IN,"","","","","","","","",20251004,2026,01,S079,"",100,822619565668179223,X,P043
walterpatter,128.239,B635701961,20250301,2024,X,145.584,4431.135,38.946,109.519,240.208,118.703,134.53,4015.367,35.067,97.506,208.398,rweaver,20230912,US,"","","","","","","","",20251223,2026,03,S077,"",100,858009129885107588,"",P042
andrewmosley,58.165,B656318176,20230915,2024,"",278.614,2981.674,42.914,120.683,213.361,51.317,248.093,2794.863,36.202,103.853,171.373,marcus12,20231008,US,"","","","","","","","",20250319,2025,07,S098,"",100,913145787827845341,X,P048
dannyjohnson,101.011,B115113263,20250806,2025,X,123.069,2379.065,28.577,79.152,212.996,89.887,110.092,2042.01,25.291,69.032,195.649,wthomas,20241018,IN,"","","","","","","","",20240522,2022,12,S042,"",100,605412905890583790,X,P047
kevin41,85.331,B114088471,20230923,2026,X,296.033,3895.507,49.509,77.266,592.125,79.675,276.251,3323.702,43.516,66.602,474.133,bradleysara,20260127,US,"","","","","","","","",20250901,2026,01,S002,"",100,752881227224302481,"",P044
katie86,33.829,B153168134,20250128,2025,"",170.945,3303.339,32.21,39.761,340.517,27.091,145.512,3122.073,27.365,32.46,287.948,aliciasmith,20240128,CN,"","","","","","","","",20240316,2025,11,S028,"",100,715658079356985053,X,P005
stephaniecas,12.69,B704181857,20241107,2024,X,30.71,510.932,9.963,6.054,46.885,10.819,29.158,469.103,8.463,5.365,41.727,kbishop,20250419,US,"","","","","","","","",20241127,2025,08,S100,"",100,732214284307152801,"",P047
margarethobb,91.036,B741072084,20250901,2026,X,397.821,4598.557,78.345,66.855,699.021,80.316,338.271,4193.233,65.457,56.076,562.782,coxchristoph,20250313,DE,"","","","","","","","",20240619,2023,10,S062,"",100,328536621832292627,X,P021
russell33,98.485,B794269338,20250305,2024,"",164.209,2853.576,33.261,43.431,491.585,83.791,137.859,2493.073,29.159,40.994,417.264,todddickerso,20250807,CN,"","","","","","","","",20250408,2024,10,S039,"",100,238258774927008069,X,P006
lunaashley,153.115,B282670953,20231231,2024,"",274.221,3741.547,42.752,73.991,273.494,143.999,233.019,3401.904,34.786,66.469,257.596,lgreen,20230720,CN,"","","","","","","","",20240823,2024,04,S085,"",100,853456828662239254,"",P010
