CEINM,CHARG,CINSM,CLABS,CRETM,CSPEM,CUMLM,LFGJA,LFMON,LGORT,MANDT,MATNR,WERKS
916.257,BATCH9793,481.987,6908.283,400.011,690.509,1436.136,2020,10,S047,100,238071769643289434,P027
836.224,BATCH4959,238.694,7650.75,264.333,447.281,1228.324,2023,11,S086,100,146947825445233380,P005
1179.85,BATCH1402,1206.622,1051.393,359.676,996.9,329.048,2026,05,S096,100,699085246502179629,P018
672.604,BATCH1965,98.435,8828.676,152.99,717.687,245.291,2022,07,S082,100,427355516824533433,P013
1380.881,BATCH2692,1761.218,1561.845,225.47,337.751,789.331,2025,07,S005,100,370644885263501413,P020
1411.674,BATCH7869,1590.454,4629.907,345.825,580.287,2062.648,2020,12,S021,100,274053684384094654,P047
1213.018,BATCH9670,1617.374,572.065,374.204,584.164,1588.547,2020,12,S002,100,808600874517313111,P009
1446.554,BATCH3801,1465.472,4184.632,369.534,11.265,2156.002,2022,11,S076,100,742621330559696037,P024
109.656,BATCH5299,150.155,838.382,10.132,901.959,1441.268,2023,11,S039,100,165995364746185007,P047
709.718,BATCH0841,205.5,358.813,41.357,172.799,522.35,2025,11,S026,100,652094520898308720,P013
734.463,BATCH2085,1976.175,7643.083,236.911,245.478,2874.976,2022,06,S057,100,322432407703533390,P049
1409.863,BATCH7354,314.037,9770.717,363.146,891.39,2552.201,2024,07,S064,100,733821213956793554,P022
433.12,BATCH9896,83.184,4506.474,277.212,103.415,2995.862,2026,03,S051,100,796882582139268458,P047
175.265,BATCH8903,1514.985,31.182,110.399,844.161,945.353,2025,06,S092,100,247575016142058298,P032
92.81,BATCH9288,1741.24,6220.369,327.592,643.57,2736.755,2024,08,S082,100,401039392482209318,P033
172.361,BATCH9934,1900.318,395.385,419.513,723.36,2736.882,2024,08,S001,100,178843286028895392,P024
437.898,BATCH1418,1241.446,5090.757,184.074,79.364,2962.439,2020,06,S018,100,634560895176665096,P013
1139.97,BATCH7871,288.305,6311.968,0.847,317.237,2971.241,2024,02,S017,100,599916483008693453,P003
599.21,BATCH0664,1012.306,5064.31,260.759,819.056,70.453,2024,05,S015,100,385633058566769352,P018
