CHARG,ERSDA,LBDLL,LBEIN,LBFLL,LBFLQ,LBILL,LBILQ,LBINS,LBJIN,LBLAB,LBRUE,LBSPR,LBUML,LBVEI,LBVIN,LBVLA,LBVLL,LBVLQ,LFGJA,LFMON,LIFNR,MANDT,MATNR,SOBKZ,WERKS
B723156,20240503,20240427,38.131,002,001,001,002,350.539,2026,1818.457,X,X,298.993,35.46,295.39,1649.964,001,002,2026,12,V000636,100,619590218479742185,K,P047
B523658,20240915,20231129,183.178,002,001,001,003,501.147,2026,3963.395,X,"",598.673,168.446,421.179,3696.381,003,003,2024,09,V000610,100,471701100927008023,"",P045
B187377,20230929,20240824,37.03,001,001,002,003,90.357,2023,895.374,"",X,46.478,30.373,78.504,742.178,003,001,2023,06,V000014,100,623993324450828016,O,P023
B572440,20230525,20231026,8.912,003,003,002,002,7.334,2023,92.601,X,"",7.581,8.101,6.328,79.861,001,003,2024,03,V000798,100,666334044521123001,"",P040
B615128,20240208,20260203,86.679,003,002,001,002,319.326,2023,1875.297,"",X,259.709,74.505,288.483,1697.959,002,003,2022,02,V000650,100,534575573790150963,O,P042
B858260,20240421,20231022,118.777,003,001,002,002,360.258,2026,2343.944,"",X,293.562,112.258,297.027,2127.794,002,001,2024,10,V000332,100,426002976781434321,O,P013
B805499,20240802,20231217,140.218,001,002,003,003,75.73,2026,1492.817,X,"",190.449,116.657,61.971,1399.646,001,003,2026,10,V000719,100,399531017782329176,"",P014
B154072,20240107,20250817,97.855,001,001,003,003,445.421,2023,3103.004,X,X,617.538,89.421,363.659,2851.344,001,003,2025,04,V000313,100,659659146881401628,"",P026
B919662,20250510,20230921,89.333,001,001,001,001,252.344,2022,1649.638,X,X,112.108,79.198,220.321,1512.977,001,001,2024,02,V000760,100,277170842706174804,O,P047
B942691,20240429,20230719,2.584,001,002,001,002,4.281,2022,84.709,"","",9.191,2.188,3.611,77.403,003,003,2026,10,V000566,100,368577225680404442,K,P049
B695235,20251013,20240920,196.666,003,003,002,003,592.015,2025,3014.463,X,X,166.076,178.699,511.577,2651.143,002,001,2022,02,V000299,100,712628423077060729,"",P008
