MANDT,MATNR,WERKS,CHARG,SOBKZ,LIFNR,LFGJA,LFMON,LBLAB,LBINS,LBEIN,LBUML
300,MAT918393,PL08,VV2YS6SA,O,V231325,2023,09,4612.987,571.882,210.222,673.341
100,MAT991875,PL39,ABWSMT61,"",V854292,2025,02,4271.69,976.939,221.584,1942.609
400,MAT810825,PL30,POCI5Y0J,E,V178768,2022,09,1089.7,244.666,93.053,1302.812
300,MAT469815,PL09,A30QGAXB,O,V827228,2022,10,547.977,929.033,492.562,1390.181
200,MAT715044,PL35,SDS4J8B6,E,V990675,2026,02,2766.586,379.337,256.28,167.486
300,MAT964401,PL12,QVI1KBOA,Q,V332318,2024,08,3541.589,547.012,415.116,1253.258
100,MAT538429,PL18,41XOZ5AN,E,V467725,2022,04,2374.936,652.286,127.975,801.354
100,MAT238720,PL07,Q2YZZZY7,K,V382254,2025,03,4430.409,213.0,84.602,3.644
100,MAT580325,PL22,QPAXTPZN,K,V984536,2025,06,4563.104,600.46,322.992,656.991
300,MAT679674,PL05,9R6P4QYK,E,V415458,2026,08,75.188,62.525,479.808,755.512
400,MAT537426,PL06,AJ4F42DZ,O,V835221,2022,01,4738.009,989.967,149.737,1395.841
200,MAT558888,PL29,FXIRVO4Z,"",V648889,2026,11,3098.357,646.094,12.389,327.12
300,MAT232355,PL29,8BSCS1QX,Q,V517013,2024,01,1163.412,186.901,31.887,1622.297
100,MAT488139,PL25,HY0W46TA,"",V920043,2022,07,4208.244,742.333,436.916,1810.612
300,MAT699124,PL32,L1VSP4SK,K,V283936,2025,03,4212.428,54.766,63.132,1741.371
100,MAT908307,PL38,C1GTWZAH,O,V304109,2023,01,4155.359,676.146,461.177,1119.195
300,MAT344208,PL34,SPKVOZ3Z,Q,V111028,2023,06,4682.9,842.673,427.07,1221.121
200,MAT491036,PL21,ZAOOXU2E,K,V616371,2023,07,3317.716,340.737,130.877,123.171
200,MAT776142,PL18,I3Q44E8C,"",V607655,2022,02,2030.321,169.975,281.288,1095.523
100,MAT198588,PL28,Z1NEYHWL,O,V995461,2025,01,544.174,902.084,367.193,878.149
400,MAT151123,PL30,MQTG2FXG,Q,V870292,2024,02,3634.636,99.065,396.885,421.428
300,MAT816155,PL29,2IZI4ZWY,Q,V848544,2022,05,121.175,928.347,32.457,388.945
300,MAT421549,PL20,D327W9E0,Q,V167560,2025,02,2276.846,661.342,255.011,65.832
300,MAT929419,PL39,PSF889LY,O,V594207,2026,11,1690.654,261.12,18.91,1498.224
100,MAT244039,PL20,IJP6UF2Z,K,V333211,2024,01,2823.205,69.485,154.595,1144.065
300,MAT898027,PL15,0VLWGSEO,O,V244510,2026,02,2017.441,541.127,347.101,316.799
100,MAT794790,PL21,R2BP61WB,O,V642301,2023,09,4723.229,650.969,87.71,1227.502
400,MAT205431,PL41,M1Y378AL,O,V359835,2024,05,2807.163,421.305,151.245,200.545
200,MAT507200,PL46,SL22LDMT,"",V326519,2022,02,310.064,791.994,43.518,1473.241
300,MAT334275,PL28,QAUD42UZ,"",V342709,2025,06,3049.523,790.646,316.249,469.618
400,MAT239709,PL06,3PNMD8WJ,O,V769605,2023,06,779.735,429.101,71.897,135.036
200,MAT798841,PL06,1NI5L8B8,O,V284727,2026,06,1859.298,775.817,173.918,196.735
200,MAT110547,PL08,OPWZ0FK7,Q,V936701,2024,01,3322.754,249.07,310.999,497.645
100,MAT630804,PL41,BTCBR2UN,O,V289601,2023,10,4430.09,800.645,388.276,1582.506
100,MAT182629,PL19,IZHCVPQH,K,V418260,2023,03,2968.422,631.421,303.105,1741.638
400,MAT296744,PL27,LD7CF4V9,Q,V292309,2026,02,3369.533,934.424,6.0,1087.405
200,MAT802358,PL28,NEOUVXDM,"",V959576,2026,11,534.058,952.755,248.091,535.901
200,MAT338745,PL26,QAB4KZKK,Q,V549751,2024,11,1732.975,646.436,28.958,1849.811
300,MAT685933,PL34,DEVG2W5Y,K,V560537,2025,03,3251.394,945.795,52.904,734.791
200,MAT545021,PL45,ZL967QP8,"",V205246,2026,04,2394.264,194.852,265.722,90.798
200,MAT850719,PL27,HXUI0CPQ,K,V423953,2024,06,3703.78,939.663,188.99,406.287
100,MAT179325,PL33,GFAGWN5M,E,V378450,2024,01,3677.007,637.514,234.214,914.022
400,MAT178884,PL45,3AJEQ1KA,"",V752668,2022,06,2788.729,835.654,57.996,206.108
300,MAT292560,PL39,198GNQG2,"",V865897,2025,12,4972.441,188.906,63.136,897.599
200,MAT639984,PL41,OIJ9KING,"",V493372,2022,03,3127.363,836.163,437.079,198.982
400,MAT591434,PL08,QPJORASQ,O,V208040,2026,03,609.834,609.938,390.883,725.051
100,MAT138148,PL11,RFU8GPOR,Q,V709787,2022,02,2231.341,495.529,204.4,77.832
300,MAT416532,PL11,QW0S0JZ3,"",V877909,2024,06,2474.887,373.213,330.829,1526.458
200,MAT946187,PL42,P417TQ6G,O,V565334,2026,10,1756.467,130.716,155.961,922.271
100,MAT337179,PL34,LRUO5QD3,E,V410561,2024,11,4855.428,249.498,493.999,148.145
400,MAT553526,PL16,O198U6RW,O,V464174,2023,12,42.25,79.422,315.816,495.204
100,MAT550450,PL50,QCM9035Q,O,V263325,2024,11,3769.875,937.238,105.623,1565.625
100,MAT806194,PL48,UI1AKTFL,K,V549679,2023,01,3986.295,149.563,223.658,287.49
300,MAT621716,PL27,LBD18CRB,K,V749852,2024,03,2714.718,150.633,364.928,1902.283
400,MAT551355,PL45,R7M758O8,E,V127965,2025,04,2831.201,753.237,161.374,1255.7
200,MAT951797,PL49,86NWUWP0,Q,V848760,2025,10,751.329,32.519,470.506,656.304
300,MAT227063,PL26,LC8JED82,O,V992819,2025,11,546.362,344.294,241.093,413.22
400,MAT498260,PL47,YQZE35RE,Q,V644264,2025,02,630.348,499.153,170.85,56.316
200,MAT996493,PL17,2FDWZ5XZ,"",V664495,2022,05,4231.347,438.204,120.31,409.174
300,MAT272972,PL06,Z7RN5DFM,Q,V580482,2024,09,4109.067,696.014,170.155,1781.484
100,MAT873102,PL07,LWUI0ECT,K,V391106,2024,12,2065.104,802.212,119.25,1391.266
200,MAT269971,PL03,Z9MWVITQ,"",V317732,2026,09,4276.829,343.05,272.767,1334.814
100,MAT138903,PL29,VMWYJUN4,E,V661864,2023,11,1026.489,287.032,130.043,1049.429
200,MAT102407,PL18,1Q5XR7QW,O,V590779,2026,02,4852.625,165.896,37.142,196.77
400,MAT494948,PL23,O60FDYR6,Q,V311514,2025,01,238.419,76.386,171.382,1756.678
100,MAT647260,PL39,VZAKDETH,O,V753988,2022,12,4662.003,868.806,483.17,283.265
300,MAT560703,PL44,SS05SC89,"",V390623,2022,02,3263.155,759.429,342.32,1573.172
100,MAT241094,PL03,CF8AVB3A,K,V611269,2022,03,4612.271,718.925,468.257,1092.083
100,MAT355354,PL42,FN3HH697,Q,V174450,2025,08,1297.358,527.832,25.952,1022.49
100,MAT904546,PL07,EVEWY3KK,"",V433543,2022,04,3491.499,842.372,387.526,1253.203
100,MAT317030,PL25,LUCB9FJI,E,V647114,2024,10,1683.056,299.056,27.261,1169.082
300,MAT385944,PL04,DY3FN2O7,K,V354773,2023,02,4664.665,141.191,410.74,1969.82
100,MAT226651,PL13,71VC4X7S,"",V136405,2025,09,2488.3,683.384,57.67,900.288
100,MAT352960,PL36,YCCY5PMY,K,V493724,2022,01,1401.219,850.223,491.684,1598.346
400,MAT434091,PL36,B1ES1CNB,K,V238245,2022,12,3243.889,607.046,104.759,1625.511
200,MAT908370,PL14,7GSM0FEV,Q,V211974,2024,09,2263.835,279.837,264.93,611.75
100,MAT180095,PL41,80NGYARV,Q,V639145,2022,01,4861.936,989.256,49.968,1919.28
100,MAT795847,PL01,GX28GJ5R,"",V943448,2024,04,3401.246,83.118,250.026,1785.068
300,MAT211710,PL01,FV50GIQH,"",V459347,2025,05,3654.869,110.681,445.38,1201.606
400,MAT679782,PL06,9S7Y3HHX,Q,V966443,2023,06,476.767,718.586,174.782,1007.738
300,MAT224631,PL07,JPV2R8MT,O,V474548,2026,08,154.305,743.627,385.558,1164.908
400,MAT929917,PL30,PVVEWJRF,Q,V192106,2024,02,3079.116,89.807,425.884,1681.224
300,MAT608645,PL27,04FNAT99,K,V951647,2026,04,3415.257,925.096,237.202,1983.691
200,MAT773524,PL49,9QHKDY4E,E,V307674,2025,01,1335.54,801.517,202.49,1408.727
200,MAT482037,PL39,BLH9LCZS,Q,V575327,2026,08,620.415,915.331,63.625,1689.786
200,MAT907963,PL21,FRQL16S2,Q,V447663,2026,09,3570.312,512.143,165.275,1046.891
100,MAT495790,PL14,ZT3GDW2N,K,V775659,2024,01,3938.776,366.763,461.346,654.353
100,MAT335846,PL15,Q7HX33P2,O,V428577,2024,03,0.937,290.159,272.049,379.715
400,MAT353232,PL42,CLKZPV2F,Q,V371375,2025,03,1997.744,785.8,333.275,1167.305
200,MAT492309,PL18,LIRAAZT9,Q,V792852,2023,07,3455.916,841.916,354.574,650.386
200,MAT984531,PL21,87PJFFXJ,K,V107789,2022,02,3493.652,726.482,316.771,825.516
300,MAT265232,PL37,WWFLM9RU,O,V369414,2023,12,656.085,237.702,116.313,1408.327
300,MAT396568,PL33,6R9GH7YT,E,V344510,2022,07,2426.973,595.265,217.428,1104.142
300,MAT310271,PL34,PO03WL48,O,V638972,2025,10,4487.609,714.466,169.802,993.537
300,MAT261606,PL01,46WFJJO8,K,V788264,2024,11,755.036,371.315,188.025,1795.389
300,MAT204217,PL33,UCP1BSNL,O,V238341,2025,03,3179.86,273.772,63.224,1231.698
200,MAT600926,PL38,EM2D3G6V,Q,V576366,2025,12,381.876,279.11,423.548,1943.705
400,MAT328554,PL31,DFBJEZ44,K,V463891,2023,09,3821.659,655.631,430.13,1131.865
100,MAT691776,PL19,9WWHSJ2X,E,V356845,2026,11,677.214,859.318,394.302,1674.677
200,MAT563361,PL36,WJAQC5GL,"",V412985,2024,06,3575.693,947.002,328.825,674.413
300,MAT191504,PL26,6FF759YV,"",V917729,2023,09,453.939,126.994,98.926,1871.21
300,MAT485942,PL34,R4ZXP29E,E,V455782,2023,04,4575.572,952.36,118.616,1955.404
100,MAT780249,PL31,NOV2F93P,Q,V191571,2023,12,334.419,512.553,277.547,1397.913
400,MAT851433,PL40,ZHAW56JF,"",V813877,2025,10,2068.463,241.655,93.104,390.418
300,MAT886841,PL19,S7MMC68R,"",V257886,2022,01,2274.226,207.608,325.784,647.039
300,MAT315776,PL04,JM3CAU5F,O,V837577,2022,08,438.388,343.999,58.347,1502.592
300,MAT498167,PL15,M0S7YHCI,E,V660917,2026,01,2248.942,255.534,125.235,760.486
400,MAT853258,PL38,DYJFEX7U,Q,V164642,2026,06,2937.759,125.572,167.08,1775.187
400,MAT865696,PL06,NGY5D98A,Q,V513239,2023,08,4714.856,363.685,438.306,1566.109
300,MAT237931,PL03,IEIJ7I8W,"",V103090,2023,07,953.521,121.928,400.292,292.155
300,MAT256410,PL24,6YI57073,E,V372135,2023,01,1904.724,659.365,19.783,1498.097
200,MAT293563,PL24,A59UOI3L,Q,V202416,2022,05,940.233,591.119,161.581,1872.392
200,MAT362896,PL06,M0P6Z4I1,E,V447448,2024,04,2970.884,125.27,329.271,26.683
100,MAT116015,PL42,DV979XF4,O,V688853,2023,04,4025.106,944.986,321.413,83.825
300,MAT859394,PL18,HGSYO1ME,O,V165643,2024,02,4048.656,900.31,244.167,1215.45
400,MAT374658,PL50,04R9EWUG,Q,V188512,2026,10,87.454,378.702,278.672,850.691
400,MAT600638,PL06,ENUVQ4WY,Q,V126031,2024,09,4869.185,972.299,33.415,663.281
300,MAT249187,PL29,MHDJS31I,O,V742461,2023,10,1734.767,513.047,148.356,533.751
100,MAT480533,PL24,IN60J81R,O,V535358,2026,04,3211.949,492.392,487.021,709.591
200,MAT915979,PL26,5XIJQ44F,E,V764458,2026,11,1638.66,59.363,184.99,1317.627
200,MAT373438,PL25,15W8Z5BC,E,V179041,2022,05,1651.037,362.36,341.379,637.491
300,MAT811220,PL02,D08D0H5V,"",V452998,2024,04,4688.332,566.59,51.199,515.487
400,MAT166094,PL49,4FSKL0O4,E,V918328,2022,06,3916.987,57.235,498.067,747.943
400,MAT836936,PL21,BG78YXN8,K,V762420,2026,09,2808.111,293.451,131.861,351.958
400,MAT843662,PL42,AFXGJZZZ,"",V597270,2024,11,3744.709,570.971,362.286,679.715
200,MAT451855,PL01,WUTKBKJT,K,V421695,2024,06,1884.428,562.445,213.098,654.092
300,MAT621202,PL41,UT3MS7D9,"",V407844,2026,05,2856.9,258.491,26.645,538.222
400,MAT960896,PL26,6HKOOFK8,"",V651857,2024,12,2294.947,893.27,494.877,743.996
200,MAT463824,PL39,ACGZHYM8,"",V671446,2023,07,755.318,521.244,220.457,861.402
300,MAT371476,PL27,MA6GJJVX,E,V496208,2023,03,1266.669,842.756,449.227,408.492
200,MAT154978,PL21,0X79X4Z5,K,V934127,2026,08,3778.895,798.713,143.037,418.249
200,MAT815091,PL32,ZEBSQDB6,"",V150942,2023,04,3035.796,708.859,213.248,1796.991
300,MAT876349,PL21,H32Q9FHV,"",V876641,2026,02,4452.403,72.947,135.766,538.299
100,MAT660211,PL11,1CF5HHS0,"",V185135,2024,10,3640.124,772.638,367.737,234.085
100,MAT933900,PL22,9KJKLBYE,O,V578119,2025,07,2763.468,62.645,370.609,215.823
100,MAT704050,PL41,OI3T0BG5,Q,V450442,2026,08,62.006,690.625,345.528,921.972
200,MAT440553,PL29,286ZJDCV,O,V594345,2022,02,3773.936,148.393,386.646,301.844
300,MAT993365,PL47,PIRFSMC3,Q,V902888,2023,02,1695.466,419.988,243.637,739.785
100,MAT389746,PL22,BG3AA1GX,K,V162868,2024,04,135.52,635.056,451.217,199.158
200,MAT296942,PL45,HYS0CIK6,E,V876089,2024,09,4007.467,498.308,14.153,1344.303
400,MAT218736,PL24,6H28Z5UR,"",V187695,2026,12,2460.574,190.4,490.266,1047.804
400,MAT289504,PL29,K6VIHLJ3,Q,V550281,2024,09,519.916,738.264,29.297,178.762
200,MAT588819,PL25,K91S6M83,E,V423001,2022,10,1083.634,806.439,120.554,1115.037
200,MAT618978,PL11,BFTNU93Y,E,V753520,2023,11,3629.164,916.359,486.044,182.224
100,MAT919473,PL25,VNJTGV4Z,O,V749808,2025,11,200.043,678.911,117.56,1107.968
300,MAT428334,PL27,370LUS8E,E,V540903,2022,10,2462.687,887.315,176.202,1803.083
100,MAT545133,PL08,J80WMPGG,"",V641913,2026,06,276.199,40.936,479.845,1688.793
200,MAT156948,PL10,1GHXCRCL,"",V128911,2024,02,330.305,450.532,88.762,407.559
200,MAT609910,PL39,R7P74TIG,E,V622394,2022,06,2858.219,8.445,61.232,580.31
100,MAT413982,PL38,YYIF57NB,Q,V869430,2024,08,3621.411,730.85,408.22,929.04
200,MAT468218,PL20,6PFCMHED,E,V791113,2023,08,4057.98,53.692,384.716,106.268
400,MAT482849,PL14,J2TAR31U,E,V610578,2023,10,374.23,164.057,293.434,793.979
300,MAT522391,PL02,4BJWWBVK,O,V471964,2026,03,2476.649,986.602,114.552,1412.599
200,MAT728838,PL31,IVH06LOP,O,V718849,2024,01,2760.631,768.931,165.847,311.332
400,MAT471759,PL30,VBO0KZZY,O,V712539,2022,11,3900.346,619.802,389.438,1525.363
200,MAT403669,PL22,5K53FMZH,O,V553669,2026,03,4083.974,802.245,275.028,1048.236
400,MAT189318,PL38,48R4CIQ8,K,V981450,2025,07,3493.625,903.916,277.554,1366.432
100,MAT963407,PL08,0P0Q1CJF,O,V699852,2024,11,720.779,825.744,155.756,680.292
400,MAT552527,PL50,2TSTRN3D,Q,V808018,2024,12,1326.886,242.16,115.95,88.804
100,MAT317466,PL27,WQ9CG5FQ,Q,V481094,2024,10,1159.155,329.683,360.913,734.467
100,MAT370521,PL08,TO5P605D,E,V858758,2025,09,1905.425,392.51,145.397,1210.164
300,MAT543239,PL20,9EETGQZO,E,V377507,2022,10,0.825,90.275,192.334,1659.562
200,MAT802152,PL35,R73ZF2W6,K,V685892,2022,09,967.834,115.73,24.239,270.967
100,MAT552024,PL05,G7VRBDK9,"",V585516,2025,10,3774.944,950.123,213.53,1207.059
200,MAT113990,PL33,UXNN8U7Y,E,V497750,2023,05,1052.457,858.552,359.944,1513.217
300,MAT140698,PL47,YIBKQTCU,E,V709785,2024,01,1013.663,762.522,411.985,459.699
200,MAT996366,PL33,4X157RJM,E,V862542,2023,06,1995.526,663.758,370.694,1570.148
400,MAT410481,PL19,6VCV2GVO,O,V429539,2022,12,1054.42,42.833,302.434,313.795
300,MAT797065,PL50,WBFMECT3,"",V482018,2023,11,1062.876,310.395,128.825,1997.3
200,MAT755513,PL01,FFP9KW9R,Q,V138833,2023,01,203.326,985.438,468.17,1608.878
