MANDANT,PRUEFLOS,KZART,ZAEHLER,VKATART,VWERKS,VAUSWAHLMG,VCODEGRP,VCODE,VERSIONAM,VERSIONCD,VBEWERTUNG,DBEWERTUNG,VFOLGEAKTI,QKENNZAHL,LTEXTKZ,VNAME,VDATUM,VEZEITERF,VAENAME,VAEDATUM,VEZEITAEN,STAFO,TEILLOS,VORGLFNR
100,900000000000,L,000001,A,PL01,UDSET0000,UDGRP0000,A001,000000,000000,R,1,SCRAP,0,Y,INSPECTOR_000,20260212,000000,QA_MANAGER_000,20260212,050505,STAT00,000000,00000000
200,900000000001,P,000002,B,PL02,UDSET0001,UDGRP0001,R001,000001,000001,R,0,REWORK,1,N,INSPECTOR_001,20260211,010101,QA_MANAGER_001,20260212,060606,STAT01,000001,00000007
300,900000000002,S,000003,A,PL03,UDSET0002,UDGRP0002,R002,000002,000002,R,0,ACCEPT,2,Y,INSPECTOR_002,20260210,020202,QA_MANAGER_002,20260212,070707,STAT02,000002,00000014
100,900000000003,I,000004,B,PL04,UDSET0003,UDGRP0003,A002,000003,000003,R,0,RETURN,3,N,INSPECTOR_003,20260209,030303,QA_MANAGER_003,20260212,080808,STAT03,000003,00000021
200,900000000004,L,000005,A,PL05,UDSET0004,UDGRP0004,A003,000004,000004,R,0,SCRAP,4,Y,INSPECTOR_004,20260208,040404,QA_MANAGER_004,20260212,090909,STAT04,000004,00000028
300,900000000005,P,000006,B,PL06,UDSET0005,UDGRP0005,A001,000005,000005,R,0,REWORK,5,N,INSPECTOR_005,20260207,050505,QA_MANAGER_005,20260212,101010,STAT05,000005,00000035
100,900000000006,S,000007,A,PL07,UDSET0006,UDGRP0006,R001,000006,000006,R,0,ACCEPT,6,Y,INSPECTOR_006,20260206,060606,QA_MANAGER_006,20260212,111111,STAT06,000006,00000042
200,900000000007,I,000008,B,PL08,UDSET0007,UDGRP0007,R002,000007,000007,R,1,RETURN,7,N,INSPECTOR_007,20260205,070707,QA_MANAGER_007,20260212,121212,STAT07,000007,00000049
300,900000000008,L,000009,A,PL09,UDSET0008,UDGRP0008,A002,000008,000008,R,0,SCRAP,8,Y,INSPECTOR_008,20260204,080808,QA_MANAGER_008,20260212,131313,STAT08,000008,00000056
100,900000000009,P,000010,B,PL10,UDSET0009,UDGRP0009,A003,000009,000009,R,0,REWORK,9,N,INSPECTOR_009,20260203,090909,QA_MANAGER_009,20260212,141414,STAT09,000009,00000063
200,900000000010,S,000011,A,PL11,UDSET0010,UDGRP0010,A001,000010,000010,R,0,ACCEPT,10,Y,INSPECTOR_010,20260202,101010,QA_MANAGER_010,20260212,151515,STAT10,000010,00000070
300,900000000011,I,000012,B,PL12,UDSET0011,UDGRP0011,R001,000011,000011,R,0,RETURN,11,N,INSPECTOR_011,20260201,111111,QA_MANAGER_011,20260212,161616,STAT11,000011,00000077
100,900000000012,L,000013,A,PL13,UDSET0012,UDGRP0012,R002,000012,000012,R,0,SCRAP,12,Y,INSPECTOR_012,20260131,121212,QA_MANAGER_012,20260212,171717,STAT12,000012,00000084
200,900000000013,P,000014,B,PL14,UDSET0013,UDGRP0013,A002,000013,000013,R,0,REWORK,13,N,INSPECTOR_013,20260130,131313,QA_MANAGER_013,20260212,181818,STAT13,000013,00000091
300,900000000014,S,000015,A,PL15,UDSET0014,UDGRP0014,A003,000014,000014,R,1,ACCEPT,14,Y,INSPECTOR_014,20260129,141414,QA_MANAGER_014,20260212,191919,STAT14,000014,00000098
100,900000000015,I,000016,B,PL16,UDSET0015,UDGRP0015,A001,000015,000015,R,0,RETURN,15,N,INSPECTOR_015,20260128,151515,QA_MANAGER_015,20260212,202020,STAT00,000015,00000105
200,900000000016,L,000017,A,PL17,UDSET0016,UDGRP0016,R001,000016,000016,R,0,SCRAP,16,Y,INSPECTOR_016,20260127,161616,QA_MANAGER_016,20260212,212121,STAT01,000016,00000112
300,900000000017,P,000018,B,PL18,UDSET0017,UDGRP0017,R002,000017,000017,R,0,REWORK,17,N,INSPECTOR_017,20260126,171717,QA_MANAGER_017,20260212,222222,STAT02,000017,00000119
100,900000000018,S,000019,A,PL19,UDSET0018,UDGRP0018,A002,000018,000018,R,0,ACCEPT,18,Y,INSPECTOR_018,20260125,181818,QA_MANAGER_018,20260212,232323,STAT03,000018,00000126
200,900000000019,I,000020,B,PL20,UDSET0019,UDGRP0019,A003,000019,000019,R,0,RETURN,19,N,INSPECTOR_019,20260124,191919,QA_MANAGER_019,20260212,002424,STAT04,000019,00000133
300,900000000020,L,000021,A,PL01,UDSET0020,UDGRP0020,A001,000020,000020,R,0,SCRAP,20,Y,INSPECTOR_020,20260123,202020,QA_MANAGER_020,20260212,012525,STAT05,000020,00000140
100,900000000021,P,000022,B,PL02,UDSET0021,UDGRP0021,R001,000021,000021,R,1,REWORK,21,N,INSPECTOR_021,20260122,212121,QA_MANAGER_021,20260212,022626,STAT06,000021,00000147
200,900000000022,S,000023,A,PL03,UDSET0022,UDGRP0022,R002,000022,000022,R,0,ACCEPT,22,Y,INSPECTOR_022,20260121,222222,QA_MANAGER_022,20260212,032727,STAT07,000022,00000154
300,900000000023,I,000024,B,PL04,UDSET0023,UDGRP0023,A002,000023,000023,R,0,RETURN,23,N,INSPECTOR_023,20260120,232323,QA_MANAGER_023,20260212,042828,STAT08,000023,00000161
100,900000000024,L,000025,A,PL05,UDSET0024,UDGRP0024,A003,000024,000024,R,0,SCRAP,24,Y,INSPECTOR_024,20260119,002424,QA_MANAGER_024,20260212,052929,STAT09,000024,00000168
200,900000000025,P,000026,B,PL06,UDSET0025,UDGRP0025,A001,000025,000025,R,0,REWORK,25,N,INSPECTOR_025,20260118,012525,QA_MANAGER_025,20260212,063030,STAT10,000025,00000175
300,900000000026,S,000027,A,PL07,UDSET0026,UDGRP0026,R001,000026,000026,R,0,ACCEPT,26,Y,INSPECTOR_026,20260117,022626,QA_MANAGER_026,20260212,073131,STAT11,000026,00000182
100,900000000027,I,000028,B,PL08,UDSET0027,UDGRP0027,R002,000027,000027,R,0,RETURN,27,N,INSPECTOR_027,20260116,032727,QA_MANAGER_027,20260212,083232,STAT12,000027,00000189
200,900000000028,L,000029,A,PL09,UDSET0028,UDGRP0028,A002,000028,000028,R,1,SCRAP,28,Y,INSPECTOR_028,20260115,042828,QA_MANAGER_028,20260212,093333,STAT13,000028,00000196
300,900000000029,P,000030,B,PL10,UDSET0029,UDGRP0029,A003,000029,000029,R,0,REWORK,29,N,INSPECTOR_029,20260114,052929,QA_MANAGER_029,20260212,103434,STAT14,000029,00000203
100,900000000030,S,000031,A,PL11,UDSET0030,UDGRP0030,A001,000030,000030,R,0,ACCEPT,30,Y,INSPECTOR_030,20260113,063030,QA_MANAGER_030,20260212,113535,STAT00,000030,00000210
200,900000000031,I,000032,B,PL12,UDSET0031,UDGRP0031,R001,000031,000031,R,0,RETURN,31,N,INSPECTOR_031,20260112,073131,QA_MANAGER_031,20260212,123636,STAT01,000031,00000217
300,900000000032,L,000033,A,PL13,UDSET0032,UDGRP0032,R002,000032,000032,R,0,SCRAP,32,Y,INSPECTOR_032,20260111,083232,QA_MANAGER_032,20260212,133737,STAT02,000032,00000224
100,900000000033,P,000034,B,PL14,UDSET0033,UDGRP0033,A002,000033,000033,R,0,REWORK,33,N,INSPECTOR_033,20260110,093333,QA_MANAGER_033,20260212,143838,STAT03,000033,00000231
200,900000000034,S,000035,A,PL15,UDSET0034,UDGRP0034,A003,000034,000034,R,0,ACCEPT,34,Y,INSPECTOR_034,20260109,103434,QA_MANAGER_034,20260212,153939,STAT04,000034,00000238
300,900000000035,I,000036,B,PL16,UDSET0035,UDGRP0035,A001,000035,000035,R,1,RETURN,35,N,INSPECTOR_035,20260108,113535,QA_MANAGER_035,20260212,164040,STAT05,000035,00000245
100,900000000036,L,000037,A,PL17,UDSET0036,UDGRP0036,R001,000036,000036,R,0,SCRAP,36,Y,INSPECTOR_036,20260107,123636,QA_MANAGER_036,20260212,174141,STAT06,000036,00000252
200,900000000037,P,000038,B,PL18,UDSET0037,UDGRP0037,R002,000037,000037,R,0,REWORK,37,N,INSPECTOR_037,20260106,133737,QA_MANAGER_037,20260212,184242,STAT07,000037,00000259
300,900000000038,S,000039,A,PL19,UDSET0038,UDGRP0038,A002,000038,000038,R,0,ACCEPT,38,Y,INSPECTOR_038,20260105,143838,QA_MANAGER_038,20260212,194343,STAT08,000038,00000266
100,900000000039,I,000040,B,PL20,UDSET0039,UDGRP0039,A003,000039,000039,R,0,RETURN,39,N,INSPECTOR_039,20260104,153939,QA_MANAGER_039,20260212,204444,STAT09,000039,00000273
200,900000000040,L,000041,A,PL01,UDSET0040,UDGRP0040,A001,000040,000040,R,0,SCRAP,40,Y,INSPECTOR_040,20260103,164040,QA_MANAGER_040,20260212,214545,STAT10,000040,00000280
300,900000000041,P,000042,B,PL02,UDSET0041,UDGRP0041,R001,000041,000041,R,0,REWORK,41,N,INSPECTOR_041,20260102,174141,QA_MANAGER_041,20260212,224646,STAT11,000041,00000287
100,900000000042,S,000043,A,PL03,UDSET0042,UDGRP0042,R002,000042,000042,R,1,ACCEPT,42,Y,INSPECTOR_042,20260101,184242,QA_MANAGER_042,20260212,234747,STAT12,000042,00000294
200,900000000043,I,000044,B,PL04,UDSET0043,UDGRP0043,A002,000043,000043,R,0,RETURN,43,N,INSPECTOR_043,20251231,194343,QA_MANAGER_043,20260212,004848,STAT13,000043,00000301
300,900000000044,L,000045,A,PL05,UDSET0044,UDGRP0044,A003,000044,000044,R,0,SCRAP,44,Y,INSPECTOR_044,20251230,204444,QA_MANAGER_044,20260212,014949,STAT14,000044,00000308
100,900000000045,P,000046,B,PL06,UDSET0045,UDGRP0045,A001,000045,000045,R,0,REWORK,45,N,INSPECTOR_045,20251229,214545,QA_MANAGER_045,20260212,025050,STAT00,000045,00000315
