ADRNR,BAPOVAR,BUKRS,BUKRS_GLOB,BUTXT,BUVAR,DKWEG,DTAMTC,DTAXR,DTPROV,DTTAXC,DTTDSP,EBUKR,FDBUK,FIKRS,FMHRDATE,FM_DERIVE_ACC,FSTVA,FSTVARE,IMPDA,INFMT,KKBER,KOKFI,KOPIM,KTOP2,KTOPL,LAND1,MANDT,MREGL,MWSKA,MWSKV,OFFSACCT,OPVAR,ORT01,PERIV,PP_PDATE,PST_PER_VAR,RCOMP,SPRAS,STCEG,SURCCM,TXJCD,TXKRS,UMKRS,WAABW,WAERS,WFVAR,WT_NEWWT,XBBBA,XBBBE,XBBBF,XBBKO,XBBSC,XCESSION,XCOS,XCOVR,XEINK,XEXTB,XFDIS,XFDMM,XFDSD,XFMCA,XFMCB,XFMCO,XGJRV,XGSBE,XJVAA,XKDFT,XKKBI,XMWSN,XNEGP,XPROD,XSKFN,XSLTA,XSPLT,XSTDT,XVALV,XVATDATE,XVVWA
645317,03,1000,G1000,"Stokes, Carter and Scott",1,"",BC,DT39,AB,CB,DC,1000,1000,FM76,20250813,X,FS97,FR77,X,INF7,CC74,"","",INT1,GRP1,CN,100,RG71,A0,C2,8,PP77,Farleyborough,K4,2,"",CMP884,E,VAT2389036,1,TAX667,X,TAX79,09,JPY,WF27,"","",X,X,"",X,"",X,X,"","",X,"","","",X,X,X,X,"",X,"","","",X,"","","",X,X,"",X
723704,01,1001,G1001,Hill Ltd,1,X,BB,DT11,AC,CC,DB,1001,1001,FM29,20230101,X,FS96,FR58,X,INF7,CC17,X,"",FIN1,FIN1,IN,100,RG44,A0,C2,9,PP81,Caldwellton,K4,1,"",CMP881,E,VAT6362942,1,TAX805,"",TAX93,06,CNY,WF20,X,X,X,"",X,X,"",X,"",X,"","",X,"","","","","","",X,X,X,"","",X,X,"","",X,X,"",""
825646,03,1002,G1002,Romero-Farmer,1,"",BB,DT88,AB,CC,DC,1002,1002,FM59,20240914,"",FS20,FR93,"",INF5,CC64,X,X,GRP1,FIN1,GB,100,RG61,C2,B1,7,PP85,Richardton,V3,2,"",CMP998,F,VAT7024543,1,TAX101,"",TAX97,04,USD,WF98,"","",X,"","",X,X,X,X,"",X,"","","","","","",X,"","",X,"",X,X,X,X,X,"","",X,X,""
793723,03,1003,G1003,"Gill, Davis and Pugh","","",BB,DT30,AA,CB,DB,1003,1003,FM69,20230410,X,FS23,FR42,"",INF4,CC50,X,X,FIN1,INT1,CN,100,RG59,C2,C2,3,PP47,New Amymouth,V3,1,X,CMP409,E,VAT1924917,1,TAX206,X,TAX26,00,CNY,WF27,"",X,X,"",X,X,X,X,"",X,"","",X,X,"","",X,"","","","","",X,"",X,"","",X,X,"","",""
491482,03,1004,G1004,"Murray, Cruz and Thomas","","",BB,DT65,AC,CC,DC,1004,1004,FM29,20250806,X,FS78,FR19,"",INF9,CC91,X,"",GRP1,CORP,JP,100,RG22,C2,C2,3,PP33,Stewartbury,CY,2,"",CMP577,D,VAT1062548,1,TAX128,X,TAX13,06,GBP,WF45,"","","",X,"",X,X,"",X,"","",X,X,"","",X,"",X,"",X,X,X,X,X,X,"",X,X,"",X,X,X
838548,01,1005,G1005,Wilson and Sons,"","",BC,DT79,AC,CA,DC,1005,1005,FM23,20211204,X,FS35,FR77,X,INF1,CC16,"",X,GRP1,GRP1,US,100,RG37,A0,A0,8,PP43,Williammouth,CY,2,"",CMP244,D,VAT9987846,3,TAX586,"",TAX76,05,INR,WF58,"",X,X,X,X,X,"","",X,"","","",X,"",X,"",X,"",X,X,"",X,"","",X,"","",X,"",X,"",""
367775,03,1006,G1006,Hoover-Bradley,"","",BC,DT64,AA,CA,DB,1006,1006,FM66,20220308,"",FS31,FR31,X,INF5,CC42,X,"",FIN1,INT1,CN,100,RG92,B1,C2,6,PP18,East Danielletown,K4,2,"",CMP418,F,VAT8760369,1,TAX935,X,TAX89,02,USD,WF69,"","",X,"","",X,"",X,"",X,"","","",X,X,"",X,"",X,X,X,X,"","",X,X,"","","",X,X,""
544272,02,1007,G1007,Williams Group,1,X,BA,DT77,AC,CB,DC,1007,1007,FM18,20250228,"",FS60,FR69,"",INF1,CC79,X,"",INT1,CORP,US,100,RG23,C2,B1,7,PP43,Johnsonburgh,V3,2,"",CMP829,D,VAT1045095,2,TAX668,"",TAX35,01,EUR,WF78,"","",X,X,X,X,X,"",X,"","","",X,X,X,"","",X,X,X,"","","",X,X,X,X,X,"","",X,""
156364,03,1008,G1008,"Mckenzie, Herrera and Ell",1,X,BC,DT74,AC,CC,DB,1008,1008,FM21,20201205,"",FS21,FR44,X,INF3,CC86,"","",FIN1,FIN1,DE,100,RG72,C2,B1,4,PP85,Mikaylafort,K4,2,X,CMP951,E,VAT8962940,3,TAX896,"",TAX51,09,JPY,WF44,X,"","","","",X,"",X,X,X,X,X,X,"","",X,"",X,"","","","","","",X,"",X,X,"","",X,X
625186,01,1009,G1009,Hoover-Duncan,1,"",BB,DT25,AC,CB,DA,1009,1009,FM55,20221129,X,FS16,FR69,X,INF8,CC38,X,"",FIN1,INT1,GB,100,RG37,A0,B1,2,PP77,West Amy,FY,2,X,CMP129,E,VAT1301748,1,TAX394,"",TAX92,09,INR,WF24,X,X,X,"","",X,X,X,X,"",X,"",X,"","",X,X,X,X,X,"",X,X,X,X,X,X,X,X,"","",X
