BDIFP,BUKRS,BWKEY,BWMOD,EFREJ,ERKLAERKOM,FMP_PRFRGR,FMP_PRSFR,MANDT,MLAST,MLASV,MLBWA,MLBWV,MLCCS,PRSFR,UPROF,WBPRO,X2FDO,XBKNG,XEFRE,XEWRX,XLBPD,XVKBW
1.94,9055,V001,0003,2024,X,GR98,X,100,3,"","","",X,X,UP01,WB03,"",X,X,X,X,""
4.93,2844,V002,0003,2024,X,GR98,"",100,2,X,X,"","",X,UP03,WB01,"","","",X,X,""
3.01,7392,V003,0003,2019,X,GR43,X,100,3,"",X,X,"",X,UP03,WB02,X,"","","","",""
0.38,9249,V004,0004,2025,X,GR93,"",100,"",X,X,X,"",X,UP03,WB03,"","","","","",""
2.76,8070,V005,0002,2019,"",GR42,"",100,3,X,"",X,X,"",UP02,WB03,"","","","",X,X
3.49,5709,V006,0003,2024,"",GR59,X,100,3,"","","","","",UP03,WB01,"","",X,X,"",""
1.76,8784,V007,0003,2023,"",GR75,X,100,3,X,"","","",X,UP02,WB03,"","","",X,X,""
2.67,5903,V008,0004,2017,"",GR26,"",100,3,"","",X,X,X,UP02,WB01,"","",X,X,"",""
4.86,5213,V009,0001,2016,"",GR72,"",100,2,X,X,"","","",UP02,WB02,"",X,X,"","",X
0.87,7703,V010,0004,2026,"",GR43,X,100,2,X,"",X,X,"",UP02,WB02,"","",X,"",X,""
1.88,2026,V011,0001,2022,X,GR79,"",100,3,"",X,"",X,X,UP01,WB03,"","",X,"","",""
3.56,7386,V012,0003,2018,"",GR26,X,100,3,"","",X,X,"",UP02,WB02,X,"",X,X,X,""
2.36,2710,V013,0001,2018,"",GR69,"",100,2,X,X,X,X,X,UP01,WB03,"","","",X,"",X
0.03,9496,V014,0003,2026,"",GR15,"",100,3,"","",X,"","",UP03,WB01,X,"",X,"",X,X
4.89,7108,V015,0003,2016,X,GR96,"",100,3,"","",X,X,"",UP01,WB02,X,"","",X,X,""
2.07,5934,V016,0003,2021,"",GR62,"",100,"",X,X,"","",X,UP02,WB03,"",X,"",X,"",X
4.89,10403,V017,0001,2018,X,GR53,X,100,2,X,X,X,X,"",UP03,WB02,"",X,"","",X,X
1.33,9614,V018,0002,2020,"",GR62,"",100,"",X,"","","","",UP02,WB03,"",X,X,"","",""
3.74,2456,V019,0004,2026,X,GR76,X,100,2,"",X,"",X,"",UP03,WB02,"","",X,X,"",""
1.84,2591,V020,0001,2017,"",GR22,"",100,2,X,X,X,"",X,UP02,WB02,X,"",X,X,"",""
1.48,2217,V021,0003,2026,"",GR49,X,100,"",X,"",X,X,"",UP03,WB01,X,X,"","",X,""
0.4,3042,V022,0003,2025,"",GR74,X,100,"","",X,X,"",X,UP03,WB01,"",X,X,"",X,X
2.93,7367,V023,0003,2022,X,GR88,"",100,"",X,"","",X,X,UP03,WB02,"","","",X,X,X
3.78,8037,V024,0004,2024,"",GR75,X,100,"","","",X,"","",UP02,WB02,X,X,X,"","",X
