MANDT,WERKS,LGORT,LGOBE,SPART,XLONG,XBUFX,DISKZ,XBLGO,XRESS,XHUPF,PARLG,VKORG,VTWEG,VSTEL,LIFNR,KUNNR,MESBS,MESST,OIH_LICNO,OIG_ITRFL,OIB_TNKASSIGN
100,PL01,SL01,Storage Location 01,01,X,X,1,X,X,X,SL01,SO01,01,SP01,VEND000001,CUST000001,MES_SYSTEM_01,1,LIC000001,X,X
200,PL02,SL02,Storage Location 02,02,"","",2,"","","",SL02,SO02,02,SP02,VEND000002,CUST000002,MES_SYSTEM_02,2,LIC000002,"",""
300,PL03,SL03,Storage Location 03,03,"","",2,"","","",SL03,SO03,03,SP03,VEND000003,CUST000003,MES_SYSTEM_03,1,LIC000003,"",""
100,PL04,SL04,Storage Location 04,04,"","",1,"","","",SL04,SO04,01,SP04,VEND000004,CUST000004,MES_SYSTEM_04,2,LIC000004,"",""
200,PL05,SL05,Storage Location 05,05,"","",2,"","","",SL05,SO05,02,SP05,VEND000005,CUST000005,MES_SYSTEM_05,1,LIC000005,X,""
300,PL06,SL06,Storage Location 06,01,"","",2,"","","",SL06,SO06,03,SP06,VEND000006,CUST000006,MES_SYSTEM_06,2,LIC000006,"",X
100,PL07,SL07,Storage Location 07,02,"","",1,X,"","",SL07,SO07,01,SP07,VEND000007,CUST000007,MES_SYSTEM_07,1,LIC000007,"",""
200,PL08,SL08,Storage Location 08,03,"","",2,"",X,"",SL08,SO08,02,SP08,VEND000008,CUST000008,MES_SYSTEM_08,2,LIC000008,"",""
300,PL09,SL09,Storage Location 09,04,"",X,2,"","","",SL09,SO09,03,SP09,VEND000009,CUST000009,MES_SYSTEM_09,1,LIC000009,X,""
100,PL10,SL10,Storage Location 10,05,"","",1,"","",X,SL10,SO10,01,SP10,VEND000010,CUST000010,MES_SYSTEM_10,2,LIC000010,"",""
200,PL11,SL11,Storage Location 11,01,X,"",2,"","","",SL11,SO01,02,SP11,VEND000011,CUST000011,MES_SYSTEM_11,1,LIC000011,"",X
300,PL12,SL12,Storage Location 12,02,"","",2,"","","",SL12,SO02,03,SP12,VEND000012,CUST000012,MES_SYSTEM_12,2,LIC000012,"",""
100,PL13,SL13,Storage Location 13,03,"","",1,X,"","",SL13,SO03,01,SP13,VEND000013,CUST000013,MES_SYSTEM_13,1,LIC000013,X,""
200,PL14,SL14,Storage Location 14,04,"","",2,"","","",SL14,SO04,02,SP14,VEND000014,CUST000014,MES_SYSTEM_14,2,LIC000014,"",""
300,PL15,SL15,Storage Location 15,05,"","",2,"",X,"",SL15,SO05,03,SP15,VEND000015,CUST000015,MES_SYSTEM_15,1,LIC000015,"",""
100,PL16,SL16,Storage Location 16,01,"","",1,"","","",SL16,SO06,01,SP01,VEND000016,CUST000016,MES_SYSTEM_16,2,LIC000016,"",X
200,PL17,SL17,Storage Location 17,02,"",X,2,"","","",SL17,SO07,02,SP02,VEND000017,CUST000017,MES_SYSTEM_17,1,LIC000017,X,""
300,PL18,SL18,Storage Location 18,03,"","",2,"","","",SL18,SO08,03,SP03,VEND000018,CUST000018,MES_SYSTEM_18,2,LIC000018,"",""
100,PL19,SL19,Storage Location 19,04,"","",1,X,"",X,SL19,SO09,01,SP04,VEND000019,CUST000019,MES_SYSTEM_19,1,LIC000019,"",""
200,PL20,SL20,Storage Location 20,05,"","",2,"","","",SL20,SO10,02,SP05,VEND000020,CUST000020,MES_SYSTEM_20,2,LIC000020,"",""
300,PL01,SL21,Storage Location 21,01,X,"",2,"","","",SL21,SO01,03,SP06,VEND000021,CUST000021,MES_SYSTEM_01,1,LIC000021,X,X
100,PL02,SL22,Storage Location 22,02,"","",1,"",X,"",SL22,SO02,01,SP07,VEND000022,CUST000022,MES_SYSTEM_02,2,LIC000022,"",""
200,PL03,SL23,Storage Location 23,03,"","",2,"","","",SL23,SO03,02,SP08,VEND000023,CUST000023,MES_SYSTEM_03,1,LIC000023,"",""
300,PL04,SL24,Storage Location 24,04,"","",2,"","","",SL24,SO04,03,SP09,VEND000024,CUST000024,MES_SYSTEM_04,2,LIC000024,"",""
100,PL05,SL25,Storage Location 25,05,"",X,1,X,"","",SL25,SO05,01,SP10,VEND000025,CUST000025,MES_SYSTEM_05,1,LIC000025,X,""
200,PL06,SL26,Storage Location 26,01,"","",2,"","","",SL26,SO06,02,SP11,VEND000026,CUST000026,MES_SYSTEM_06,2,LIC000026,"",X
300,PL07,SL27,Storage Location 27,02,"","",2,"","","",SL27,SO07,03,SP12,VEND000027,CUST000027,MES_SYSTEM_07,1,LIC000027,"",""
100,PL08,SL28,Storage Location 28,03,"","",1,"","",X,SL28,SO08,01,SP13,VEND000028,CUST000028,MES_SYSTEM_08,2,LIC000028,"",""
200,PL09,SL29,Storage Location 29,04,"","",2,"",X,"",SL29,SO09,02,SP14,VEND000029,CUST000029,MES_SYSTEM_09,1,LIC000029,X,""
300,PL10,SL30,Storage Location 30,05,"","",2,"","","",SL30,SO10,03,SP15,VEND000030,CUST000030,MES_SYSTEM_10,2,LIC000030,"",""
100,PL11,SL31,Storage Location 31,01,X,"",1,X,"","",SL31,SO01,01,SP01,VEND000031,CUST000031,MES_SYSTEM_11,1,LIC000031,"",X
200,PL12,SL32,Storage Location 32,02,"","",2,"","","",SL32,SO02,02,SP02,VEND000032,CUST000032,MES_SYSTEM_12,2,LIC000032,"",""
300,PL13,SL33,Storage Location 33,03,"",X,2,"","","",SL33,SO03,03,SP03,VEND000033,CUST000033,MES_SYSTEM_13,1,LIC000033,X,""
100,PL14,SL34,Storage Location 34,04,"","",1,"","","",SL34,SO04,01,SP04,VEND000034,CUST000034,MES_SYSTEM_14,2,LIC000034,"",""
200,PL15,SL35,Storage Location 35,05,"","",2,"","","",SL35,SO05,02,SP05,VEND000035,CUST000035,MES_SYSTEM_15,1,LIC000035,"",""
300,PL16,SL36,Storage Location 36,01,"","",2,"",X,"",SL36,SO06,03,SP06,VEND000036,CUST000036,MES_SYSTEM_16,2,LIC000036,"",X
100,PL17,SL37,Storage Location 37,02,"","",1,X,"",X,SL37,SO07,01,SP07,VEND000037,CUST000037,MES_SYSTEM_17,1,LIC000037,X,""
200,PL18,SL38,Storage Location 38,03,"","",2,"","","",SL38,SO08,02,SP08,VEND000038,CUST000038,MES_SYSTEM_18,2,LIC000038,"",""
300,PL19,SL39,Storage Location 39,04,"","",2,"","","",SL39,SO09,03,SP09,VEND000039,CUST000039,MES_SYSTEM_19,1,LIC000039,"",""
100,PL20,SL40,Storage Location 40,05,"","",1,"","","",SL40,SO10,01,SP10,VEND000040,CUST000040,MES_SYSTEM_20,2,LIC000040,"",""
200,PL01,SL41,Storage Location 41,01,X,X,2,"","","",SL41,SO01,02,SP11,VEND000041,CUST000041,MES_SYSTEM_01,1,LIC000041,X,X
300,PL02,SL42,Storage Location 42,02,"","",2,"","","",SL42,SO02,03,SP12,VEND000042,CUST000042,MES_SYSTEM_02,2,LIC000042,"",""
100,PL03,SL43,Storage Location 43,03,"","",1,X,X,"",SL43,SO03,01,SP13,VEND000043,CUST000043,MES_SYSTEM_03,1,LIC000043,"",""
200,PL04,SL44,Storage Location 44,04,"","",2,"","","",SL44,SO04,02,SP14,VEND000044,CUST000044,MES_SYSTEM_04,2,LIC000044,"",""
300,PL05,SL45,Storage Location 45,05,"","",2,"","","",SL45,SO05,03,SP15,VEND000045,CUST000045,MES_SYSTEM_05,1,LIC000045,X,""
100,PL06,SL46,Storage Location 46,01,"","",1,"","",X,SL46,SO06,01,SP01,VEND000046,CUST000046,MES_SYSTEM_06,2,LIC000046,"",X
200,PL07,SL47,Storage Location 47,02,"","",2,"","","",SL47,SO07,02,SP02,VEND000047,CUST000047,MES_SYSTEM_07,1,LIC000047,"",""
300,PL08,SL48,Storage Location 48,03,"","",2,"","","",SL48,SO08,03,SP03,VEND000048,CUST000048,MES_SYSTEM_08,2,LIC000048,"",""
100,PL09,SL49,Storage Location 49,04,"",X,1,X,"","",SL49,SO09,01,SP04,VEND000049,CUST000049,MES_SYSTEM_09,1,LIC000049,X,""
200,PL10,SL50,Storage Location 50,05,"","",2,"",X,"",SL50,SO10,02,SP05,VEND000050,CUST000050,MES_SYSTEM_10,2,LIC000050,"",""
300,PL11,SL01,Storage Location 01,01,X,"",2,"","","",SL01,SO01,03,SP06,VEND000051,CUST000051,MES_SYSTEM_11,1,LIC000051,"",X
100,PL12,SL02,Storage Location 02,02,"","",1,"","","",SL02,SO02,01,SP07,VEND000052,CUST000052,MES_SYSTEM_12,2,LIC000052,"",""
200,PL13,SL03,Storage Location 03,03,"","",2,"","","",SL03,SO03,02,SP08,VEND000053,CUST000053,MES_SYSTEM_13,1,LIC000053,X,""
