MANDT,WERKS,NAME1,BWKEY,KUNNR,LIFNR,FABKL,NAME2,STRAS,PFACH,PSTLZ,ORT01,EKORG,VKORG,LAND1,REGIO,COUNC,CITYC,ADRNR,IWERK,TXJCD,VTWEG,SPART,SPRAS
200,PL1624,Patton PLC,PL1624,C840413,V884426,FC,Inc,21457 Rodriguez Estates,14542,60228,West Deborah,P003,S002,USA,CA,339,7931,5408777427,PL1624,TX4000,01,01,S
300,PL3056,"Flores, Green and Mosley",PL3056,C233619,V825054,FC,PLC,1622 Green Park Apt. 867,96840,31185,Charlestown,P002,S003,IND,KA,969,4213,1178564283,PL3056,TX8339,01,01,E
300,PL3586,"Brennan, Jordan and Copeland",PL3586,C735197,V582980,FC,Group,7910 Alvarez Knolls Apt. 125,66308,89066,Lake William,P002,S002,FRA,PAC,936,9440,8246724169,PL3586,TX5451,01,01,S
100,PL4515,Coleman-Flores,PL4515,C923190,V947136,FC,PLC,3348 Howard Cliffs,65614,56001,South Leslie,P003,S003,FRA,IDF,270,1157,1200351264,PL4515,TX9662,01,01,D
300,PL9654,"Bowman, Miller and Johnson",PL9654,C956436,V121237,FC,Inc,95370 Frost Union Apt. 426,68627,57266,Jacksonville,P002,S002,IND,MH,414,4380,4711257334,PL9654,TX4598,01,01,F
300,PL3107,"Tucker, Anderson and Ford",PL3107,C834900,V578135,FC,Ltd,7141 Hill Points,35875,56974,New Summer,P002,S001,USA,TX,854,9490,3320705309,PL3107,TX4767,01,01,S
300,PL6252,Jackson-Howe,PL6252,C307619,V149292,FC,LLC,553 Bowman Glen,68939,28054,Bradview,P001,S002,DEU,BY,390,9255,2116316767,PL6252,TX7649,01,01,D
300,PL7297,"Perez, Moore and Frazier",PL7297,C999736,V257721,FC,Ltd,3917 Carpenter Isle Suite 845,16701,44531,Jeremyfort,P003,S002,FRA,IDF,181,7794,7803175965,PL7297,TX5718,01,01,F
200,PL1956,"Thompson, Crawford and Decker",PL1956,C258148,V169681,FC,Inc,890 Baldwin Row,71945,08905,Vanessamouth,P002,S002,FRA,NAQ,892,7297,2231364574,PL1956,TX3730,01,01,F
300,PL3548,Day PLC,PL3548,C430798,V440970,FC,Ltd,6515 Jeremy Plain Suite 789,13517,22192,Davidmouth,P002,S002,DEU,HE,353,9414,4485698283,PL3548,TX1626,01,01,F
200,PL8566,Schmitt-Evans,PL8566,C649044,V354843,FC,Inc,73836 Ellis Spurs Apt. 265,59224,63592,Emmaport,P001,S001,USA,TX,461,2179,2036748212,PL8566,TX3214,01,01,D
200,PL3883,"Kim, Williams and Montoya",PL3883,C508517,V356991,FC,Ltd,25393 Wendy Villages,32824,89074,Jeremyhaven,P001,S001,FRA,IDF,354,1652,7785311696,PL3883,TX2665,01,01,D
200,PL2917,Mcneil Inc,PL2917,C347216,V312221,FC,Group,5237 Blackburn Fields Suite 752,92790,58416,Richmondfurt,P002,S002,USA,TX,355,9309,9330803813,PL2917,TX5586,01,01,D
300,PL8939,Beltran Ltd,PL8939,C761296,V554247,FC,Ltd,4099 Mark Lodge,64003,66494,Michaelchester,P003,S001,USA,PA,909,4823,7892024132,PL8939,TX2153,01,01,F
200,PL1619,Mason-Bennett,PL1619,C691364,V258539,FC,and Sons,09192 Crane Well,17933,23117,Wagnertown,P003,S003,USA,PA,844,6257,7837006334,PL1619,TX4126,01,01,F
100,PL9585,Hill and Sons,PL9585,C554455,V391565,FC,LLC,90198 Shane Crest,43657,59128,Kennethville,P003,S003,USA,CA,849,4851,8372958539,PL9585,TX7825,01,01,S
300,PL9068,Medina LLC,PL9068,C225996,V910504,FC,Ltd,73142 Rhonda Coves Suite 957,21161,50814,East Willieland,P001,S003,IND,DL,580,8424,6610674476,PL9068,TX7501,01,01,D
300,PL6023,Freeman-Marshall,PL6023,C126757,V292066,FC,LLC,648 Stuart Overpass Apt. 128,97848,79712,Port Chelsea,P003,S001,DEU,HE,201,5905,8520168741,PL6023,TX4347,01,01,S
300,PL7553,Walker PLC,PL7553,C182889,V105865,FC,Group,3705 Tiffany Glens,17689,38068,Jesusshire,P001,S002,FRA,PAC,919,6925,4418362970,PL7553,TX6983,01,01,S
100,PL8511,"Young, Williamson and Rios",PL8511,C796999,V162001,FC,and Sons,9071 Coleman Stravenue,76006,74361,Lake Danielside,P001,S001,FRA,PAC,888,6092,2616740419,PL8511,TX2053,01,01,D
100,PL2680,"Brennan, Duncan and Gates",PL2680,C398925,V197383,FC,LLC,93849 Willie Trace,12091,93038,New Hunter,P003,S002,DEU,HE,912,6036,5013681905,PL2680,TX2165,01,01,F
200,PL6058,Burgess PLC,PL6058,C992174,V629623,FC,and Sons,8309 Short Harbor,93625,61829,Jonesfort,P002,S002,DEU,BW,265,7936,5597325938,PL6058,TX9324,01,01,F
100,PL8696,Maxwell LLC,PL8696,C851206,V203363,FC,Inc,4765 Hogan Park,55395,87842,New Monica,P002,S001,DEU,HE,730,1066,7782683158,PL8696,TX7771,01,01,E
300,PL7696,Lowery and Sons,PL7696,C544166,V162696,FC,LLC,72053 Derrick Rest Suite 695,17372,13896,North Shawnport,P001,S001,USA,CA,541,1378,2573100528,PL7696,TX3041,01,01,F
300,PL9869,"Hunter, Jackson and Freeman",PL9869,C594312,V284080,FC,Group,19498 Anderson Place Apt. 733,51395,75802,Christinebury,P003,S003,IND,TN,291,7734,7533206649,PL9869,TX6186,01,01,F
100,PL4450,"White, Stevens and Cochran",PL4450,C554893,V883149,FC,Inc,111 Garrett Mountains,76697,30896,New Mistyberg,P001,S002,IND,DL,425,7814,8762105873,PL4450,TX9669,01,01,S
