MANDT,EKORG,EKOTX,BUKRS,TXADR,TXKOP,TXFUS,TXGRU,KALSE,MKALS,BPEFF,BUKRS_NTR
100,9UE4,"Rodriguez, Figueroa ",4100,"Rodriguez, Figueroa and Sanchez, Lake Curtis","Official Purchase Order - Rodriguez, Figueroa and Sanchez",For inquiries contact: garzaanthony@example.org,Sincerely,PR02,PB0002,X,3000
200,MRQV,Hall PLC,1000,"Hall PLC, New Jamesside",Official Purchase Order - Hall PLC,For inquiries contact: lrobinson@example.com,Best Regards,Z001,ZPB001,,4100
300,LVCR,Blake and Sons,3100,"Blake and Sons, Petersonberg",Official Purchase Order - Blake and Sons,For inquiries contact: susanrogers@example.org,Best Regards,RM01,PB0002,X,3100
400,JSNY,Davis-Abbott,4000,"Davis-Abbott, Lindsaymouth",Official Purchase Order - Davis-Abbott,For inquiries contact: dudleynicholas@example.net,Sincerely,PR02,MK0002,X,4100
100,PDFY,Calderon-Montgomery,1100,"Calderon-Montgomery, Barbaraland",Official Purchase Order - Calderon-Montgomery,For inquiries contact: stanleykendra@example.org,With Thanks,Z002,MK0002,X,3100
200,EV64,Delacruz Group,3000,"Delacruz Group, Shawnstad",Official Purchase Order - Delacruz Group,For inquiries contact: mitchellclark@example.com,Sincerely,PR01,PB0002,,1000
300,1AI9,"Zuniga, Wong and Lyn",4000,"Zuniga, Wong and Lynch, New Jessica","Official Purchase Order - Zuniga, Wong and Lynch",For inquiries contact: stevennelson@example.net,Best Regards,PR02,PB0002,,3000
400,NHYM,"Hawkins, Cohen and C",1100,"Hawkins, Cohen and Cameron, East Lydiamouth","Official Purchase Order - Hawkins, Cohen and Cameron",For inquiries contact: nadams@example.net,Kind Regards,RM01,MK0001,,4000
100,0RSO,"Edwards, Rios and Fo",2000,"Edwards, Rios and Foster, Thomasberg","Official Purchase Order - Edwards, Rios and Foster",For inquiries contact: julieryan@example.net,Best Regards,Z001,MK0001,,2100
200,EWLG,"Patterson, Silva and",2100,"Patterson, Silva and Cox, New Trevor","Official Purchase Order - Patterson, Silva and Cox",For inquiries contact: callahaneric@example.org,Best Regards,RM02,PB0001,X,4100
300,OIV1,"Henderson, Brown and",3100,"Henderson, Brown and James, Riceside","Official Purchase Order - Henderson, Brown and James",For inquiries contact: frazierdanny@example.net,Best Regards,PR02,PB0002,,1100
400,LLYA,Mack-Peterson,1000,"Mack-Peterson, Ryanmouth",Official Purchase Order - Mack-Peterson,For inquiries contact: mckaynancy@example.com,Kind Regards,Z002,MK0001,X,1000
100,ELSX,"Gill, Romero and Rod",3000,"Gill, Romero and Rodriguez, Meaganhaven","Official Purchase Order - Gill, Romero and Rodriguez",For inquiries contact: ericfarmer@example.net,Kind Regards,Z001,MK0001,,4000
200,8YOU,"Sellers, George and ",1000,"Sellers, George and Burns, West Natashaport","Official Purchase Order - Sellers, George and Burns",For inquiries contact: brianhumphrey@example.org,Best Regards,Z001,PB0001,X,3100
300,63Y8,Dennis Inc,3000,"Dennis Inc, East Donna",Official Purchase Order - Dennis Inc,For inquiries contact: josephbrennan@example.com,With Thanks,PR01,MK0001,X,2000
400,FSHB,Hickman Ltd,1100,"Hickman Ltd, Lake Larry",Official Purchase Order - Hickman Ltd,For inquiries contact: samuel87@example.org,With Thanks,PR01,MK0001,X,2000
100,CWN2,Walker LLC,1000,"Walker LLC, New Angelashire",Official Purchase Order - Walker LLC,For inquiries contact: adrianzimmerman@example.org,Best Regards,PR02,ZPB002,X,4000
200,L51F,Jones Inc,3000,"Jones Inc, Chadbury",Official Purchase Order - Jones Inc,For inquiries contact: elizabeth38@example.org,Best Regards,Z002,MK0002,,3000
300,JF3C,"Walls, Duncan and Ke",4000,"Walls, Duncan and Kennedy, Aguirreborough","Official Purchase Order - Walls, Duncan and Kennedy",For inquiries contact: davisryan@example.com,Best Regards,Z002,ZPB002,X,1100
400,XID4,Owens-Daniel,3000,"Owens-Daniel, North Richardmouth",Official Purchase Order - Owens-Daniel,For inquiries contact: wrightjames@example.com,Best Regards,Z002,ZPB002,X,2000
100,XCGM,Henderson LLC,1000,"Henderson LLC, Wrightland",Official Purchase Order - Henderson LLC,For inquiries contact: jmorton@example.org,Kind Regards,PR01,PB0002,,3100
200,X5WT,Pearson PLC,1000,"Pearson PLC, North Sarabury",Official Purchase Order - Pearson PLC,For inquiries contact: richardolson@example.com,With Thanks,Z002,MK0002,,3000
300,E0RI,Martin Inc,4100,"Martin Inc, Bakermouth",Official Purchase Order - Martin Inc,For inquiries contact: rodney87@example.org,Kind Regards,RM01,PB0001,X,2000
400,1ATM,Phillips Inc,1000,"Phillips Inc, Lake Leeton",Official Purchase Order - Phillips Inc,For inquiries contact: hshaw@example.org,Best Regards,Z001,PB0001,,2100
100,D2EE,Yu Inc,1100,"Yu Inc, North Brooke",Official Purchase Order - Yu Inc,For inquiries contact: richarddavid@example.net,Kind Regards,PR01,MK0001,,4100
200,KERN,Riley Inc,2000,"Riley Inc, South Dianeshire",Official Purchase Order - Riley Inc,For inquiries contact: sarah35@example.org,Kind Regards,PR01,ZPB001,,2000
300,DN5V,Foster-Powers,4000,"Foster-Powers, Stephenland",Official Purchase Order - Foster-Powers,For inquiries contact: ellisyolanda@example.org,Best Regards,PR01,ZPB001,,3000
400,QHTX,Medina PLC,2100,"Medina PLC, Davidstad",Official Purchase Order - Medina PLC,For inquiries contact: suarezmike@example.org,Kind Regards,RM01,MK0001,X,2000
100,174W,Bass-Warner,1100,"Bass-Warner, Lake Lisaport",Official Purchase Order - Bass-Warner,For inquiries contact: mcmillandennis@example.org,Sincerely,Z002,PB0002,X,1000
200,W4C6,Newton and Sons,3000,"Newton and Sons, Juanborough",Official Purchase Order - Newton and Sons,For inquiries contact: james48@example.com,Sincerely,Z002,ZPB002,,2000
300,K1VP,Whitehead-Mathis,1000,"Whitehead-Mathis, Lake Rodneyview",Official Purchase Order - Whitehead-Mathis,For inquiries contact: smithkellie@example.net,Kind Regards,PR02,PB0002,,3100
400,XPSA,Martin-Ramos,2000,"Martin-Ramos, Hoffmanville",Official Purchase Order - Martin-Ramos,For inquiries contact: landryhannah@example.org,Kind Regards,PR02,ZPB001,,2100
100,37V7,"Johnson, Wood and Tr",2100,"Johnson, Wood and Tran, Andersonport","Official Purchase Order - Johnson, Wood and Tran",For inquiries contact: rachel05@example.org,Kind Regards,PR01,PB0002,X,3000
200,XRDT,"Wright, Garcia and D",2100,"Wright, Garcia and Deleon, Dicksonberg","Official Purchase Order - Wright, Garcia and Deleon",For inquiries contact: michellecherry@example.org,Best Regards,RM01,ZPB001,,1000
300,P7R9,Johnson-Doyle,4100,"Johnson-Doyle, Kimberlychester",Official Purchase Order - Johnson-Doyle,For inquiries contact: josephcobb@example.org,Kind Regards,RM01,MK0002,,4000
400,22SN,Brennan-Garrison,1100,"Brennan-Garrison, East Lisa",Official Purchase Order - Brennan-Garrison,For inquiries contact: ybailey@example.org,Kind Regards,Z001,PB0002,X,2100
100,SO0U,Johnson and Sons,2100,"Johnson and Sons, Murphyland",Official Purchase Order - Johnson and Sons,For inquiries contact: michael86@example.net,Kind Regards,RM01,MK0001,X,4100
200,W1YE,"Rivera, Johnson and ",4100,"Rivera, Johnson and Wiley, Gregoryview","Official Purchase Order - Rivera, Johnson and Wiley",For inquiries contact: rodriguezryan@example.net,Best Regards,Z002,ZPB001,X,2100
300,1923,Graham-Joyce,3100,"Graham-Joyce, South Rachelborough",Official Purchase Order - Graham-Joyce,For inquiries contact: bradley60@example.net,Sincerely,RM02,ZPB001,X,2000
400,GHF3,"Mcdaniel, Bentley an",3000,"Mcdaniel, Bentley and Mclaughlin, West Ryan","Official Purchase Order - Mcdaniel, Bentley and Mclaughlin",For inquiries contact: cindy14@example.net,Best Regards,PR02,PB0002,,2000
100,FWQV,Estrada-Nguyen,4100,"Estrada-Nguyen, Angelaborough",Official Purchase Order - Estrada-Nguyen,For inquiries contact: yortega@example.net,Kind Regards,Z002,PB0002,X,4000
200,9LGY,"Orr, Gilbert and Tur",4100,"Orr, Gilbert and Turner, West Justinchester","Official Purchase Order - Orr, Gilbert and Turner",For inquiries contact: steven73@example.net,Sincerely,Z001,PB0001,X,2100
300,2837,Leon-Moyer,4000,"Leon-Moyer, Lake Christopher",Official Purchase Order - Leon-Moyer,For inquiries contact: clarence34@example.org,Kind Regards,Z001,MK0002,X,3000
400,MYK8,Hernandez Inc,3000,"Hernandez Inc, South Cheryl",Official Purchase Order - Hernandez Inc,For inquiries contact: gibsonolivia@example.net,Kind Regards,RM01,ZPB002,X,2000
100,NAL3,Higgins Group,4000,"Higgins Group, Rossberg",Official Purchase Order - Higgins Group,For inquiries contact: staffordmichelle@example.org,Kind Regards,PR02,ZPB001,,2000
200,TOLO,Robinson-Brock,2000,"Robinson-Brock, Williamsbury",Official Purchase Order - Robinson-Brock,For inquiries contact: bryantlaurie@example.net,With Thanks,RM01,ZPB002,X,2100
300,SD4T,"Travis, Larson and D",3100,"Travis, Larson and Dodson, Salazarhaven","Official Purchase Order - Travis, Larson and Dodson",For inquiries contact: jrivas@example.com,Sincerely,Z002,PB0001,X,4100
400,7YOF,Manning Group,3100,"Manning Group, Greenbury",Official Purchase Order - Manning Group,For inquiries contact: katie87@example.net,Sincerely,PR02,PB0002,,3100
100,SUSW,Hill Inc,2000,"Hill Inc, Jimmymouth",Official Purchase Order - Hill Inc,For inquiries contact: patricia12@example.org,Best Regards,Z002,ZPB002,,2100
200,3XLR,Reyes and Sons,1000,"Reyes and Sons, North Robert",Official Purchase Order - Reyes and Sons,For inquiries contact: amy60@example.org,Best Regards,Z001,PB0002,X,1100
300,321D,Price-Carrillo,4100,"Price-Carrillo, Port Nicoleshire",Official Purchase Order - Price-Carrillo,For inquiries contact: wwoods@example.com,Sincerely,Z001,PB0001,,1000
400,LRIO,Castaneda-Ashley,4100,"Castaneda-Ashley, Medinaside",Official Purchase Order - Castaneda-Ashley,For inquiries contact: tracynelson@example.com,Kind Regards,Z002,MK0002,,4100
100,QSU9,Price Ltd,2100,"Price Ltd, Ramseymouth",Official Purchase Order - Price Ltd,For inquiries contact: tinaferguson@example.com,Best Regards,RM02,ZPB002,,4100
200,02GR,"Elliott, Johnson and",1000,"Elliott, Johnson and Day, Port Steven","Official Purchase Order - Elliott, Johnson and Day",For inquiries contact: greenmark@example.com,Kind Regards,RM02,MK0001,X,1000
300,OD97,Rogers-Hobbs,1100,"Rogers-Hobbs, Karenchester",Official Purchase Order - Rogers-Hobbs,For inquiries contact: mary70@example.net,Sincerely,PR02,PB0002,,2000
400,15AH,"Williams, Crane and ",3100,"Williams, Crane and Walker, Port Susanton","Official Purchase Order - Williams, Crane and Walker",For inquiries contact: herringjames@example.org,Kind Regards,RM02,MK0002,,4100
