ABWCT,ABWGA,FCURR,FFACT,GDATU,KURST,MANDT,TCURR,TFACT
B,20230202,USD,35,20230202,B,100,SGD,57
M,20240614,CAD,76,20240614,B,100,JPY,59
M,20211024,GBP,23,20211024,B,100,EUR,65
M,20200327,AUD,88,20200327,M,100,JPY,22
G,20180520,CAD,33,20180520,G,100,GBP,14
B,20210307,AED,4,20210307,P,100,EUR,37
G,20180724,AUD,11,20180724,P,100,CAD,87
P,20200819,INR,1,20200819,G,100,EUR,46
P,20180713,JPY,21,20180713,M,100,INR,83
M,20240515,USD,74,20240515,M,100,AUD,77
G,20210929,EUR,93,20210929,B,100,INR,43
B,20230621,USD,68,20230621,P,100,AED,67
G,20200518,USD,98,20200518,P,100,SGD,59
G,20181006,JPY,14,20181006,G,100,CAD,3
M,20200211,JPY,98,20200211,M,100,INR,23
B,20200130,AED,98,20200130,B,100,AUD,3
M,20191122,INR,56,20191122,G,100,EUR,2
B,20181209,USD,39,20181209,P,100,CAD,30
G,20191206,GBP,26,20191206,B,100,USD,23
P,20190504,SGD,35,20190504,G,100,AUD,50
M,20240319,EUR,26,20240319,B,100,JPY,53
M,20180302,EUR,79,20180302,B,100,AED,6
G,20181102,JPY,45,20181102,P,100,EUR,6
P,20190819,GBP,4,20190819,M,100,USD,94
M,20220808,AUD,28,20220808,B,100,JPY,25
M,20220825,AED,14,20220825,B,100,AUD,24
P,20200729,CAD,62,20200729,B,100,AUD,100
P,20210306,AED,92,20210306,P,100,JPY,73
G,20231112,CAD,29,20231112,B,100,USD,25
B,20200530,GBP,15,20200530,M,100,AUD,63
P,20190317,AUD,81,20190317,G,100,AED,61
P,20200309,CAD,12,20200309,G,100,JPY,92
G,20210104,SGD,77,20210104,P,100,EUR,25
G,20190621,CAD,38,20190621,M,100,GBP,72
B,20240410,INR,88,20240410,P,100,AED,85
P,20190826,AED,69,20190826,M,100,EUR,34
B,20220304,AED,87,20220304,M,100,GBP,15
P,20210303,EUR,56,20210303,M,100,GBP,15
M,20230320,CAD,67,20230320,B,100,SGD,30
B,20180110,AED,44,20180110,B,100,JPY,6
B,20190115,GBP,36,20190115,M,100,USD,68
B,20190226,AUD,36,20190226,B,100,AED,11
M,20240901,SGD,55,20240901,G,100,JPY,22
G,20240105,AED,20,20240105,B,100,SGD,90
M,20200419,AED,72,20200419,G,100,GBP,59
M,20220728,JPY,46,20220728,P,100,SGD,89
M,20190918,EUR,81,20190918,M,100,SGD,100
B,20211018,INR,85,20211018,M,100,EUR,73
M,20200517,EUR,88,20200517,P,100,SGD,84
P,20221206,INR,69,20221206,G,100,JPY,21
G,20221209,JPY,42,20221209,G,100,EUR,2
M,20240105,EUR,82,20240105,P,100,AUD,95
G,20180502,EUR,4,20180502,P,100,AED,82
B,20181229,SGD,12,20181229,M,100,INR,65
G,20220326,CAD,88,20220326,P,100,GBP,68
P,20210327,EUR,3,20210327,B,100,GBP,56
G,20230602,SGD,33,20230602,G,100,AUD,4
M,20190616,INR,80,20190616,B,100,SGD,66
G,20211004,JPY,100,20211004,B,100,AUD,53
M,20230124,JPY,43,20230124,B,100,INR,9
B,20190704,INR,91,20190704,G,100,CAD,52
P,20210220,AED,11,20210220,G,100,USD,84
P,20220107,SGD,2,20220107,P,100,USD,25
M,20180920,EUR,5,20180920,M,100,CAD,50
G,20181022,USD,27,20181022,P,100,AED,47
P,20200218,EUR,16,20200218,G,100,JPY,63
B,20200217,SGD,71,20200217,M,100,AUD,23
G,20230603,INR,26,20230603,B,100,EUR,16
G,20190621,USD,13,20190621,G,100,AED,59
G,20220519,USD,90,20220519,B,100,INR,16
B,20240614,EUR,69,20240614,B,100,JPY,63
M,20200811,AUD,79,20200811,P,100,INR,24
P,20190921,SGD,24,20190921,G,100,JPY,28
P,20180107,GBP,27,20180107,M,100,JPY,21
P,20201103,USD,70,20201103,P,100,GBP,66
M,20181026,EUR,66,20181026,P,100,GBP,19
G,20230526,USD,73,20230526,M,100,CAD,16
M,20180709,GBP,60,20180709,G,100,INR,82
M,20190307,INR,13,20190307,P,100,CAD,72
G,20201126,AED,15,20201126,B,100,AUD,99
P,20191029,AED,45,20191029,P,100,GBP,40
M,20210328,SGD,83,20210328,P,100,AUD,71
M,20181006,EUR,96,20181006,P,100,SGD,62
G,20210305,INR,70,20210305,B,100,GBP,33
M,20231108,USD,72,20231108,P,100,AED,48
P,20180528,USD,68,20180528,B,100,AUD,39
G,20190313,SGD,82,20190313,G,100,AED,39
G,20230728,INR,82,20230728,P,100,JPY,66
G,20201219,EUR,1,20201219,P,100,USD,51
B,20221004,GBP,6,20221004,M,100,JPY,18
B,20230323,USD,82,20230323,B,100,GBP,29
G,20180823,INR,53,20180823,B,100,CAD,25
M,20191222,AUD,85,20191222,G,100,SGD,17
G,20190226,GBP,17,20190226,B,100,SGD,59
P,20211010,JPY,21,20211010,P,100,GBP,42
G,20190812,GBP,31,20190812,M,100,EUR,43
M,20200531,INR,78,20200531,M,100,JPY,60
M,20190816,GBP,84,20190816,M,100,SGD,35
B,20211220,CAD,6,20211220,B,100,JPY,66
G,20220516,AUD,33,20220516,G,100,USD,83
M,20230827,CAD,52,20230827,B,100,EUR,54
G,20181206,EUR,53,20181206,P,100,CAD,44
M,20210226,CAD,73,20210226,P,100,SGD,90
B,20221123,JPY,38,20221123,G,100,INR,98
G,20211016,USD,25,20211016,M,100,INR,77
B,20230911,SGD,61,20230911,B,100,INR,92
G,20240618,GBP,21,20240618,M,100,EUR,75
M,20230922,SGD,23,20230922,B,100,EUR,83
M,20180430,USD,10,20180430,B,100,JPY,38
P,20201117,AED,95,20201117,P,100,EUR,94
B,20220726,INR,77,20220726,G,100,EUR,32
G,20220527,USD,67,20220527,B,100,AED,52
G,20230511,AUD,12,20230511,B,100,INR,40
M,20230618,SGD,80,20230618,B,100,INR,81
G,20200525,AED,76,20200525,P,100,JPY,56
M,20181030,INR,52,20181030,B,100,EUR,80
P,20190329,USD,60,20190329,B,100,AUD,3
G,20181012,AED,77,20181012,G,100,SGD,21
M,20221225,AED,29,20221225,G,100,SGD,57
G,20220204,AED,71,20220204,P,100,SGD,23
B,20230927,GBP,49,20230927,M,100,AUD,82
M,20200606,AED,50,20200606,G,100,INR,90
P,20211030,INR,96,20211030,P,100,GBP,82
M,20231004,GBP,8,20231004,G,100,SGD,14
P,20210128,INR,4,20210128,G,100,EUR,62
M,20190714,JPY,38,20190714,M,100,EUR,23
M,20190804,JPY,21,20190804,B,100,USD,81
P,20230410,EUR,42,20230410,G,100,GBP,21
P,20220830,SGD,16,20220830,B,100,USD,16
M,20200817,AUD,6,20200817,P,100,USD,25
B,20200306,GBP,62,20200306,B,100,JPY,12
G,20230728,CAD,59,20230728,G,100,AED,49
M,20181005,AED,23,20181005,G,100,CAD,34
G,20191029,EUR,10,20191029,B,100,AED,11
G,20230729,CAD,8,20230729,B,100,GBP,83
P,20240908,JPY,49,20240908,M,100,AUD,4
M,20210425,GBP,74,20210425,M,100,AED,89
B,20240714,INR,66,20240714,M,100,EUR,7
P,20220713,AUD,81,20220713,B,100,CAD,37
P,20211116,JPY,41,20211116,G,100,EUR,16
B,20230713,INR,44,20230713,M,100,JPY,49
P,20210115,INR,74,20210115,B,100,JPY,13
G,20220105,AED,56,20220105,G,100,SGD,81
G,20181125,INR,45,20181125,B,100,AED,29
P,20220417,GBP,92,20220417,B,100,INR,99
B,20230902,GBP,36,20230902,G,100,INR,50
G,20210801,INR,75,20210801,B,100,GBP,60
M,20240906,CAD,71,20240906,B,100,USD,53
G,20230610,AUD,18,20230610,B,100,JPY,29
M,20220125,JPY,79,20220125,P,100,INR,17
G,20230715,JPY,62,20230715,B,100,AUD,51
P,20190422,GBP,51,20190422,G,100,JPY,16
P,20230731,GBP,39,20230731,G,100,USD,88
B,20200207,EUR,16,20200207,G,100,INR,76
B,20230928,USD,78,20230928,M,100,EUR,68
P,20180429,CAD,9,20180429,M,100,EUR,90
G,20190402,JPY,9,20190402,G,100,EUR,81
P,20180804,JPY,17,20180804,G,100,USD,49
P,20180716,AED,6,20180716,G,100,EUR,27
B,20220115,INR,73,20220115,P,100,EUR,62
M,20211105,USD,6,20211105,M,100,AED,98
