MANDT,SPRACHE,ART,KURZTEXT,LTXA1
100,E,INSP0001,Inspection Type 0001,Quality Inspection Operation 0001
200,D,INSP0002,Inspection Type 0002,Quality Inspection Operation 0002
300,F,INSP0003,Inspection Type 0003,Quality Inspection Operation 0003
100,S,INSP0004,Inspection Type 0004,Quality Inspection Operation 0004
200,E,INSP0005,Inspection Type 0005,Quality Inspection Operation 0005
300,D,INSP0006,Inspection Type 0006,Quality Inspection Operation 0006
100,F,INSP0007,Inspection Type 0007,Quality Inspection Operation 0007
200,S,INSP0008,Inspection Type 0008,Quality Inspection Operation 0008
300,E,INSP0009,Inspection Type 0009,Quality Inspection Operation 0009
100,D,INSP0010,Inspection Type 0010,Quality Inspection Operation 0010
200,F,INSP0011,Inspection Type 0011,Quality Inspection Operation 0011
300,S,INSP0012,Inspection Type 0012,Quality Inspection Operation 0012
100,E,INSP0013,Inspection Type 0013,Quality Inspection Operation 0013
200,D,INSP0014,Inspection Type 0014,Quality Inspection Operation 0014
300,F,INSP0015,Inspection Type 0015,Quality Inspection Operation 0015
100,S,INSP0016,Inspection Type 0016,Quality Inspection Operation 0016
200,E,INSP0017,Inspection Type 0017,Quality Inspection Operation 0017
300,D,INSP0018,Inspection Type 0018,Quality Inspection Operation 0018
100,F,INSP0019,Inspection Type 0019,Quality Inspection Operation 0019
200,S,INSP0020,Inspection Type 0020,Quality Inspection Operation 0020
300,E,INSP0021,Inspection Type 0021,Quality Inspection Operation 0021
100,D,INSP0022,Inspection Type 0022,Quality Inspection Operation 0022
200,F,INSP0023,Inspection Type 0023,Quality Inspection Operation 0023
300,S,INSP0024,Inspection Type 0024,Quality Inspection Operation 0024
100,E,INSP0025,Inspection Type 0025,Quality Inspection Operation 0025
200,D,INSP0026,Inspection Type 0026,Quality Inspection Operation 0026
300,F,INSP0027,Inspection Type 0027,Quality Inspection Operation 0027
100,S,INSP0028,Inspection Type 0028,Quality Inspection Operation 0028
200,E,INSP0029,Inspection Type 0029,Quality Inspection Operation 0029
300,D,INSP0030,Inspection Type 0030,Quality Inspection Operation 0030
100,F,INSP0031,Inspection Type 0031,Quality Inspection Operation 0031
200,S,INSP0032,Inspection Type 0032,Quality Inspection Operation 0032
300,E,INSP0033,Inspection Type 0033,Quality Inspection Operation 0033
100,D,INSP0034,Inspection Type 0034,Quality Inspection Operation 0034
200,F,INSP0035,Inspection Type 0035,Quality Inspection Operation 0035
300,S,INSP0036,Inspection Type 0036,Quality Inspection Operation 0036
100,E,INSP0037,Inspection Type 0037,Quality Inspection Operation 0037
200,D,INSP0038,Inspection Type 0038,Quality Inspection Operation 0038
300,F,INSP0039,Inspection Type 0039,Quality Inspection Operation 0039
100,S,INSP0040,Inspection Type 0040,Quality Inspection Operation 0040
200,E,INSP0041,Inspection Type 0041,Quality Inspection Operation 0041
300,D,INSP0042,Inspection Type 0042,Quality Inspection Operation 0042
100,F,INSP0043,Inspection Type 0043,Quality Inspection Operation 0043
200,S,INSP0044,Inspection Type 0044,Quality Inspection Operation 0044
300,E,INSP0045,Inspection Type 0045,Quality Inspection Operation 0045
100,D,INSP0046,Inspection Type 0046,Quality Inspection Operation 0046
200,F,INSP0047,Inspection Type 0047,Quality Inspection Operation 0047
300,S,INSP0048,Inspection Type 0048,Quality Inspection Operation 0048
100,E,INSP0049,Inspection Type 0049,Quality Inspection Operation 0049
200,D,INSP0050,Inspection Type 0050,Quality Inspection Operation 0050
300,F,INSP0051,Inspection Type 0051,Quality Inspection Operation 0051
100,S,INSP0052,Inspection Type 0052,Quality Inspection Operation 0052
200,E,INSP0053,Inspection Type 0053,Quality Inspection Operation 0053
300,D,INSP0054,Inspection Type 0054,Quality Inspection Operation 0054
100,F,INSP0055,Inspection Type 0055,Quality Inspection Operation 0055
200,S,INSP0056,Inspection Type 0056,Quality Inspection Operation 0056
